fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,soh_only_anp,0.3,0.0,future_rmse,0.03276099667880607,0.0006817355991608957,2
0,42,soh_only_anp,0.3,0.0,current_soh_abs_error,0.026502006006680068,0.0016779252851363573,2
0,42,soh_only_anp,0.3,0.0,nll,-1.890962273017115,0.009250820138417017,2
0,42,soh_only_anp,0.3,0.0,coverage_95,0.19047619047619047,0.0,2
0,42,soh_only_anp,0.3,0.0,interval_width_95,0.02667636155558649,0.0025870232633027094,2
0,42,soh_only_anp,0.3,0.0,inference_latency_ms,9.186599985696375,0.6546391744142548,2
0,42,soh_only_anp,0.3,0.5,future_rmse,0.03276099667880607,0.0006817355991608957,2
0,42,soh_only_anp,0.3,0.5,current_soh_abs_error,0.026502006006680068,0.0016779252851363573,2
0,42,soh_only_anp,0.3,0.5,nll,-1.890962273017115,0.009250820138417017,2
0,42,soh_only_anp,0.3,0.5,coverage_95,0.19047619047619047,0.0,2
0,42,soh_only_anp,0.3,0.5,interval_width_95,0.02667636155558649,0.0025870232633027094,2
0,42,soh_only_anp,0.3,0.5,inference_latency_ms,9.186599985696375,0.6546391744142548,2
0,42,soh_only_anp,0.3,1.0,future_rmse,0.03276099667880607,0.0006817355991608957,2
0,42,soh_only_anp,0.3,1.0,current_soh_abs_error,0.026502006006680068,0.0016779252851363573,2
0,42,soh_only_anp,0.3,1.0,nll,-1.890962273017115,0.009250820138417017,2
0,42,soh_only_anp,0.3,1.0,coverage_95,0.19047619047619047,0.0,2
0,42,soh_only_anp,0.3,1.0,interval_width_95,0.02667636155558649,0.0025870232633027094,2
0,42,soh_only_anp,0.3,1.0,inference_latency_ms,9.186599985696375,0.6546391744142548,2
0,42,soh_only_anp,0.7,0.0,future_rmse,0.04431888520200048,0.0009613353329694192,2
0,42,soh_only_anp,0.7,0.0,current_soh_abs_error,0.022272205544201784,0.0008850235738290268,2
0,42,soh_only_anp,0.7,0.0,nll,-1.2358717685620166,0.2264964199977072,2
0,42,soh_only_anp,0.7,0.0,coverage_95,0.05,0.07071067811865477,2
0,42,soh_only_anp,0.7,0.0,interval_width_95,0.024408679049607043,0.004554394239628588,2
0,42,soh_only_anp,0.7,0.0,inference_latency_ms,7.2215000400319695,6.435803188097644,2
0,42,soh_only_anp,0.7,0.5,future_rmse,0.04431888520200048,0.0009613353329694192,2
0,42,soh_only_anp,0.7,0.5,current_soh_abs_error,0.022272205544201784,0.0008850235738290268,2
0,42,soh_only_anp,0.7,0.5,nll,-1.2358717685620166,0.2264964199977072,2
0,42,soh_only_anp,0.7,0.5,coverage_95,0.05,0.07071067811865477,2
0,42,soh_only_anp,0.7,0.5,interval_width_95,0.024408679049607043,0.004554394239628588,2
0,42,soh_only_anp,0.7,0.5,inference_latency_ms,7.2215000400319695,6.435803188097644,2
0,42,soh_only_anp,0.7,1.0,future_rmse,0.04431888520200048,0.0009613353329694192,2
0,42,soh_only_anp,0.7,1.0,current_soh_abs_error,0.022272205544201784,0.0008850235738290268,2
0,42,soh_only_anp,0.7,1.0,nll,-1.2358717685620166,0.2264964199977072,2
0,42,soh_only_anp,0.7,1.0,coverage_95,0.05,0.07071067811865477,2
0,42,soh_only_anp,0.7,1.0,interval_width_95,0.024408679049607043,0.004554394239628588,2
0,42,soh_only_anp,0.7,1.0,inference_latency_ms,7.2215000400319695,6.435803188097644,2
