step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse
1,1.8775008916854858,1.8774702548980713,0.15311431884765625,0.0002,4.0420145988464355,False,1024.0,1024.0,16,CALCE_CS2_34|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_35|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_37,420|274|460|493|380|913|247|576|1049|607|530|826|691|404|948|273,0.75|0.75|0.75|0|0.25|1|0.75|0|0|0.5|1|0.25|0.25|0|0.5|0.25,11,126,128,128,0.14931412890317527,0.9421157875856182,-4.2684173583984375,1.0557845830917358,-0.147705078125,0.014801025390625,0.6646279096603394,0.7095921039581299,0.5589796304702759,0.7894188761711121,0.5642180442810059,0.841570258140564,0.42529296875,64.8564453125,174.0,0.0001,,2.4239784250967205,
2,2.2019081115722656,2.2018508911132812,0.14322945475578308,0.0004,4.628429412841797,False,1024.0,1024.0,16,CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_35|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_36|CALCE_CS2_36,462|678|383|429|817|369|381|175|141|998|582|974|821|562|240|529,0.75|0.25|0.75|0|0.5|1|1|1|1|1|0.75|1|0.25|0|0.25|1,11,120,128,128,0.1477539087091628,0.9730660306896746,-4.278895378112793,1.2636364698410034,-0.125732421875,-0.01152801513671875,0.6573442816734314,0.7171412110328674,0.5599198937416077,0.7878219485282898,0.565691351890564,0.8305128812789917,0.635498046875,65.591796875,174.0,0.0001,,4.738159869797528,
3,2.05942440032959,2.0593442916870117,0.13337384164333344,0.0006,3.840635061264038,False,1024.0,1024.0,16,CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CX2_37|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_36,549|797|234|839|353|560|314|191|274|358|264|784|836|581|599|915,0|0.75|1|0|0.75|0.75|0.5|0.75|0|0.25|0.25|0.75|0.25|0.75|0.5|0.75,19,123,128,128,0.14823431507984228,0.9519619457444115,-4.275669097900391,1.121908187866211,-0.1351318359375,-0.043853759765625,0.6772333383560181,0.7283744812011719,0.5598153471946716,0.7862935662269592,0.5652701258659363,0.8316143751144409,0.494873046875,65.5927734375,174.0,0.0001,,6.825263589154929,
4,2.114553451538086,2.1144161224365234,0.1715162843465805,0.0008,4.243728160858154,False,1024.0,1024.0,16,CALCE_CS2_34|CALCE_CX2_36|CALCE_CS2_35|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_35,150|671|365|374|673|431|147|447|637|652|291|405|467|339|457|523,0.5|0.75|0|0.25|1|0.5|0.5|0.75|0.25|0.5|0.75|0|0.75|1|0.25|0.25,24,105,128,128,0.14889132486437023,0.9721869635767385,-4.271256923675537,1.2577329874038696,-0.1776123046875,-0.06427001953125,0.6813592314720154,0.7244073152542114,0.5600243806838989,0.7846345901489258,0.5714009404182434,0.8246768116950989,0.49560546875,65.5908203125,174.0,0.0001,,8.845749410800636,
5,1.7362394332885742,1.736085295677185,0.15410608053207397,0.001,3.943577289581299,False,1024.0,1024.0,16,CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_16|CALCE_CS2_35|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_34,1130|390|758|532|784|271|643|950|465|900|534|713|444|605|614|324,0.5|0.75|0.25|0.5|0.25|0.75|0.25|0|0.5|1|0.25|0.75|1|0.5|0.75|1,15,120,128,128,0.2760418764910503,0.9371414542047829,-3.4173543453216553,1.0223785638809204,-0.2083740234375,-0.06488037109375,0.677143394947052,0.7203295826911926,0.5612800121307373,0.7882875204086304,0.570552408695221,0.8273512721061707,0.5546875,65.591796875,174.0,0.0001,,10.918123896233737,
6,2.34842586517334,2.3482391834259033,0.1555883139371872,0.0012,5.164318561553955,False,1024.0,1024.0,16,CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_35|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_36,915|976|989|784|835|295|475|528|1052|906|234|553|650|199|834|653,0.75|0|1|0.25|0.75|0|0.75|0.75|0|0.75|0.25|0.25|1|0|0|0.5,26,124,128,128,0.1477539087091628,0.9559450656712962,-4.278895378112793,1.1486575603485107,-0.204345703125,-0.06549072265625,0.688194990158081,0.7420564889907837,0.5615943074226379,0.7904846668243408,0.5715070366859436,0.8450448513031006,0.427734375,65.5927734375,174.0,0.0001,,13.101917968131602,
7,2.4545137882232666,2.45426082611084,0.18068058788776398,0.0014,5.19420051574707,False,1024.0,1024.0,16,CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_35|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_37,1016|707|518|332|699|297|355|671|287|555|467|385|315|394|307|394,0.25|0.25|0.75|0.5|0|0.75|1|0.5|0.5|0|1|1|0|0.25|1|0,20,116,128,128,0.1477539087091628,0.9183492122382826,-4.278895378112793,0.8961758613586426,-0.20166015625,-0.080322265625,0.6707459092140198,0.7360672950744629,0.5630624890327454,0.7784831523895264,0.5674842000007629,0.8393512964248657,0.47900390625,65.591796875,174.0,0.0001,,15.101819038856775,
8,1.8241567611694336,1.8238615989685059,0.18449905514717102,0.0016,3.8547253608703613,False,1024.0,1024.0,16,CALCE_CX2_35|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_34|CALCE_CX2_36,570|612|166|585|863|466|939|587|546|426|351|333|985|371|815|1104,0.5|1|1|0.75|0.75|1|0|0.5|0|0.75|0.25|0.5|0.25|0.25|0.25|0,9,127,128,128,0.15171631521388676,0.9522424459062601,-4.252285003662109,1.1237919330596924,-0.22509765625,-0.1165771484375,0.6892990469932556,0.7446470856666565,0.5625377893447876,0.7860280275344849,0.5708705186843872,0.8340962529182434,0.480224609375,65.5927734375,176.0,0.0001,,17.494809782132506,
9,1.5998752117156982,1.5996181964874268,0.14275343716144562,0.0018,2.5628514289855957,False,1024.0,1024.0,16,CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_34,255|666|617|543|680|353|489|307|518|855|592|892|566|1086|516|293,0|1|0.75|0.25|0.25|1|0.75|0.25|0.5|0|0.25|0.5|0|0.75|0.25|1,11,122,128,128,0.14889132486437023,0.940210365321379,-4.271256923675537,1.0429884195327759,-0.2210693359375,-0.130859375,0.7004304528236389,0.7372434139251709,0.5634824633598328,0.7886866331100464,0.5678010582923889,0.8407376408576965,0.463623046875,65.5927734375,176.0,0.0001,,19.69903360400349,
10,1.3569977283477783,1.356751799583435,0.12297658622264862,0.002,1.9918246269226074,False,1024.0,1024.0,16,CALCE_CX2_36|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_36,646|664|350|588|770|642|436|185|1105|658|427|183|820|464|314|802,0|0|0.75|0.75|0.5|1|0.25|0.75|1|0.75|0.25|0.75|0.75|0.25|0|0,13,128,128,128,0.14823431507984228,0.957624060294008,-4.275669097900391,1.1599332094192505,-0.277587890625,-0.1566162109375,0.690326452255249,0.7412262558937073,0.5615943074226379,0.7862935662269592,0.5685408115386963,0.8246768116950989,0.47705078125,65.5927734375,176.0,0.0001,,21.935190503951162,
11,2.0373849868774414,2.03700590133667,0.1723153442144394,0.0022,3.9866271018981934,False,1024.0,1024.0,16,CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_36|CALCE_CS2_36|CALCE_CS2_36,231|285|380|1056|259|801|555|666|223|681|529|578|851|516|255|426,1|1|1|0.25|0.25|0.25|0.75|0.5|0.25|0.5|0.25|0.25|0.5|0.75|0.25|0.5,15,126,128,128,0.1477539087091628,0.9468080844471022,-4.278895378112793,1.0872966051101685,-0.318115234375,-0.156005859375,0.6983215808868408,0.7526167631149292,0.5633774399757385,0.7868914008140564,0.5701284408569336,0.8442100882530212,0.509765625,65.5927734375,176.0,0.0001,,23.89288458880037,
12,1.769478440284729,1.7691326141357422,0.14410436153411865,0.0024,2.6988747119903564,False,1024.0,1024.0,16,CALCE_CX2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_36,869|265|377|1062|156|301|418|364|347|378|604|685|466|289|240|510,0.5|0.5|1|0.25|1|0|1|0|0.75|0.75|0.5|0.5|1|0|0.25|1,17,125,128,128,0.14889132486437023,0.9686857413521746,-4.271256923675537,1.2342199087142944,-0.296875,-0.1356201171875,0.7114916443824768,0.7586638331413269,0.5605473518371582,0.792352020740509,0.5697047710418701,0.8248823285102844,0.557373046875,65.5927734375,176.0,0.0001,,25.81977808708325,
