fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,partial_iv_anp,0.3,0.0,future_rmse,0.08634543477025469,0.005583715712717554,3
0,42,partial_iv_anp,0.3,0.0,current_soh_abs_error,0.008699635503852334,0.0071618445046720556,3
0,42,partial_iv_anp,0.3,0.0,nll,-1.2936199693089832,0.2569867255761584,3
0,42,partial_iv_anp,0.3,0.0,coverage_95,0.8952223955121283,0.17489029636920894,3
0,42,partial_iv_anp,0.3,0.0,interval_width_95,0.31384482806888847,0.1350213032928373,3
0,42,partial_iv_anp,0.3,0.0,inference_latency_ms,0.866110622882843,0.0059973946922969165,3
0,42,partial_iv_anp,0.3,0.25,future_rmse,0.09740517425382737,0.025489113185447058,3
0,42,partial_iv_anp,0.3,0.25,current_soh_abs_error,0.01607071309383507,0.021171125264538005,3
0,42,partial_iv_anp,0.3,0.25,nll,-0.5377680668752478,1.3324489110165385,3
0,42,partial_iv_anp,0.3,0.25,coverage_95,0.5410058449327503,0.264965696191967,3
0,42,partial_iv_anp,0.3,0.25,interval_width_95,0.11117033490736039,0.018484701996901894,3
0,42,partial_iv_anp,0.3,0.25,inference_latency_ms,0.866584200412035,0.004282511759462339,3
0,42,partial_iv_anp,0.3,0.5,future_rmse,0.0952934704495169,0.024886192141571166,3
0,42,partial_iv_anp,0.3,0.5,current_soh_abs_error,0.014110625761817734,0.0171234906461459,3
0,42,partial_iv_anp,0.3,0.5,nll,-0.9614581922681347,0.779848492141554,3
0,42,partial_iv_anp,0.3,0.5,coverage_95,0.5823250720380901,0.21285119606170116,3
0,42,partial_iv_anp,0.3,0.5,interval_width_95,0.11806158806023659,0.014601994202826908,3
0,42,partial_iv_anp,0.3,0.5,inference_latency_ms,0.8659078817193707,0.00457829717015874,3
0,42,partial_iv_anp,0.3,0.75,future_rmse,0.09461996900223614,0.024956493153710124,3
0,42,partial_iv_anp,0.3,0.75,current_soh_abs_error,0.013463569883520333,0.015508942110725258,3
0,42,partial_iv_anp,0.3,0.75,nll,-1.0775793187972165,0.679781544669481,3
0,42,partial_iv_anp,0.3,0.75,coverage_95,0.6068613106664696,0.18486077885457544,3
0,42,partial_iv_anp,0.3,0.75,interval_width_95,0.12110104037009654,0.012466106685660566,3
0,42,partial_iv_anp,0.3,0.75,inference_latency_ms,0.8647543843835592,0.006479645185783072,3
0,42,partial_iv_anp,0.3,1.0,future_rmse,0.09287917053792977,0.025004650804819943,3
0,42,partial_iv_anp,0.3,1.0,current_soh_abs_error,0.011629043056225967,0.012024794009991664,3
0,42,partial_iv_anp,0.3,1.0,nll,-1.278140898449551,0.6217475705124369,3
0,42,partial_iv_anp,0.3,1.0,coverage_95,0.6867304569810321,0.16501251879051837,3
0,42,partial_iv_anp,0.3,1.0,interval_width_95,0.12823206890334435,0.008935907353816849,3
0,42,partial_iv_anp,0.3,1.0,inference_latency_ms,0.8655403895924488,0.004692586974174897,3
0,42,partial_iv_anp,0.5,0.0,future_rmse,0.08785456732002517,0.019589687811798526,3
0,42,partial_iv_anp,0.5,0.0,current_soh_abs_error,0.016596069812072067,0.0068852782494935386,3
0,42,partial_iv_anp,0.5,0.0,nll,-1.2755146017141372,0.11109124916109288,3
0,42,partial_iv_anp,0.5,0.0,coverage_95,0.8675639242553279,0.17632735351598414,3
0,42,partial_iv_anp,0.5,0.0,interval_width_95,0.27120276102565766,0.0661856523854694,3
0,42,partial_iv_anp,0.5,0.0,inference_latency_ms,0.8625703010087212,0.004723903603181255,3
0,42,partial_iv_anp,0.5,0.25,future_rmse,0.11204133459487224,0.05509230945350019,3
0,42,partial_iv_anp,0.5,0.25,current_soh_abs_error,0.015304797450472732,0.0060300931189503785,3
0,42,partial_iv_anp,0.5,0.25,nll,-0.48645287493793227,1.7679835355932396,3
0,42,partial_iv_anp,0.5,0.25,coverage_95,0.6886095865092966,0.14152180988794055,3
0,42,partial_iv_anp,0.5,0.25,interval_width_95,0.10945534742202646,0.0012637803329163253,3
0,42,partial_iv_anp,0.5,0.25,inference_latency_ms,0.8636336851244172,0.006305516347434409,3
0,42,partial_iv_anp,0.5,0.5,future_rmse,0.10908156961495823,0.05569740232940259,3
0,42,partial_iv_anp,0.5,0.5,current_soh_abs_error,0.0112894437431691,0.0037843496074547417,3
0,42,partial_iv_anp,0.5,0.5,nll,-0.7401890873833068,1.5642928531204459,3
0,42,partial_iv_anp,0.5,0.5,coverage_95,0.7152348290186737,0.16452922694778063,3
