dataset,normalized_cycle,q10,q25,median,q75,q90,num_cells
HUST,0.0,1.0297471808362602e-05,2.9249069643855208e-05,4.656290366988891e-05,0.00018871322447777672,0.0003360758227067164,77
HUST,0.01,1.543592575763551e-05,2.4787109300843934e-05,4.4720640564225434e-05,0.0001551946356394307,0.00021893740366247456,77
HUST,0.02,1.2357026867906063e-05,2.5468350207225995e-05,4.397437583661143e-05,0.00010483985812729067,0.0001746163718799174,77
HUST,0.03,1.2374244406943139e-05,2.6032177777543044e-05,3.7447325095794085e-05,9.01076417580542e-05,0.00012019105423905608,77
HUST,0.04,1.7404968269271617e-05,2.6199894855191057e-05,3.8496556121550413e-05,7.010801744702803e-05,0.00010426921530595659,77
HUST,0.05,1.7097933317806248e-05,2.497911614284809e-05,4.1204613574206756e-05,7.177601109251144e-05,0.00010541403980580881,77
HUST,0.06,1.8838340236426176e-05,2.872634669874527e-05,4.590819092074335e-05,7.147535830560181e-05,9.205963586405307e-05,77
HUST,0.07,1.1158527464426881e-05,2.3177379643913673e-05,3.971921458943054e-05,5.860466444747571e-05,9.500323564789026e-05,77
HUST,0.08,1.1176066094192422e-05,2.3108084848837706e-05,3.6872500553458324e-05,6.499654624471278e-05,9.015336435012604e-05,77
HUST,0.09,7.318515366704085e-06,1.9788432006924758e-05,3.872076570674565e-05,6.749775293814947e-05,8.801935732395894e-05,77
HUST,0.1,9.698233552154143e-06,2.0610660539938767e-05,3.634796515525893e-05,5.539889593664249e-05,7.476600316300215e-05,77
HUST,0.11,1.628743664656918e-05,2.4720329192815585e-05,3.8056165796746737e-05,5.9496290398426125e-05,7.82175600524055e-05,77
HUST,0.12,1.3961678704508946e-05,2.0949215040424458e-05,3.97413793858048e-05,5.981033503120811e-05,8.575725388723673e-05,77
HUST,0.13,1.3419831990688549e-05,2.0347600195557605e-05,4.147391156850586e-05,6.143267764158133e-05,8.53370824443517e-05,77
HUST,0.14,8.130915675421287e-06,1.7238147178863962e-05,3.617139393931486e-05,5.4581380100321685e-05,6.806006951588832e-05,77
HUST,0.15,1.2827412050248283e-05,2.3310160682292347e-05,3.743273623160734e-05,6.205932582844828e-05,8.487464259803303e-05,77
HUST,0.16,1.3576115944802892e-05,2.159923985284022e-05,3.707421875793613e-05,6.143004527474179e-05,8.63951850484277e-05,77
HUST,0.17,1.0037170786167291e-05,1.8439205459608295e-05,3.442764180272562e-05,5.740076996189681e-05,7.802702744377493e-05,77
HUST,0.18,1.2228682275387768e-05,2.0057532529941965e-05,3.5778622290620335e-05,5.672255808225786e-05,7.892398765946333e-05,77
HUST,0.19,1.3027692522365807e-05,2.5291787331424583e-05,4.1133497595333895e-05,6.282491601404121e-05,8.701424124349948e-05,77
HUST,0.2,1.0719435457242756e-05,1.8640223243529177e-05,3.6496341525138266e-05,6.040217786023028e-05,8.285008264429194e-05,77
HUST,0.21,1.115823122007675e-05,1.992435461377646e-05,3.7868404443468534e-05,5.5448165310345675e-05,7.050466078145932e-05,77
HUST,0.22,1.6287334983260554e-05,2.2905802880162092e-05,3.581642368929316e-05,5.676210296718945e-05,7.06407109180248e-05,77
HUST,0.23,6.922563015537134e-06,1.807640165486221e-05,3.9748867080390025e-05,6.392796688516869e-05,8.644207371344759e-05,77
HUST,0.24,9.270312650851836e-06,1.8327592974450462e-05,3.850576093863079e-05,6.028425200738445e-05,8.076019970500586e-05,77
HUST,0.25,1.632199042905718e-05,2.489915932981643e-05,4.426040165924795e-05,6.736115401775755e-05,8.583781232345825e-05,77
HUST,0.26,1.3315133352680952e-05,2.8626140923808667e-05,4.0268624545949694e-05,6.218663262210832e-05,7.672325431890772e-05,77
HUST,0.27,1.5321381310211373e-05,2.7283692886113515e-05,4.142339829003375e-05,6.15608020023409e-05,8.660400111446345e-05,77
