dataset,cell_id,observed_curve_cycles,valid_cutoff_tail_cycles,valid_fraction,first_valid_cycle,last_valid_cycle,analyzed,pearson_cycle_vs_tail,spearman_cycle_vs_tail,spearman_pvalue,linear_slope_q_per_cycle,edge_cycles,early_tail_mean,late_tail_mean,late_minus_early,late_to_early_ratio,positive_trend,strong_positive_trend
HUST,HUST_1-1,1504,256,0.1702127659574468,27,1501,True,0.4265355643805475,0.4154240843557095,4.2092983564407616e-12,4.006415856377482e-08,26,2.796511466906216e-05,6.404901224333647e-05,3.6083897574274305e-05,2.290318241183326,True,False
HUST,HUST_1-2,2678,671,0.25056011949215834,4,2675,True,0.2250520378733502,0.19454073714037287,3.803846373301047e-07,1.6643519404143056e-08,68,4.732119733734467e-05,8.438368739733673e-05,3.706249005999206e-05,1.7832111642437944,True,False
HUST,HUST_1-3,1858,417,0.22443487621097954,1,1857,True,-0.22791593782892133,-0.04286113593023732,0.382650467096696,-2.2265157665951115e-08,42,0.00016477964588811398,7.00754954735935e-05,-9.470415041452047e-05,0.4252679091274115,False,False
HUST,HUST_1-4,1500,331,0.22066666666666668,1,1500,True,-0.29152559341589446,-0.16445951305240625,0.0026889968455697413,-3.532388394469381e-08,34,0.00017155406773625964,6.776424039568332e-05,-0.00010378982734057632,0.39500223626210573,False,False
HUST,HUST_1-5,1971,425,0.21562658548959918,1,1964,True,-0.33818877915899676,-0.23690474673792214,7.81106215448206e-07,-2.965782210292483e-08,43,0.0001548284428040863,5.898308910556613e-05,-9.584535369852015e-05,0.3809577105945641,False,False
HUST,HUST_1-6,1143,166,0.1452318460192476,9,1139,True,0.2059241382819976,0.19555206928014732,0.01157313665642759,1.8107387036967104e-08,17,4.036938378211155e-05,4.663333490767856e-05,6.263951125567009e-06,1.1551658841109853,True,False
HUST,HUST_1-7,1678,330,0.1966626936829559,6,1675,True,0.36290905041251525,0.3278977147127559,1.0375745483938175e-09,3.893884220046062e-08,33,3.236008438348737e-05,8.070094619884407e-05,4.83408618153567e-05,2.4938422669881533,True,False
HUST,HUST_1-8,2285,552,0.24157549234135667,15,2283,True,0.202252966013596,0.18360177314573542,1.4193878394106142e-05,1.8748355324444004e-08,56,3.442327860463311e-05,7.53995816513162e-05,4.097630304668309e-05,2.1903660751584537,True,False
HUST,HUST_10-1,1702,285,0.16745005875440658,12,1696,True,0.3196897164915629,0.2758956745861597,2.2530320750295765e-06,2.3906695744562573e-08,29,2.6257409769336114e-05,4.99969647068474e-05,2.3739554937511285e-05,1.9041087885688852,True,False
HUST,HUST_10-2,1697,314,0.1850324101355333,1,1695,True,-0.12818763460736418,0.01051163857080249,0.8528141625518383,-1.0433865342583601e-08,32,0.00010580289270268467,6.66180652426629e-05,-3.9184827460021776e-05,0.6296431367889482,False,False
HUST,HUST_10-3,1848,220,0.11904761904761904,16,1847,True,0.3769532529853249,0.37052005206719146,1.4497944947113603e-08,1.967846400290644e-08,22,2.7713592262158425e-05,5.389547625920961e-05,2.6181883997051187e-05,1.9447307930845648,True,False
HUST,HUST_10-4,1811,397,0.2192159028161237,1,1801,True,-0.11636654318476161,-0.00556509521649236,0.9119851292082418,-1.1225469319635753e-08,40,0.0001378841723680524,8.537151413140487e-05,-5.2512658236647536e-05,0.6191538351735093,False,False
HUST,HUST_10-5,2030,436,0.2147783251231527,1,2027,True,-0.10247043006686708,0.003933089268964462,0.9347342903702378,-7.771700039221744e-09,44,0.00011652190066015326,7.640006380252811e-05,-4.012183685762515e-05,0.6556712804175402,False,False
HUST,HUST_10-6,2285,602,0.2634573304157549,24,2284,True,0.31038117415394556,0.27540914265646116,6.123963327787046e-12,3.23646678554071e-08,61,3.68306991541576e-05,9.047400788243127e-05,5.364330872827367e-05,2.456483584624491,True,False
HUST,HUST_10-7,1783,441,0.24733595064498037,1,1782,True,-0.0311035095993588,0.0721464910644672,0.13034364515243224,-3.0667639995473907e-09,45,0.00010398285297183266,8.05942272491928e-05,-2.3388625722639854e-05,0.7750722830332856,False,False
HUST,HUST_10-8,1400,196,0.14,6,1399,True,0.4265182595494753,0.41569795587582925,1.36976768225965e-09,3.323927985514218e-08,20,3.1866078731701554e-05,6.001848206235727e-05,2.8152403330655716e-05,1.8834599188587537,True,False
HUST,HUST_2-2,2651,553,0.2086005281026028,15,2650,True,0.2130642418871461,0.17672311766635881,2.9234675486815745e-05,1.4293038390046115e-08,56,4.0230875819720546e-05,7.08378036883363e-05,3.0606927868615754e-05,1.7607820422744245,True,False
HUST,HUST_2-3,1751,426,0.24328954882924042,1,1750,True,-0.21981413279801829,-0.12708576450686915,0.00864027111942422,-2.1389860312948075e-08,43,0.00014176975974105778,6.678717269900852e-05,-7.498258704204926e-05,0.47109604206845784,False,False
HUST,HUST_2-4,1499,289,0.19279519679786525,5,1498,True,0.4163990595918734,0.3831485340658703,1.5364199712886563e-11,4.6342364849559616e-08,29,2.5241527313439642e-05,7.745360438446521e-05,5.221207707102557e-05,3.0684991214151167,True,False
HUST,HUST_2-5,1386,331,0.23881673881673882,1,1384,True,-0.18833579947189497,-0.09308596202369937,0.09087178285646362,-2.4238988609175973e-08,34,0.00014975542957521506,7.653386369363576e-05,-7.32215658815793e-05,0.5110590241083474,False,False
HUST,HUST_2-6,1572,375,0.2385496183206107,1,1570,True,-0.10642431318846517,0.02258516584198056,0.6628691158561602,-1.1840905281475693e-08,38,0.0001327852036455281,7.255670659672697e-05,-6.022849704880113e-05,0.5464216238310564,False,False
HUST,HUST_2-7,2202,403,0.18301544050862853,1,2200,True,-0.24369320929207788,-0.06161597975285843,0.21710489706575264,-1.9456074804741614e-08,41,0.0001631482960138914,6.0383992930095764e-05,-0.00010276430308379564,0.3701172148617128,False,False
HUST,HUST_2-8,1481,228,0.15395003376097233,9,1479,True,0.3929251385997232,0.3807550444122927,2.7977439980279815e-09,3.221119705126794e-08,23,2.4540505722696036e-05,6.654561465228074e-05,4.20051089295847e-05,2.711664356237643,True,False
HUST,HUST_3-1,1938,437,0.22549019607843138,1,1937,True,-0.02685781130913475,0.10887856922878827,0.022827532532901304,-2.2436135423293397e-09,44,0.00012400099182042161,7.482237751261929e-05,-4.917861430780232e-05,0.6034014439253611,False,False
HUST,HUST_3-2,2283,449,0.19667104686815592,1,2282,True,-0.13585555486481693,0.011021651194173802,0.8158385444863931,-9.18216655764409e-09,45,0.00011685640571604693,5.717860656049536e-05,-5.9677799155551574e-05,0.48930656569598296,False,False
HUST,HUST_3-3,1649,337,0.20436628259551243,1,1646,True,-0.11636168257863873,0.013803675210888173,0.8006760248781299,-9.368177558804482e-09,34,0.00011340580791225777,7.17874174409246e-05,-4.161839047133317e-05,0.6330135886555883,False,False
HUST,HUST_3-4,1766,281,0.1591166477916195,13,1764,True,0.36393218918706666,0.3430254364637483,3.534191958806634e-09,2.567895491993955e-08,29,2.657912808497916e-05,6.258767722752402e-05,3.600854914254486e-05,2.3547678850644695,True,False
HUST,HUST_3-5,2657,580,0.2182913059841927,21,2655,True,0.28021918392207795,0.2530789178662484,6.300313384082795e-10,2.0520731085317356e-08,58,3.369832177577998e-05,6.677078398750661e-05,3.3072462211726634e-05,1.9814275746959253,True,False
HUST,HUST_3-6,2491,454,0.18225612203934163,1,2489,True,-0.13750998049936955,-0.0027603814380233968,0.9532275588981747,-8.858392686893917e-09,46,0.00012706576577335162,5.694915042982981e-05,-7.011661534352181e-05,0.44818641813728594,False,False
HUST,HUST_3-7,2479,324,0.1306978620411456,1,2472,True,0.21076559490079116,0.1871165092217724,0.0007117161868900521,8.053626625925361e-09,33,2.438243574211535e-05,4.578730780245608e-05,2.1404872060340725e-05,1.8778807944674891,True,False
HUST,HUST_3-8,2342,433,0.18488471391972672,1,2341,True,-0.1486907749716677,-0.023461201868595412,0.6263633681207441,-9.138541555965314e-09,44,0.00010251992916396587,5.930989449546993e-05,-4.321003466849594e-05,0.578520634759826,False,False
HUST,HUST_4-1,2217,278,0.12539467749210645,1,2215,True,0.4201563195879977,0.40318405575993377,2.726960987719688e-12,1.715109480971375e-08,28,2.2484954048686478e-05,7.049737850862001e-05,4.801242445993353e-05,3.1353134347516405,True,False
HUST,HUST_4-2,1782,478,0.26823793490460157,1,1781,True,0.02258257486449464,0.07431680659954144,0.10463331473043246,2.261988716050706e-09,48,0.00011141033947947854,8.559268325435594e-05,-2.5817656225122595e-05,0.7682651686930895,False,False
HUST,HUST_4-3,1142,199,0.17425569176882663,9,1142,True,0.5977775187526401,0.6084909395462159,1.5260479033897268e-21,1.0777011361898672e-07,20,2.0767385265341164e-05,0.00012093809546994682,0.00010017071020460565,5.823462796338703,True,True
HUST,HUST_4-4,1491,248,0.16633132126089872,25,1489,True,0.39663457938050894,0.3744380683239684,1.13017819680967e-09,3.847197995150072e-08,25,2.1534916160632632e-05,7.725736614636603e-05,5.57224499857334e-05,3.587539676035425,True,False
HUST,HUST_4-5,1561,257,0.1646380525304292,15,1559,True,0.3830616172575253,0.35006659465206763,8.013092705657126e-09,3.260235320087952e-08,26,2.71868769396145e-05,7.151132247505367e-05,4.4324445535439174e-05,2.630361796755449,True,False
HUST,HUST_4-6,1380,185,0.13405797101449277,1,1379,True,0.2672140902213359,0.23286835222319097,0.0014234503801735104,2.016765200020586e-08,19,3.292239810321661e-05,6.08251557194736e-05,2.7902757616256987e-05,1.8475311406167223,True,False
HUST,HUST_4-7,2216,641,0.28925992779783394,11,2214,True,0.24882334753866353,0.21313305027355425,5.085721086347323e-08,2.695630060092605e-08,65,3.815240839471789e-05,7.548202159067392e-05,3.732961319595603e-05,1.978433990581948,True,False
HUST,HUST_4-8,1706,460,0.2696365767878077,1,1705,True,-0.012514437862160378,0.03882524426818544,0.4061112830923937,-1.243470771104813e-09,46,0.00012769556701832372,9.554554630203865e-05,-3.2150020716285074e-05,0.7482291557413916,False,False
HUST,HUST_5-1,2507,837,0.3338651775029916,10,2506,True,0.19642377882152312,0.16069478175115484,2.975512192537288e-06,2.4044141741176433e-08,84,5.2948117864638434e-05,9.63684372838944e-05,4.342031941925596e-05,1.8200540674601458,True,False
HUST,HUST_5-2,1926,470,0.24402907580477673,1,1925,True,-0.12259903186235871,0.022605793541863258,0.6249554082581589,-1.2722656892495846e-08,47,0.00014776950212745636,8.383103404117407e-05,-6.393846808628228e-05,0.5673094436554769,False,False
HUST,HUST_5-3,2689,762,0.28337671997024916,5,2685,True,0.22098901455712106,0.1951949896647299,5.581470837404891e-08,1.964291273856996e-08,77,4.517998986599922e-05,8.254398514532809e-05,3.736399527932887e-05,1.8270031797295205,True,False
HUST,HUST_5-4,1962,403,0.2054026503567788,19,1958,True,0.32926114125614014,0.28880314968209414,3.5053847451660942e-09,2.873400402882123e-08,41,2.6292452699699794e-05,7.25765551329007e-05,4.6284102433200905e-05,2.7603569724679726,True,False
HUST,HUST_5-5,1583,437,0.27605811749842074,1,1576,True,-0.07668853097791745,0.03394584103108151,0.47907326766530006,-9.602626747201427e-09,44,0.00015272192777386997,9.696297942278624e-05,-5.575894835108373e-05,0.6348988703597033,False,False
HUST,HUST_5-6,2460,835,0.3394308943089431,3,2457,True,0.2204997866402593,0.19368933205020272,1.6804123187871298e-08,2.8151594612545593e-08,84,5.012306579276522e-05,8.625278787399715e-05,3.612972208123193e-05,1.7208202752523352,True,False
HUST,HUST_5-7,1448,279,0.19267955801104972,17,1448,True,0.41121719816121005,0.38781635937093445,1.9027978866421334e-11,4.577324155673173e-08,28,2.7243232265629557e-05,8.409783890683411e-05,5.685460664120456e-05,3.086925886284541,True,False
HUST,HUST_6-1,1609,326,0.20261031696706028,8,1606,True,0.42892664277742093,0.4088016244463591,1.455035894876106e-14,4.3639969161810457e-08,33,2.8508727008086208e-05,7.891286170714335e-05,5.040413469905714e-05,2.768024741503208,True,False
HUST,HUST_6-2,1908,513,0.2688679245283019,1,1905,True,-0.1432746104988761,-0.03940284773991573,0.37313102916979524,-1.3889401265732943e-08,52,0.00013529405786172772,6.946346034602663e-05,-6.583059751570109e-05,0.5134258033491699,False,False
HUST,HUST_6-3,1804,447,0.24778270509977826,1,1801,True,0.020640869115141798,0.12959477264511898,0.0060723457208700605,1.8944885766059212e-09,45,0.00011319178179611811,0.0001041863230270939,-9.005458769024207e-06,0.9204407013819704,False,False
HUST,HUST_6-4,1717,325,0.18928363424577752,25,1712,True,0.30525373873396205,0.2631018575769121,1.5103106191841575e-06,2.7710590017330454e-08,33,2.8121531241586556e-05,5.795353537892249e-05,2.9832004137335932e-05,2.060824315754894,True,False
HUST,HUST_6-5,2178,589,0.27043158861340677,2,2172,True,0.1680920069821721,0.1568047966680529,0.0001328447191602929,1.6338952008554466e-08,59,4.610810571073158e-05,9.39335147589463e-05,4.782540904821472e-05,2.0372451505220575,True,False
HUST,HUST_6-6,2468,555,0.22487844408427876,1,2454,True,-0.34511127379321627,-0.2853004533309074,7.4403577193065e-12,-2.6682418217608298e-08,56,0.00015452398262076814,5.070123778370961e-05,-0.00010382274483705854,0.3281124193397234,False,False
