dataset,cell_id,num_observed_cycles,first_cycle,last_cycle,initial_soh,final_soh,first_eol_crossing_cycle,reached_eol_threshold
HUST,HUST_1-1,1504,1,1504,1.0800428434343377,0.8128699368686781,,False
HUST,HUST_1-2,2678,1,2678,1.1098691464646442,0.8139547550505036,,False
HUST,HUST_1-3,1858,1,1858,1.0764945353535342,0.8157219696969679,,False
HUST,HUST_1-4,1500,1,1500,1.0779738964646466,0.816869924242421,,False
HUST,HUST_1-5,1971,1,1971,1.071695871212119,0.818444143939393,,False
HUST,HUST_1-6,1143,1,1143,1.1082069318181778,0.8144117196969662,,False
HUST,HUST_1-7,1678,1,1678,1.093443891414141,0.8157291515151506,,False
HUST,HUST_1-8,2285,1,2285,1.0995290530303017,0.8167989520202005,,False
HUST,HUST_10-1,1702,1,1702,1.0860026818181832,0.8182408106060607,,False
HUST,HUST_10-2,1697,1,1697,1.0975480883838364,0.8194810883838375,,False
HUST,HUST_10-3,1848,1,1848,1.0967582449494975,0.822374537878789,,False
HUST,HUST_10-4,1811,1,1811,1.0855542095959592,0.81275236363636,,False
HUST,HUST_10-5,2030,1,2030,1.0895614621212162,0.8158264318181806,,False
HUST,HUST_10-6,2285,1,2285,1.1340671010101007,0.8142400934343433,,False
HUST,HUST_10-7,1783,1,1783,1.0894122525252556,0.8144121237373735,,False
HUST,HUST_10-8,1400,1,1400,1.0925849722222187,0.8142213080808052,,False
HUST,HUST_2-2,2651,1,2651,1.129815510101014,0.8195075530303051,,False
HUST,HUST_2-3,1751,1,1751,1.077315542929287,0.8156776868686807,,False
HUST,HUST_2-4,1499,1,1499,1.0932784368686905,0.8171267979797991,,False
HUST,HUST_2-5,1386,1,1386,1.0715526792929302,0.8183069621212111,,False
HUST,HUST_2-6,1572,1,1572,1.0865375075757584,0.8204333434343415,,False
HUST,HUST_2-7,2202,1,2202,1.0948640025252545,0.8210660277777779,,False
HUST,HUST_2-8,1481,1,1481,1.088310012626261,0.816711974747472,,False
HUST,HUST_3-1,1938,1,1938,1.0946426414141386,0.8188490454545443,,False
HUST,HUST_3-2,2283,1,2283,1.0981902373737384,0.8194564873737358,,False
