dataset,normalized_life,mean,q10,q25,median,q75,q90,num_cells
HUST,0.0,1.094029620916962,1.078703491414141,1.0839854949494931,1.0920200429292917,1.0993881666666683,1.111441821717172,77
HUST,0.005,1.095562942525416,1.0784131636414123,1.0847793797979763,1.0947479681565673,1.104835226262626,1.1117883228181833,77
HUST,0.01,1.0968027202508852,1.0775565065454547,1.084752734545452,1.098940298989897,1.1065438454545462,1.1141751603737373,77
HUST,0.015,1.0968099324168628,1.0766261759469706,1.0838567098989873,1.0987471184722197,1.1069540928030281,1.1146879751666672,77
HUST,0.02,1.0963730391650253,1.0753550005050487,1.0820098173737365,1.0994844990404011,1.1070576446969693,1.1140659896363645,77
HUST,0.025,1.0957234686671902,1.0744212231818158,1.081400695202019,1.0983127455808075,1.106960411616162,1.1131950566666655,77
HUST,0.03,1.0948474195680826,1.074023260989896,1.0806596300505038,1.097614997272723,1.1064538601010092,1.1122585196919177,77
HUST,0.035,1.0938576225393533,1.073054696287875,1.0799357529292912,1.096695603762627,1.1058539873737359,1.1115056688863627,77
HUST,0.04,1.0929099072425543,1.0722336802222188,1.0791874955555534,1.095612586464645,1.1047333984848466,1.1099639694545433,77
HUST,0.045,1.092006966414304,1.0716672443636355,1.0786230965404016,1.0950053126767723,1.1039248134090904,1.1092143230075755,77
HUST,0.05,1.0910079840892684,1.070795810808078,1.0783138138888875,1.0936801843434336,1.102790524368692,1.1079849523737364,77
HUST,0.055,1.0901563804566758,1.0698898548838365,1.077520181186867,1.092836974734847,1.1016791466287916,1.1072329397171703,77
HUST,0.06,1.0892015750675572,1.0692809152121188,1.076937125858585,1.092211673636368,1.1009614305555582,1.1058346080303032,77
HUST,0.065,1.088397321360192,1.068704702090907,1.0764458846717164,1.09116177565657,1.099905480946972,1.1052346186792912,77
HUST,0.07,1.0876166990505693,1.0678744954595945,1.0752024583838369,1.0906460278282815,1.0989081477525273,1.1040904239797993,77
HUST,0.075,1.086883055937622,1.0677158483585838,1.0752742834595945,1.0892973154040382,1.0978067493686896,1.1033417757575767,77
HUST,0.08,1.086069065792994,1.0669575334343417,1.074757006262625,1.088758606464645,1.0972040617171706,1.1026026713333326,77
HUST,0.085,1.085396034922765,1.0665520971060587,1.0741985575757562,1.0879443091035386,1.0962572198989917,1.101803130181817,77
HUST,0.09,1.0846612579689743,1.0658809412525236,1.0736797878787874,1.0873338696212083,1.095560063737372,1.100675383707069,77
HUST,0.095,1.0840451427997495,1.0654075254545432,1.073686043181819,1.0864720953030247,1.0946045637373758,1.100136564989897,77
HUST,0.1,1.0833343789321772,1.0649176483838363,1.0731669484848456,1.0853644876262571,1.0935476032828306,1.0995040120201998,77
HUST,0.105,1.0827451149676954,1.0643802922929275,1.0725934639015113,1.0846925772727298,1.0929854049242445,1.0988571648838366,77
HUST,0.11,1.082123588934146,1.0640111874393927,1.0720573822474715,1.0841139565909066,1.0923244260858602,1.0979154954949482,77
HUST,0.115,1.081440876907877,1.0633538586313114,1.07149544698232,1.0837972444444435,1.0912319100631334,1.0971927813737359,77
HUST,0.12,1.0808103512396683,1.0629379656969677,1.0709312480808035,1.0824673385858607,1.0906864394949523,1.0965847135555529,77
HUST,0.125,1.0802649891610903,1.0625920477272701,1.0703729905302992,1.0824807020202047,1.09004609848485,1.0962222291666657,77
HUST,0.13,1.0796801204988187,1.0618038854898983,1.06989288363636,1.0815158914141432,1.0889781681818198,1.0955058420101007,77
HUST,0.135,1.078952796016495,1.0617660062727257,1.0698192395454507,1.0804222481060615,1.088554418308079,1.094887807969697,77
HUST,0.14,1.0783596560402724,1.0613656087878787,1.069277844292926,1.079857727272729,1.0877903840404033,1.0937081291717161,77
HUST,0.145,1.077698726548766,1.0607910259722215,1.0682203377272754,1.0787891546717172,1.0870104148232291,1.0930798147777774,77
HUST,0.15,1.0771136945805448,1.0601749521969717,1.06822597979798,1.0781888345959612,1.0862843760100966,1.0924905378787875,77
HUST,0.155,1.076471527435228,1.0596475959494949,1.0671463256313127,1.077680219065657,1.0859610338888868,1.0915967394292916,77
HUST,0.16,1.0759417289689088,1.059394449050504,1.0666379843434342,1.0771113484848494,1.0850536356565654,1.0913336409494956,77
HUST,0.165,1.0753188718747528,1.0590592013156561,1.066374252525253,1.0765256496212132,1.084136981515154,1.0900461299898978,77
HUST,0.17,1.0747844738301842,1.0586304137323208,1.0657212171717179,1.0754673459595956,1.0835929473737396,1.089503312424242,77
HUST,0.17500000000000002,1.0740805104035478,1.0582958001893927,1.0651106449494963,1.0748860340909097,1.0827988633838395,1.0889024129292917,77
HUST,0.18,1.0734472822471453,1.0579028098484835,1.0645269249494977,1.0743425303030307,1.0819265085858538,1.0879277902828266,77
HUST,0.185,1.0728535932021506,1.057391319323232,1.063933946363639,1.073513301805555,1.0812815774242381,1.0873830830303028,77
HUST,0.19,1.0722500701288855,1.0569639394191899,1.0629288416161622,1.0729377160858578,1.0806534704040427,1.086890418878787,77
HUST,0.195,1.0715655983580927,1.0569078292171699,1.0625057790909087,1.0721701041666643,1.079693451010096,1.0859292116691899,77
HUST,0.2,1.0710416030171839,1.0563315411111107,1.0619531398989865,1.0717374914141395,1.079014367171719,1.085412700606061,77
HUST,0.20500000000000002,1.0704356726290483,1.0560945837828255,1.0613281151515122,1.071042575126261,1.0786722396212114,1.0848030749292927,77
HUST,0.21,1.069744011180636,1.055509578333332,1.0608090939393937,1.0701636499999987,1.077551690202019,1.0838541351313118,77
HUST,0.215,1.0691824153274618,1.0549219079974743,1.0611554095707028,1.0695565950757544,1.0774809540404011,1.0835156337424245,77
HUST,0.22,1.0684839503535348,1.0544143175050482,1.0597743152525207,1.0689779823737364,1.0763366819191873,1.0827690902424252,77
HUST,0.225,1.0679634792970274,1.0541890916792904,1.0594762473484827,1.0683511761363547,1.0757057842803,1.081771072929293,77
HUST,0.23,1.0673331867388156,1.0535389497525236,1.0582596721969697,1.0676615729292918,1.0752036486868697,1.081279984909089,77
HUST,0.23500000000000001,1.066658677196477,1.0530895211590885,1.0577014876893944,1.0667904388636327,1.0743358423232312,1.0804815032121218,77
HUST,0.24,1.066082480827757,1.0524842996161585,1.0579251069696964,1.0662019203030295,1.0734319742424212,1.0799400989898993,77
HUST,0.245,1.0654559190782817,1.0519935242550487,1.0574871227272642,1.0653644061616139,1.0731486342424215,1.0792918667929292,77
HUST,0.25,1.0648295289420162,1.0513321333333325,1.0566355050505067,1.0645956470959588,1.0719878484848473,1.078911862626261,77
HUST,0.255,1.064223086265741,1.0509391954292915,1.0563753840656598,1.0637141413888869,1.0713633760100967,1.0781726152878808,77
HUST,0.26,1.063489812947657,1.0500809486969689,1.0554917932828285,1.0630925803030282,1.070719732828283,1.0773357740404053,77
HUST,0.265,1.0629123646917216,1.0500620357171704,1.0549242650631314,1.0623983356565643,1.0705351305050526,1.0768467715858614,77
HUST,0.27,1.0622261680076728,1.0494633094040395,1.0543736959090915,1.0615041887878771,1.0692359129797984,1.0759565081212132,77
HUST,0.275,1.0616017922537047,1.0493817386616164,1.0538628715909097,1.060392582828281,1.0684582296085878,1.0754657449494969,77
HUST,0.28,1.0608909665525375,1.0484749894343424,1.0534254744444442,1.0598323085858565,1.0679035605050526,1.0743869814949523,77
HUST,0.28500000000000003,1.0602594503545182,1.0481157729747457,1.053078617487369,1.058945377436865,1.0676184227399015,1.0736994685202024,77
HUST,0.29,1.059587545087563,1.0474234946161587,1.0521502583333338,1.0587182653535336,1.0665402412373755,1.0729270509292956,77
HUST,0.295,1.0588962358676035,1.0468669636919175,1.0515978968434299,1.0575980835606045,1.0661546390909067,1.0725848906161635,77
HUST,0.3,1.0582969791453487,1.0462895343434324,1.0507651755050458,1.056501867676766,1.0654150025252533,1.071641559292932,77
HUST,0.305,1.0575653722974867,1.0453013663838364,1.0500433662878745,1.0561778303030327,1.0643726183964672,1.0707804749494965,77
HUST,0.31,1.05684967504624,1.0446869232424223,1.0492245475505053,1.0549651494949517,1.0639374639898975,1.070165782101012,77
HUST,0.315,1.0562082934130255,1.0440563048080769,1.04878959008838,1.0543196953282816,1.063055898611108,1.0695498883333345,77
HUST,0.32,1.0555092615072796,1.043148283212117,1.0479942163636369,1.0533307227272746,1.062530878989897,1.0687844157373743,77
HUST,0.325,1.0547996776416755,1.0424139558585834,1.0476863630050466,1.053006876262628,1.0619477903409067,1.0680513737878796,77
HUST,0.33,1.0540793280526033,1.04183231692929,1.0470148691666672,1.0524487681818204,1.0613238943939374,1.0673207478787892,77
HUST,0.335,1.0533349940631966,1.041014142949494,1.0459806055050498,1.0506378595959622,1.0603673477525235,1.0663425477676776,77
HUST,0.34,1.0526689670254485,1.0405127765656552,1.0453494133333334,1.049895417272726,1.0599213140404036,1.0659833165252535,77
HUST,0.34500000000000003,1.0518900501177348,1.0395929401111101,1.044759493876259,1.048995036830806,1.0589811837878786,1.0649083973232327,77
HUST,0.35000000000000003,1.0511444041141935,1.0388242804040395,1.0442097892676732,1.0485583914141443,1.0581726688131292,1.0640460652525265,77
HUST,0.355,1.0503870189436562,1.0383376254015129,1.0436429566414103,1.047343136060605,1.0572913395833334,1.0630675035858603,77
HUST,0.36,1.0496332489466078,1.0379816870101022,1.042525072929289,1.046780683030301,1.0565246658585883,1.0624031414545476,77
HUST,0.365,1.0488339871730281,1.0369516737676738,1.0418485753030327,1.0462336431313124,1.0559981314141433,1.0614205115252537,77
HUST,0.37,1.0480876934317191,1.0365437921616145,1.040866906792926,1.0456754050252517,1.054865226818184,1.0607614205656584,77
HUST,0.375,1.0473356387249102,1.0355629395201982,1.040702809974746,1.0445690684974736,1.054329269255053,1.059945451515153,77
HUST,0.38,1.0464997041899504,1.034890321383835,1.0396597006565667,1.0444773494949482,1.0533774246464624,1.0591368244242425,77
HUST,0.385,1.0457478756936238,1.0339650167297945,1.0390964285353521,1.043445869810605,1.0523701982449505,1.0583308042095976,77
HUST,0.39,1.044898851185556,1.0333403683535327,1.038418560353537,1.0428460704292923,1.0518329789899,1.0573441297020219,77
HUST,0.395,1.0439710587696769,1.0326852103838353,1.0374917004040383,1.0417311175631292,1.0506427520201997,1.056425951671719,77
HUST,0.4,1.0431409674668755,1.0320357143434333,1.036511727777776,1.0412335944444433,1.0500433116161596,1.0556769765656584,77
HUST,0.405,1.042321942239111,1.0315068708333313,1.0353390555176754,1.040114504583332,1.0484771647979825,1.055084978974748,77
HUST,0.41000000000000003,1.0414917840768063,1.0307687693333303,1.034701519191921,1.0395146990404016,1.048439471060606,1.0540861244040434,77
HUST,0.41500000000000004,1.0406006381964117,1.0298298985606074,1.0336958560732308,1.038460989709595,1.047294321111112,1.053095197651517,77
HUST,0.42,1.0397609618529442,1.0290388485858557,1.0330417173737396,1.037888270656564,1.0465550863636348,1.0521153716969713,77
HUST,0.425,1.0388110646751598,1.0284045799242412,1.0319554525252517,1.0369013885100966,1.0455931929292919,1.0509687523737359,77
HUST,0.43,1.0379640370684111,1.02750927691919,1.0314078173737369,1.0362296521212093,1.0448636631565638,1.0501968896464644,77
HUST,0.435,1.0370495513154263,1.0266600640151493,1.0302120777398935,1.0354320615909107,1.0437929910606047,1.0493527761010126,77
HUST,0.44,1.0360612817670203,1.0256405075757575,1.0288811391919161,1.03454502989899,1.0429582736363658,1.0482122004040422,77
HUST,0.445,1.0351676134955066,1.0249951696212125,1.028410806262625,1.0336485462121199,1.0420484310858558,1.04755710191919,77
HUST,0.45,1.034234360422405,1.0239907608585859,1.0273118696969685,1.0327292813131332,1.0411006674242418,1.0465680606565664,77
HUST,0.455,1.0332559904889802,1.0229471102525252,1.0263318650757516,1.031809702297978,1.0399272253282825,1.0458069822373748,77
HUST,0.46,1.0322481246963129,1.022116855303032,1.0252851915151484,1.03102935050505,1.0388590932323223,1.044575767292932,77
HUST,0.465,1.0312752775836278,1.021232117282827,1.0241938274494915,1.030115628055554,1.0381182963005036,1.0434679773484856,77
HUST,0.47000000000000003,1.030339125307621,1.020364688737373,1.0235446662373677,1.0292528031060622,1.037200216464644,1.0426359320050511,77
HUST,0.47500000000000003,1.02929136198839,1.018785764848484,1.0224286474747415,1.028393071464642,1.0354984630050506,1.0415093223737382,77
HUST,0.48,1.0282896045572598,1.0176755280202012,1.0212948431313067,1.0276812911111102,1.034381928383837,1.0404850156363643,77
HUST,0.485,1.0272014459320473,1.0165451559671728,1.0202243905808064,1.0267203310606043,1.0332675951010089,1.0393395444040412,77
HUST,0.49,1.026190476792273,1.015596760636364,1.0192282595959592,1.0256508333838366,1.0322228511616154,1.038597002919193,77
HUST,0.495,1.0251739333349723,1.0140637322727286,1.0185501374999943,1.0248619022222203,1.0313381636363612,1.037117856121213,77
HUST,0.5,1.0241119446904101,1.01316556969697,1.0175352702020193,1.02342372222222,1.0303422222222198,1.0360138146464646,77
HUST,0.505,1.0230751278928893,1.0121839272272712,1.0163462555176719,1.0225972227020164,1.0292220338383813,1.0348964473030309,77
HUST,0.51,1.0219212517076601,1.0110386361010089,1.0153691544444425,1.0214844584595975,1.0277901323232297,1.0337589284899003,77
HUST,0.515,1.020809958223795,1.00968186134091,1.0141171098863577,1.0204661519949476,1.027174967171715,1.0326392832651523,77
HUST,0.52,1.0197663205680172,1.008495189878789,1.0132801313131348,1.0193379498989927,1.0258927938383833,1.0315749467272728,77
HUST,0.525,1.0186354481101598,1.0073473867424256,1.0118922308080753,1.0182230449494976,1.025888641414139,1.0302941458585868,77
HUST,0.53,1.0174352802039874,1.0058708358636381,1.0107775881313077,1.0173251661616145,1.024237889949493,1.0290961235353537,77
HUST,0.535,1.0162030210233821,1.0046145330151517,1.0095887304797952,1.0162303662626249,1.0228826688636348,1.027885030050506,77
HUST,0.54,1.0150242571061254,1.0031828154343434,1.0086720216161607,1.0149105803030294,1.0213627085353563,1.026561344808081,77
HUST,0.545,1.0138120398512718,1.0018896949318188,1.0075534455808077,1.0138318525252548,1.020396146300504,1.0250343610757588,77
HUST,0.55,1.012710775446018,1.0004494623484856,1.0063000118686807,1.012886865656564,1.0192349924242399,1.0240249418686878,77
HUST,0.555,1.0114394848235597,0.9992482791919198,1.005194941300499,1.0116128323232345,1.0181232892045429,1.0227075126313139,77
HUST,0.56,1.010233017423586,0.9977758030505052,1.0038552166666699,1.010442035656568,1.0170563337373726,1.0213620910909098,77
HUST,0.5650000000000001,1.0089313987613135,0.9968052233383842,1.0024936037373755,1.0094252095959626,1.01576856443182,1.0201798594545446,77
HUST,0.5700000000000001,1.0076601451046165,0.9951642083232329,1.0013798282828301,1.0082933632323254,1.0142447854292909,1.018711799999999,77
HUST,0.5750000000000001,1.0064190147087755,0.9941379797727278,1.0001398210858516,1.007026604040405,1.0133943676767663,1.0175313326262592,77
HUST,0.58,1.0050690313091948,0.9927968443636371,0.9987124171212122,1.0058953412626275,1.012002913686871,1.016052628727273,77
HUST,0.585,1.00380962031418,0.9913851892222235,0.9975746477020205,1.00485966992424,1.0104824301136348,1.0145097957651508,77
HUST,0.59,1.0023802937668893,0.9900356234343447,0.9959877103282833,1.00331255078283,1.0089343320706996,1.0132966782878774,77
HUST,0.595,1.0010555422991274,0.9888397475050487,0.9948678478661616,1.0018454746969725,1.0079643984722202,1.0120391617474753,77
HUST,0.6,0.999626081214744,0.9871842657575739,0.9931975651515157,1.000675320707069,1.0065746641414135,1.010716774040402,77
