horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
100,ok,,16,34,135.97394631608495,103.70971223899093,135.97394631608495,103.70971223899093,15.594244009545141,40.89288241402488,0.6764705882352942,303.5297904202559
120,ok,,16,34,149.69939141186606,114.42263238774474,149.69939141186606,114.42263238774474,16.878389730287704,26.281386046499744,0.6470588235294118,250.13185008447957
140,ok,,16,34,159.6821074210065,111.5493265015615,159.6821074210065,111.5493265015615,16.659855770612154,22.472470129292546,0.6176470588235294,211.31258322027657
160,ok,,16,34,166.59595710672568,114.85602916015691,166.59595710672568,114.85602916015691,17.65021364448343,25.02074960809725,0.5294117647058824,189.99464418290972
180,ok,,16,34,157.83981546930602,109.93565804313423,157.83981546930602,109.93565804313423,17.61824641550085,13.011939501586497,0.5294117647058824,179.68689186177332
200,ok,,16,34,152.19614941281702,108.05373169827365,152.19614941281702,108.05373169827365,17.917011326897043,18.127830960684605,0.47058823529411764,178.01576419412135
220,ok,,16,34,147.38162700840073,108.25968072473783,147.38162700840073,108.25968072473783,19.011814766451828,5.81480622505134,0.4411764705882353,177.97827149846063
240,ok,,16,34,138.0090674490308,102.27813110533914,138.0090674490308,102.27813110533914,18.67607165060805,5.934978059820124,0.4411764705882353,175.4965083862907
260,ok,,16,34,131.73217175150273,98.77276937337007,131.73217175150273,98.77276937337007,19.583619081059588,-0.28538260941100946,0.4411764705882353,170.26875860651333
280,ok,,16,34,128.18587329629844,97.55804592177007,128.18587329629844,97.55804592177007,20.867768671711097,4.609285438604862,0.47058823529411764,167.1446685292942
300,ok,,16,34,123.65730113156543,93.63747618707491,123.65730113156543,93.63747618707491,22.66347346081891,-6.446239480119821,0.4411764705882353,160.49362940676576
