step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,0.8523855209350586,0.8523818254470825,0.018039830029010773,0.0003082375624217093,0.0002,0.0002,1.5236843824386597,False,100->120,"MATR_b1c41,MATR_b3c22,MATR_b1c43,MATR_b4c39,MATR_b2c45,MATR_b3c40,MATR_b1c24,MATR_b4c23,MATR_b4c37,MATR_b2c29,MATR_b3c0,MATR_b3c38,MATR_b2c46,MATR_b2c28","MATR_b3c5,MATR_b4c20,MATR_b1c26,MATR_b4c28,MATR_b1c33,MATR_b2c44,MATR_b3c8,MATR_b2c39",455.0,868.0,,0.18401027284562588
2,2.1480002403259277,2.147994041442871,0.015545092523097992,4.003522917628288e-06,0.0004,0.0004,inf,True,280->300,"MATR_b1c40,MATR_b4c35,MATR_b4c4,MATR_b1c36,MATR_b4c0,MATR_b2c5,MATR_b3c5,MATR_b3c34,MATR_b3c40,MATR_b3c38,MATR_b2c29,MATR_b2c25","MATR_b2c36,MATR_b2c26,MATR_b2c38,MATR_b3c35,MATR_b4c30,MATR_b1c17,MATR_b3c16,MATR_b2c42",464.0,1635.0,,0.36609044298529625
3,0.9286682605743408,0.9286558032035828,0.020480815321207047,0.00019464432261884212,0.0006000000000000001,0.0006,0.9947183728218079,False,100->120,"MATR_b4c0,MATR_b1c44,MATR_b2c31,MATR_b1c9,MATR_b4c5,MATR_b3c44,MATR_b1c0,MATR_b3c34,MATR_b3c28,MATR_b4c2","MATR_b2c27,MATR_b4c22,MATR_b4c8,MATR_b3c41,MATR_b3c22,MATR_b2c13,MATR_b1c36,MATR_b4c19",467.0,1000.0,,0.4995640651322901
4,1.0446088314056396,1.0446048974990845,0.004997432231903076,2.20397487282753e-05,0.0008,0.0008,0.6244875192642212,False,180->200,"MATR_b3c11,MATR_b2c25,MATR_b2c10,MATR_b2c43,MATR_b2c36,MATR_b3c10,MATR_b3c27,MATR_b2c47,MATR_b2c45,MATR_b1c15,MATR_b4c38,MATR_b3c41,MATR_b4c26,MATR_b1c45,MATR_b1c16","MATR_b2c14,MATR_b1c26,MATR_b4c43,MATR_b4c44,MATR_b4c25,MATR_b4c40,MATR_b1c23,MATR_b2c35",453.0,1012.0,,0.6800350430421531
5,3.2171366214752197,3.2170944213867188,0.04172467812895775,0.00017915666103363037,0.001,0.001,inf,True,120->140,"MATR_b2c45,MATR_b4c24,MATR_b1c38,MATR_b3c27,MATR_b1c40,MATR_b3c39,MATR_b2c46,MATR_b3c26","MATR_b3c38,MATR_b2c4,MATR_b2c32,MATR_b2c44,MATR_b4c30,MATR_b4c4,MATR_b3c34,MATR_b2c36",443.0,1932.0,,0.7703043911606073
6,1.2692615985870361,1.2692409753799438,0.01712190732359886,1.3593584299087524e-05,0.0012000000000000001,0.0012,3.294248580932617,False,220->240,"MATR_b2c36,MATR_b3c34,MATR_b3c39,MATR_b4c28,MATR_b1c28,MATR_b2c39,MATR_b1c45,MATR_b4c26,MATR_b3c40,MATR_b3c41,MATR_b2c0,MATR_b2c42","MATR_b1c9,MATR_b1c24,MATR_b3c8,MATR_b4c23,MATR_b4c35,MATR_b2c11,MATR_b1c33,MATR_b3c28",476.0,1081.0,,0.8699879609048367
7,1.2737367153167725,1.2736265659332275,0.07874657958745956,1.9781291484832764e-06,0.0014000000000000002,0.0014,2.8033063411712646,False,220->240,"MATR_b4c43,MATR_b3c27,MATR_b4c40,MATR_b2c29,MATR_b4c8,MATR_b1c36,MATR_b3c35,MATR_b3c40","MATR_b1c29,MATR_b1c41,MATR_b1c16,MATR_b2c42,MATR_b2c20,MATR_b4c2,MATR_b3c19,MATR_b1c40",465.0,1152.0,,0.9621192030608654
8,1.1622953414916992,1.1622307300567627,0.0404190756380558,2.119690179824829e-06,0.0016,0.0016,1.3038502931594849,False,240->260,"MATR_b2c43,MATR_b4c4,MATR_b2c35,MATR_b2c39,MATR_b2c10,MATR_b2c6,MATR_b2c26,MATR_b1c38","MATR_b4c19,MATR_b3c12,MATR_b2c42,MATR_b1c24,MATR_b3c22,MATR_b4c27,MATR_b2c13,MATR_b3c11",465.0,1015.0,,1.0526505107991397
9,0.8587898015975952,0.8587700128555298,0.01096864603459835,5.159527063369751e-06,0.0018,0.0018,0.7159809470176697,False,220->240,"MATR_b1c9,MATR_b4c24,MATR_b3c27,MATR_b4c33,MATR_b1c29,MATR_b3c11,MATR_b3c39,MATR_b2c0,MATR_b1c7,MATR_b4c31,MATR_b1c45,MATR_b1c16,MATR_b3c10,MATR_b2c18","MATR_b3c26,MATR_b4c8,MATR_b2c20,MATR_b3c12,MATR_b4c22,MATR_b2c29,MATR_b1c36,MATR_b3c13",497.0,1025.0,,1.169224247802049
10,0.8531462550163269,0.8531312942504883,0.007504895329475403,2.543441951274872e-06,0.002,0.002,1.3814257383346558,False,280->300,"MATR_b1c31,MATR_b4c41,MATR_b3c35,MATR_b4c44,MATR_b1c45,MATR_b4c22,MATR_b2c26,MATR_b2c32,MATR_b2c46","MATR_b2c42,MATR_b4c16,MATR_b4c13,MATR_b4c2,MATR_b2c20,MATR_b1c15,MATR_b1c26,MATR_b2c38",464.0,909.0,,1.2765000401996076
11,0.9189766645431519,0.9189084768295288,0.030977055430412292,2.3383181542158127e-06,0.0022,0.0022,0.8948062062263489,False,240->260,"MATR_b2c20,MATR_b4c39,MATR_b4c38,MATR_b1c17,MATR_b2c13,MATR_b1c41,MATR_b2c47,MATR_b1c38,MATR_b2c46","MATR_b3c8,MATR_b2c18,MATR_b4c8,MATR_b3c0,MATR_b2c39,MATR_b4c17,MATR_b3c27,MATR_b2c23",458.0,1007.0,,1.364838623907417
12,1.2758231163024902,1.27573561668396,0.03612828627228737,0.0002905596047639847,0.0024000000000000002,0.0024,1.8676433563232422,False,120->140,"MATR_b2c17,MATR_b1c32,MATR_b2c43,MATR_b3c41,MATR_b1c33,MATR_b1c24,MATR_b3c28,MATR_b2c31,MATR_b2c2,MATR_b3c26,MATR_b1c31,MATR_b4c37,MATR_b2c46,MATR_b1c15,MATR_b2c28","MATR_b2c6,MATR_b3c19,MATR_b2c47,MATR_b4c33,MATR_b3c34,MATR_b4c24,MATR_b4c4,MATR_b4c8",505.0,1156.0,,1.6032664529047906
13,1.1704777479171753,1.170403242111206,0.02855096384882927,8.238153532147408e-05,0.0026,0.0026,1.0627329349517822,False,180->200,"MATR_b3c0,MATR_b4c13,MATR_b2c39,MATR_b1c1,MATR_b3c25,MATR_b3c21,MATR_b2c5,MATR_b2c23,MATR_b3c19,MATR_b4c27,MATR_b3c8,MATR_b1c9","MATR_b2c0,MATR_b3c35,MATR_b4c37,MATR_b4c40,MATR_b2c13,MATR_b3c5,MATR_b4c0,MATR_b1c29",299.0,1091.0,,1.693561599124223
14,0.7104840278625488,0.710418701171875,0.02332085371017456,2.4887267500162125e-06,0.0028000000000000004,0.0028,1.4896328449249268,False,260->280,"MATR_b1c20,MATR_b1c38,MATR_b2c42,MATR_b4c26,MATR_b4c33,MATR_b1c33,MATR_b2c2,MATR_b4c23,MATR_b3c44,MATR_b4c41,MATR_b4c24,MATR_b4c43,MATR_b4c30,MATR_b4c40,MATR_b1c32,MATR_b2c17","MATR_b1c40,MATR_b3c11,MATR_b3c13,MATR_b2c34,MATR_b2c47,MATR_b3c41,MATR_b1c39,MATR_b1c26",498.0,964.0,,1.817830691114068
15,1.0336560010910034,1.033503532409668,0.05082188546657562,4.4107495341449976e-05,0.003,0.003,4.392918109893799,False,180->200,"MATR_b1c28,MATR_b1c9,MATR_b4c28,MATR_b4c43,MATR_b3c19,MATR_b1c0,MATR_b1c17,MATR_b4c35,MATR_b2c32","MATR_b2c29,MATR_b1c29,MATR_b2c13,MATR_b4c33,MATR_b2c6,MATR_b4c14,MATR_b1c45,MATR_b4c30",482.0,915.0,,1.8914845562539995
16,0.9531930088996887,0.953170657157898,0.006981361657381058,2.0075880456715822e-05,0.0032,0.0032,0.7981329560279846,False,240->260,"MATR_b3c0,MATR_b2c10,MATR_b3c35,MATR_b4c0,MATR_b2c39,MATR_b4c16,MATR_b2c6,MATR_b3c26,MATR_b1c23,MATR_b4c40,MATR_b2c43,MATR_b1c32,MATR_b2c44","MATR_b2c29,MATR_b3c44,MATR_b2c13,MATR_b4c19,MATR_b2c18,MATR_b3c27,MATR_b1c36,MATR_b4c28",482.0,991.0,,1.9824177362024784
17,0.9462698101997375,0.9462538957595825,0.00467413105070591,1.2506730854511261e-05,0.0034000000000000002,0.0034,1.3904715776443481,False,220->240,"MATR_b1c45,MATR_b3c39,MATR_b2c14,MATR_b2c42,MATR_b4c23,MATR_b2c46,MATR_b2c17,MATR_b3c21,MATR_b3c41,MATR_b3c8,MATR_b3c44,MATR_b4c22,MATR_b1c24,MATR_b2c39,MATR_b1c43,MATR_b3c16","MATR_b2c32,MATR_b1c41,MATR_b3c5,MATR_b3c22,MATR_b3c27,MATR_b1c16,MATR_b4c41,MATR_b2c5",479.0,1049.0,,2.078950819093734
18,0.8703604936599731,0.870339035987854,0.00594664178788662,1.660664565861225e-05,0.0036,0.0036,2.2365026473999023,False,240->260,"MATR_b3c5,MATR_b3c27,MATR_b1c17,MATR_b2c42,MATR_b4c4,MATR_b2c6,MATR_b1c26,MATR_b1c24,MATR_b1c39,MATR_b2c5,MATR_b3c25,MATR_b1c32,MATR_b2c43,MATR_b1c0,MATR_b4c38,MATR_b4c13","MATR_b3c0,MATR_b4c39,MATR_b4c16,MATR_b4c14,MATR_b1c7,MATR_b3c11,MATR_b1c38,MATR_b3c35",607.0,1091.0,,2.180973308160901
