horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
100,ok,,16,34,131.1577019922165,95.6873525400688,131.1577019922165,95.6873525400688,14.010179883226304,27.396876941685722,0.7058823529411765,285.527109308576
120,ok,,16,34,142.5874547532269,108.5739284131825,142.5874547532269,108.5739284131825,16.245184868185493,21.8012714426729,0.6470588235294118,244.3579573238486
140,ok,,16,34,149.63957598106947,107.2935055625727,149.63957598106947,107.2935055625727,16.367256268607882,24.48222855079459,0.6176470588235294,219.50965791724045
160,ok,,16,34,152.07922596613773,110.40201017197163,152.07922596613773,110.40201017197163,17.458351732637183,23.717087533249185,0.5882352941176471,202.64451311947866
180,ok,,16,34,144.4796190355373,105.88146786961222,144.4796190355373,105.88146786961222,17.602054245153244,13.848621185764486,0.5882352941176471,190.62407969027112
200,ok,,16,34,142.95011531487927,107.59334977519848,142.95011531487927,107.59334977519848,18.905104814145425,25.954684504327464,0.5294117647058824,188.637190707032
220,ok,,16,34,141.46326903018073,108.00700911721161,141.46326903018073,108.00700911721161,20.01407102994508,23.033979277708035,0.5294117647058824,185.8892862884687
240,ok,,16,34,132.411924506726,103.84544263186865,132.411924506726,103.84544263186865,20.46047326645708,19.92201413046716,0.5588235294117647,180.8532397326911
260,ok,,16,34,128.17629650077703,100.43138337940837,128.17629650077703,100.43138337940837,21.434374032301843,17.55996769128557,0.5882352941176471,177.9355748929617
280,ok,,16,34,126.70303070741357,99.89626907240807,126.70303070741357,99.89626907240807,23.42237743368936,18.552776907919267,0.5882352941176471,178.40751683205747
300,ok,,16,34,121.34219163546724,95.75276933483104,121.34219163546724,95.75276933483104,25.82520267372839,10.076616726145387,0.5588235294117647,173.3222107098835
