horizon_scheme,learning_rate,context_size,seeds_completed,all_folds_complete,mean_best_validation_rmse_cycles_mean,mean_best_validation_rmse_cycles_std,pooled_lifetime_rmse_cycles_mean,pooled_lifetime_rmse_cycles_std,pooled_lifetime_mae_cycles_mean,pooled_lifetime_mae_cycles_std,pooled_lifetime_bias_cycles_mean,pooled_lifetime_bias_cycles_std,pooled_rul_mape_percent_mean,pooled_rul_mape_percent_std,pooled_coverage_mean,pooled_coverage_std,pooled_interval_width_cycles_mean,pooled_interval_width_cycles_std
expanded,2.5e-05,8,1,True,117.44479661522871,,127.85536565134338,,76.06689643389336,,-3.033246261621713,,20.83580990975223,,0.686027898467871,,194.16437997497124,
expanded,2.5e-05,12,1,True,117.44479661522871,,127.32959514119557,,75.68361776779658,,-4.86370707618667,,20.71126251618168,,0.6878573061971187,,193.28739348777665,
expanded,2.5e-05,16,1,True,117.44479661522871,,127.57874952902482,,75.69852095349461,,-4.809035618383176,,20.646694296283417,,0.6892293619940544,,193.34134795348103,
expanded,5e-05,8,1,False,116.61467295533967,,130.2097839601894,,87.56094997725269,,19.323978674497425,,20.888724783861594,,0.7447280799112098,,229.09172561974904,
expanded,5e-05,12,1,False,116.61467295533967,,127.77217206796527,,85.95109102291427,,17.417441078164778,,20.522284493034658,,0.7513873473917869,,227.12533447499834,
expanded,5e-05,16,1,False,116.61467295533967,,126.44451485048975,,85.05849376746605,,16.725083494891813,,20.46371120331372,,0.7480577136514983,,226.00494387694744,
original,2.5e-05,8,3,True,139.1237406227319,7.001557919777142,229.9929821660718,6.875539034336025,138.5960502744661,7.570170345153729,-11.988190743397354,28.075850961268394,50.38458328187053,0.4053529832255238,0.5823614604771705,0.11589570796486019,278.503939859713,64.1019979159579
original,2.5e-05,12,3,True,139.1237406227319,7.001557919777142,229.47360873064676,7.637632153714908,138.35502621821502,7.594788548906052,-12.830451251950178,28.269742349214972,50.443924303123396,0.4195189544547688,0.5822852351551185,0.1154032999074416,277.9812734116637,64.51963217774075
original,2.5e-05,16,3,True,139.1237406227319,7.001557919777142,229.54588759802607,7.086529235451792,138.2765015360094,7.554669509717656,-12.740731877930477,28.352939312762018,50.38193642432577,0.4120361737154908,0.5815229819345987,0.1171448297653157,277.9129125177533,64.71094686834724
original,5e-05,8,3,True,138.50020475250474,2.804756798331226,232.44184588672442,9.038228431885765,142.77575013036076,12.266784584375554,-19.029739278221662,23.445380030409495,52.23917508131643,6.9031764493373995,0.5391417028736947,0.09691446441989486,233.79079772661638,42.57412408443821
original,5e-05,12,3,True,138.50020475250474,2.804756798331226,231.98708150396283,9.051192119090096,142.39596487323087,12.512640233779264,-20.674209076073986,23.802930729296584,52.333617273577005,6.931951214606166,0.5376171964326549,0.09817339142069502,232.6398168661333,42.652370957893396
original,5e-05,16,3,True,138.50020475250474,2.804756798331226,232.05921954205579,9.417703948514934,142.29898272399402,12.745663309149581,-20.95847013487579,23.869544433363973,52.27536202893938,7.023418338686763,0.5386843509413827,0.09884367089055829,232.3539137889286,42.78521110953807
original,0.0001,8,3,True,140.2901152223935,1.0352516864078982,244.815534820078,6.547884716720212,156.61967424978425,11.536903377274491,-26.190939006749364,24.721496908860406,54.95969840142205,7.607031195212272,0.49950453540666206,0.03331561098465161,249.09420064875994,8.542269807109578
original,0.0001,12,3,True,140.2901152223935,1.0352516864078982,244.55591837080155,6.357431799220421,156.20969930848926,11.323322721336213,-26.624098867838825,24.577009416873796,54.877900067739354,7.319719911849059,0.500038112661026,0.0306650406374539,248.59026735263947,8.913511750651995
original,0.0001,16,3,True,140.2901152223935,1.0352516864078982,244.2236337608169,6.4095057290106965,155.79948955856415,11.40287180876627,-26.45974900492943,24.492510989442923,54.704020445419026,7.355165123379161,0.5027059989328455,0.02904934922531091,248.41012612747681,9.082862725829717
