horizon_scheme,seed,learning_rate,context_size,horizon,folds_represented,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_rul_mape_percent,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_unique_test_cells
expanded,42,2.5e-05,8,60,5,226.07917273935624,140.09174524582798,3.710397364117986,18.89810333504085,0.8224852071005917,440.43733391916993,169,169
expanded,42,2.5e-05,8,80,5,208.81223351676482,131.03083520947226,20.188945878309294,19.645914990520243,0.7928994082840237,389.99217574313684,169,169
expanded,42,2.5e-05,8,100,5,191.378445698728,119.47896246574518,20.210517022217516,20.307365991216926,0.7692307692307693,329.3085845502014,169,169
expanded,42,2.5e-05,8,120,5,181.3169558674817,111.72568914677736,12.250234830625226,23.80546208184649,0.7810650887573964,289.6371607130675,169,169
expanded,42,2.5e-05,8,140,5,158.99232647870775,97.62301043075007,-10.728688574069643,51.05059411299791,0.727810650887574,261.32194952099655,169,169
expanded,42,2.5e-05,8,160,5,149.32489990767598,91.50454806144468,-13.061254454683173,13.212763784240552,0.7380952380952381,235.1885346109894,168,168
expanded,42,2.5e-05,8,180,5,147.1864507688132,89.00982284790032,19.59617448005136,13.709597872385379,0.7321428571428571,233.44280507096022,168,168
expanded,42,2.5e-05,8,200,5,124.76367805102079,76.71851780753968,-6.124899451883734,12.091144171180712,0.7321428571428571,203.11785893279406,168,168
expanded,42,2.5e-05,8,220,5,128.80399557328874,80.35203418250991,14.633411729253098,13.305705922645073,0.7083333333333334,210.96082971854162,168,168
expanded,42,2.5e-05,8,240,5,111.85277664519762,71.13736192663679,-11.328796022540473,12.214422447080809,0.7142857142857143,189.77253889102633,168,168
expanded,42,2.5e-05,8,260,5,107.06525662518675,66.84623631475166,-6.346319130672141,12.417534645139778,0.7261904761904762,186.16157689719128,168,168
expanded,42,2.5e-05,8,280,5,104.98205374602865,67.57431885288852,0.5386701628159049,13.679855339999888,0.7142857142857143,181.23546702259668,168,168
expanded,42,2.5e-05,8,300,5,99.76225988560321,63.56892478792126,-16.37201023543912,13.470643163264434,0.688622754491018,156.60144932516158,167,167
expanded,42,2.5e-05,8,320,5,96.67146469362116,60.51549691865968,-0.3434633351924788,15.598501591078367,0.6946107784431138,155.33176628189793,167,167
expanded,42,2.5e-05,8,340,5,97.25963265753103,59.63593861737882,-11.314168872990654,13.068309906254132,0.7048192771084337,146.25991327914434,166,166
expanded,42,2.5e-05,8,360,5,97.02226463022076,58.65002349605153,-12.408357973864437,13.679016782724293,0.6927710843373494,140.2080974763384,166,166
expanded,42,2.5e-05,8,380,5,94.58654134612296,56.234866519169984,-6.925485245415253,14.927589798682241,0.6506024096385542,138.4187099491758,166,166
expanded,42,2.5e-05,8,400,5,95.60210401743579,57.28807254703806,-5.904105302826881,17.161741928562723,0.6265060240963856,132.54196336486612,166,166
expanded,42,2.5e-05,8,420,5,93.04539809893701,56.08950001905258,-14.811881240039929,23.180289352795743,0.6144578313253012,124.94289116157404,166,166
expanded,42,2.5e-05,8,440,5,92.39257412660324,55.06845105545265,-9.515343564178563,28.20740161508181,0.6257668711656442,123.77472209161499,163,163
expanded,42,2.5e-05,8,460,5,92.4984961188071,57.41768077603553,-8.833949050437528,34.82455516844411,0.6258064516129033,127.39182344447562,155,155
expanded,42,2.5e-05,8,480,5,96.95588076094296,61.65694273755513,-3.9052726088639975,39.349581053802886,0.6180555555555556,127.24292636560565,144,144
expanded,42,2.5e-05,8,500,5,96.70927678269766,62.15025876905783,-15.395045244481931,31.185511103700975,0.6212121212121212,127.65477499795405,132,132
expanded,42,2.5e-05,8,520,5,91.88610352605143,63.2834855118917,-2.2772054306651786,27.182727727541135,0.56,131.6770737144497,125,125
expanded,42,2.5e-05,8,540,5,90.20721576925769,64.82336136302281,-1.6580128521234827,22.013187765170812,0.55,134.39284096039742,120,120
expanded,42,2.5e-05,8,560,5,89.38576180770205,62.17346060852091,-13.479265192528826,21.38778371420654,0.5897435897435898,130.41759053892108,117,117
expanded,42,2.5e-05,8,580,5,85.04384372737852,58.29884413073666,-11.191135282049515,24.727638061308653,0.6068376068376068,125.80995584962025,117,117
expanded,42,2.5e-05,8,600,5,87.47627463525045,58.65118538389655,-3.6673235179047117,31.388688915297447,0.591304347826087,130.84244194705357,115,115
expanded,42,2.5e-05,12,60,5,225.10622470818478,138.96919416653404,-3.2364809028634984,18.60906070706201,0.8284023668639053,441.0029642155305,169,169
expanded,42,2.5e-05,12,80,5,207.2306227705656,130.20102569904486,13.863810065725428,19.42359894114056,0.7928994082840237,382.96407120633734,169,169
expanded,42,2.5e-05,12,100,5,189.34115885048988,118.16542192216566,9.872607798269655,19.928546936882427,0.7692307692307693,325.83722739695105,169,169
expanded,42,2.5e-05,12,120,5,181.36762323940434,111.60107731499136,6.575643038728409,23.711695345508133,0.7751479289940828,286.53464804088424,169,169
expanded,42,2.5e-05,12,140,5,160.34600078804877,97.58432899363174,-6.974587430649143,51.86831830547018,0.727810650887574,262.32646867073214,169,169
expanded,42,2.5e-05,12,160,5,150.5972821993669,91.78649969673671,-11.029815654359059,13.258385347600795,0.7321428571428571,235.04044978341872,168,168
expanded,42,2.5e-05,12,180,5,142.0631725475756,85.3423993119811,8.28933961894564,13.040166034348688,0.7440476190476191,227.87714417838313,168,168
expanded,42,2.5e-05,12,200,5,124.3425294638799,77.05800624177849,-3.564201968657881,12.193133373295659,0.7083333333333334,204.86221153875954,168,168
expanded,42,2.5e-05,12,220,5,128.26796893693114,80.4844828414829,10.039027792143662,13.305573667594428,0.7142857142857143,208.65446904615177,168,168
expanded,42,2.5e-05,12,240,5,112.27745333461723,71.0795255892165,-11.40781429578154,12.22916993932828,0.7083333333333334,189.29307937659647,168,168
expanded,42,2.5e-05,12,260,5,107.76119140744936,67.494663713946,-7.0139564114234885,12.563633432582549,0.7321428571428571,186.76552194434788,168,168
expanded,42,2.5e-05,12,280,5,105.54160175952468,67.28124974791861,-1.5597668290654565,13.552731180066383,0.7202380952380952,180.1884868697211,168,168
expanded,42,2.5e-05,12,300,5,98.97602596469251,63.41861914389027,-13.904654862230421,13.508535146726203,0.6826347305389222,157.10139208379616,167,167
expanded,42,2.5e-05,12,320,5,97.37219247204678,61.426344181751,-2.3199426039125353,15.638987956204636,0.6946107784431138,154.14347969214558,167,167
expanded,42,2.5e-05,12,340,5,97.4209960771493,59.301013045404545,-11.21030835365763,12.98640068027147,0.7228915662650602,146.44411355181273,166,166
expanded,42,2.5e-05,12,360,5,96.48719488733755,58.77623570977562,-10.603528696018717,13.746899207529076,0.6927710843373494,141.3947578404132,166,166
expanded,42,2.5e-05,12,380,5,95.27627374178569,57.00152594262555,-7.9086110603354305,15.077031593169387,0.6566265060240963,138.16982241492306,166,166
expanded,42,2.5e-05,12,400,5,94.80304643908265,57.36297156864667,-4.452050414812712,17.274646664204585,0.6325301204819277,133.96912539567407,166,166
expanded,42,2.5e-05,12,420,5,93.20535325660663,55.64750841383185,-14.706501523897051,22.129403130129756,0.6144578313253012,125.24371374316883,166,166
expanded,42,2.5e-05,12,440,5,91.574792847641,54.63283448907831,-10.419140628973691,27.790264474148184,0.6257668711656442,122.66622339147031,163,163
expanded,42,2.5e-05,12,460,5,91.64504474925016,56.47236310912857,-11.130968814907916,35.53379432217351,0.6064516129032258,124.4776320410898,155,155
expanded,42,2.5e-05,12,480,5,95.97920942643984,60.40607236231129,-8.898410127723334,39.30459645479294,0.6180555555555556,124.9918639297535,144,144
expanded,42,2.5e-05,12,500,5,94.83064666826328,62.484319810883335,-9.74108619721285,30.315771780542082,0.5984848484848485,130.200455815934,132,132
expanded,42,2.5e-05,12,520,5,92.727505715492,64.14264731292263,-2.2749707077711143,27.155654755815966,0.584,132.2141629398362,125,125
