horizon_scheme,seed,learning_rate,context_size,folds_completed,expected_folds,mean_best_validation_rmse_cycles,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_rul_mape_percent,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_unique_test_cells
expanded,42,2.5e-05,8,5,5,117.44479661522871,127.85536565134338,76.06689643389336,-3.033246261621713,20.83580990975223,0.686027898467871,194.16437997497124,4373,169
expanded,42,2.5e-05,12,5,5,117.44479661522871,127.32959514119557,75.68361776779658,-4.86370707618667,20.71126251618168,0.6878573061971187,193.28739348777665,4373,169
expanded,42,2.5e-05,16,5,5,117.44479661522871,127.57874952902482,75.69852095349461,-4.809035618383176,20.646694296283417,0.6892293619940544,193.34134795348103,4373,169
expanded,42,5e-05,8,1,5,116.61467295533967,130.2097839601894,87.56094997725269,19.323978674497425,20.888724783861594,0.7447280799112098,229.09172561974904,901,34
expanded,42,5e-05,12,1,5,116.61467295533967,127.77217206796527,85.95109102291427,17.417441078164778,20.522284493034658,0.7513873473917869,227.12533447499834,901,34
expanded,42,5e-05,16,1,5,116.61467295533967,126.44451485048975,85.05849376746605,16.725083494891813,20.46371120331372,0.7480577136514983,226.00494387694744,901,34
original,42,2.5e-05,8,5,5,139.78429448917714,235.92743389748017,144.96580023176776,-26.887176808927244,50.71115878728678,0.5568259775897553,270.50375053505235,4373,169
original,42,2.5e-05,12,5,5,139.78429448917714,235.96853538728516,144.97022776991733,-27.24487413500115,50.84900839956461,0.5556825977589755,270.41763601669214,4373,169
original,42,2.5e-05,16,5,5,139.78429448917714,235.5416698913028,144.72603314452832,-27.022776977483545,50.74852708394273,0.5552252458266637,270.3602351948039,4373,169
original,42,5e-05,8,5,5,135.26158257041828,235.27723709214354,141.28173220688987,-10.241981275057157,44.51890611509811,0.5113194603247199,207.57386029706205,4373,169
original,42,5e-05,12,5,5,135.26158257041828,234.63036862236956,140.89016990116156,-11.186753830854787,44.627099928742446,0.5129201920878116,207.2554893171624,4373,169
original,42,5e-05,16,5,5,135.26158257041828,234.59106162244998,140.7147885647208,-11.169936649738057,44.49764176072527,0.5152069517493711,207.14790507097263,4373,169
original,42,0.0001,8,5,5,139.73847601677977,244.8931283444206,150.1662573379093,-7.360493622693312,46.38346278438611,0.5220672307340498,246.513291192249,4373,169
original,42,0.0001,12,5,5,139.73847601677977,245.24622262800466,150.0277072852873,-7.474268864055822,46.585531004728345,0.521381202835582,245.85011996959588,4373,169
original,42,0.0001,16,5,5,139.73847601677977,245.13401075327806,149.56733911015112,-7.243020912638578,46.37540331817967,0.5252686942602333,245.67700413968805,4373,169
original,52,2.5e-05,8,5,5,145.77161278121957,231.59300372068182,130.2268534341118,20.39658989275639,49.930912384926344,0.7088954950834667,346.23051147546244,4373,169
original,52,2.5e-05,12,5,5,145.77161278121957,231.39290170673425,130.0614306143119,19.741039051834154,50.01132506798044,0.7086668191173108,345.9493560475421,4373,169
original,52,2.5e-05,16,5,5,145.77161278121957,231.3705313267033,129.964920625606,19.91316111999272,49.93599632555872,0.7095815229819346,346.06878553246486,4373,169
original,52,5e-05,8,5,5,140.1319845667483,222.3258751261964,131.3244011340457,-1.247790747811157,54.3811912892125,0.6469243082552024,282.9139882287164,4373,169
original,52,5e-05,12,5,5,140.1319845667483,221.90850619420166,130.70436149556835,-3.0780473517963984,54.313605956910216,0.6457809284244226,281.88265347293014,4373,169
original,52,5e-05,16,5,5,140.1319845667483,221.63439685254332,130.41947059881787,-3.5392071115360353,54.17457251241441,0.6471529842213584,281.7545693374932,4373,169
original,52,0.0001,8,5,5,141.48436647444422,238.22919816133538,149.75355370896804,-17.026249040388592,57.60371749461124,0.5152069517493711,242.13998720659004,4373,169
original,52,0.0001,12,5,5,141.48436647444422,237.8815049025092,149.3229767221176,-18.060866224594054,57.60783565219035,0.5138348959524354,241.36852016797846,4373,169
original,52,0.0001,16,5,5,141.48436647444422,237.40761403046926,148.87087906949841,-18.09810705112589,57.42817049239386,0.5129201920878116,241.00765476619276,4373,169
original,62,2.5e-05,8,5,5,131.815314597799,222.45850888005344,140.59549715751876,-29.473985314021206,50.511678673398485,0.4813629087582895,218.7775575686242,4373,169
original,62,2.5e-05,12,5,5,131.815314597799,221.05938909792093,140.0334202704158,-30.987518672683535,50.47143944182514,0.4825062885890693,217.57682817075687,4373,169
original,62,2.5e-05,16,5,5,131.815314597799,221.72546157607215,140.13855083789386,-31.1125797763006,50.46128586347588,0.4797621769951978,217.309716825991,4373,169
original,62,5e-05,8,5,5,140.10704712034774,239.72242544183337,155.72111705014674,-45.59944581179667,57.81742783963869,0.4591813400411617,210.8845446540707,4373,169
original,62,5e-05,12,5,5,140.10704712034774,239.4223696953173,155.5933632229627,-47.75782604557077,58.060145935078346,0.4541504687857306,208.7813078083074,4373,169
original,62,5e-05,16,5,5,140.10704712034774,239.95220015117417,155.76268900844337,-48.166266643353275,58.15387181367846,0.45369311685341873,208.15926695831996,4373,169
original,62,0.0001,8,5,5,139.6475031759565,251.32427795447802,169.93921170247543,-54.186074357166184,60.89191492526881,0.4612394237365653,258.6293235474408,4373,169
original,62,0.0001,12,5,5,139.6475031759565,250.54002758189077,169.2784139180629,-54.3371615148666,60.44033354629937,0.4648982391950606,258.5521619203441,4373,169
original,62,0.0001,16,5,5,139.6475031759565,250.12927649870335,168.9602504960429,-54.03811905102383,60.30848752568354,0.4699291104504916,258.5457194765496,4373,169
