horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
60,ok,,16,34,782.9168876055913,708.1226844365511,782.9168876055913,708.1226844365511,118.9418302242601,655.7845856443761,0.11764705882352941,532.6880426120376
80,ok,,16,34,396.61745779333927,302.59045500273305,396.61745779333927,302.59045500273305,42.404435868251376,254.6135799300221,0.35294117647058826,417.48205942836825
100,ok,,16,34,210.68403199488088,123.94070150089583,210.68403199488088,123.94070150089583,13.722162029030645,-49.256360439637064,0.6176470588235294,222.92305282236973
120,ok,,16,34,198.3859251578782,117.28776924641524,198.3859251578782,117.28776924641524,13.692146028582552,-26.475049220196496,0.5588235294117647,210.05828345649547
140,ok,,16,34,191.92789888874842,108.24361157118823,191.92789888874842,108.24361157118823,12.784961139977206,-36.74803485507961,0.5882352941176471,191.56420759173434
160,ok,,16,34,188.0837469416386,107.23967647190038,188.0837469416386,107.23967647190038,12.971686092679066,-38.9009039347313,0.5882352941176471,175.74051834082564
180,ok,,16,34,191.12518274299805,105.02011692842589,191.12518274299805,105.02011692842589,13.020241807940744,-26.675870285872517,0.6176470588235294,169.72596775817897
200,ok,,16,34,180.37601315743245,100.79660282239259,180.37601315743245,100.79660282239259,13.069584965075345,-32.99092946861298,0.6470588235294118,169.20290239011126
220,ok,,16,34,189.25763503767396,106.11217057113191,189.25763503767396,106.11217057113191,14.38554124485661,-22.472577857089245,0.6470588235294118,166.5963629579281
240,ok,,16,34,182.08591975349975,101.79066719277911,182.08591975349975,101.79066719277911,14.569438463102873,-30.33885925003257,0.6176470588235294,161.34698642858552
260,ok,,16,34,179.45091316484476,100.21878615399794,179.45091316484476,100.21878615399794,14.99840876341835,-28.84941522669259,0.5882352941176471,163.54787543101915
280,ok,,16,34,178.3292332763172,99.43657230644864,178.3292332763172,99.43657230644864,15.465411293750755,-21.075045705168193,0.5882352941176471,159.2602192123977
300,ok,,16,34,172.47022728599137,96.16346589609633,172.47022728599137,96.16346589609633,15.89490872512022,-28.244486837342926,0.6176470588235294,158.72038279240115
320,ok,,16,34,171.6779297362978,94.4487122622694,171.6779297362978,94.4487122622694,16.422234909682427,-42.11876983622651,0.5882352941176471,153.9831152922131
340,ok,,16,34,171.3888092594374,92.86667801008954,171.3888092594374,92.86667801008954,17.39617788279795,-54.09289404537873,0.5294117647058824,151.67275956213763
360,ok,,16,34,177.07474429470759,99.45738804845773,177.07474429470759,99.45738804845773,19.40482792484892,-68.65056961896377,0.47058823529411764,144.08683388153023
380,ok,,16,34,186.61545811576187,112.22570262977287,186.61545811576187,112.22570262977287,23.857883509809575,-82.92832543110403,0.38235294117647056,141.58690115909917
400,ok,,16,34,191.22237889615613,119.41892548757532,191.22237889615613,119.41892548757532,27.913484687489397,-90.09161554249465,0.4117647058823529,135.7868707685888
420,ok,,16,34,204.6690859973967,134.9824112894834,204.6690859973967,134.9824112894834,43.83937050309441,-109.19830102483513,0.20588235294117646,135.69134880729482
440,ok,,16,34,216.56931757668772,142.7466439296596,216.56931757668772,142.7466439296596,103.12775033429217,-120.395936731196,0.20588235294117646,127.12854496209587
460,ok,,16,30,239.32685983325095,167.4072462237359,239.32685983325095,167.4072462237359,133.1195484006231,-146.6410145064339,0.16666666666666666,134.53399215164913
480,ok,,16,28,260.0058067725678,183.81237354123186,260.0058067725678,183.81237354123186,78.65155240359326,-167.08412002085146,0.21428571428571427,137.46005023749728
500,ok,,16,26,274.1511306275925,197.12863161925736,274.1511306275925,197.12863161925736,62.63715872703386,-179.32165341182392,0.19230769230769232,143.6228613584402
520,ok,,16,25,299.5577319128219,216.1911240152663,299.5577319128219,216.1911240152663,71.76078608333432,-200.4811158606278,0.16,141.46694569604398
540,ok,,16,24,328.34617765807633,231.62501268121022,328.34617765807633,231.62501268121022,43.94461786214595,-218.93936838324942,0.20833333333333334,138.57890706015095
560,ok,,16,24,351.7186121463186,242.38176627052232,351.7186121463186,242.38176627052232,48.13945310710548,-230.15157638289472,0.16666666666666666,125.19678637379498
580,ok,,16,24,365.65707614198845,253.86957850988475,365.65707614198845,253.86957850988475,53.13210488577457,-245.52234947832184,0.20833333333333334,121.38251439942398
600,ok,,16,24,379.7217165021136,267.55003241163035,379.7217165021136,267.55003241163035,70.37037116930725,-264.6035898593131,0.125,110.91154355839353
