horizon,status,reason,num_context_cells,num_test_cells,lifetime_rmse_cycles,lifetime_mae_cycles,rul_rmse_cycles,rul_mae_cycles,rul_mape_percent,rul_bias_cycles,rul_coverage,rul_mean_interval_width_cycles
60,ok,,8,33,722.0600816117617,605.1021003039878,722.0600816117617,605.1021003039878,110.42599009076058,590.2933466589201,0.18181818181818182,323.3825471462823
80,ok,,8,33,543.4895840149989,426.72948756551756,543.4895840149989,426.72948756551756,66.22128655228448,421.5489138653785,0.09090909090909091,307.6365836628815
100,ok,,8,33,125.4273313004449,90.50819360725959,125.4273313004449,90.50819360725959,13.079390946020839,21.904330544553254,0.7272727272727273,287.0786073048325
120,ok,,8,33,115.04443260025265,89.1372667430292,115.04443260025265,89.1372667430292,13.346957339516557,12.557859530070424,0.6666666666666666,233.45728488603692
140,ok,,8,33,90.05778726866946,68.10187310507989,90.05778726866946,68.10187310507989,10.353311392714467,-1.7439397951685096,0.7575757575757576,176.33611836462347
160,ok,,8,33,82.07867483001036,60.37548265385502,82.07867483001036,60.37548265385502,9.785771458737399,1.732530118476599,0.7575757575757576,167.69147108180383
180,ok,,8,33,101.43800179249845,70.68564062010721,101.43800179249845,70.68564062010721,10.412651976310379,29.891462149717004,0.6666666666666666,154.99097112926572
200,ok,,8,33,109.05138957529273,71.13613254546927,109.05138957529273,71.13613254546927,10.427645913613599,23.531902168221176,0.5757575757575758,128.73139938859305
220,ok,,8,33,115.71396805031442,72.74320494968939,115.71396805031442,72.74320494968939,11.055014805870895,28.698968920765974,0.6060606060606061,126.84970100540006
240,ok,,8,33,111.95212054999067,67.56623175088161,111.95212054999067,67.56623175088161,10.624122769288997,24.767865999659833,0.6363636363636364,125.11758387592431
260,ok,,8,33,117.27539679816337,69.38308731600199,117.27539679816337,69.38308731600199,11.606470405754967,28.09736294991044,0.6666666666666666,129.22019518489338
280,ok,,8,33,107.6078151496647,64.25444206998841,107.6078151496647,64.25444206998841,13.153198487358758,19.065982791708354,0.6060606060606061,128.69560813356046
300,ok,,8,32,108.43578183922638,66.1541822764952,108.43578183922638,66.1541822764952,11.705452583661273,11.261966009503807,0.5625,128.50882371046708
320,ok,,8,32,85.41332439785724,59.567213799287984,85.41332439785724,59.567213799287984,11.794856944624089,-8.703881747577782,0.53125,116.8634150637373
340,ok,,8,32,91.19463639097948,63.63187680464055,91.19463639097948,63.63187680464055,13.928779529491164,-29.73731688202404,0.5625,114.07274262088825
360,ok,,8,32,102.17520577408166,70.28844613998818,102.17520577408166,70.28844613998818,15.948744438891799,-34.879306628130045,0.4375,110.31661838185704
380,ok,,8,32,125.53068076393335,81.13815811306125,125.53068076393335,81.13815811306125,19.141143247116137,-30.04767960286997,0.4375,112.01149838436751
400,ok,,8,32,129.84168907621523,83.25894946793387,129.84168907621523,83.25894946793387,22.907695444317987,-28.2537802017695,0.34375,112.17604159580661
420,ok,,8,32,131.24541697358953,98.13198085580086,131.24541697358953,98.13198085580086,36.02627931990258,-63.143267334629314,0.28125,111.3305909897509
440,ok,,8,32,147.9256323054985,112.16720527830901,147.9256323054985,112.16720527830901,55.932846781943326,-73.59582888967977,0.25,110.03756215678565
460,ok,,8,32,149.41453936521546,123.43975519260641,149.41453936521546,123.43975519260641,361.6814182537259,-96.89353444013736,0.1875,111.39445761289338
480,ok,,8,28,164.5617216155296,140.1544245169893,164.5617216155296,140.1544245169893,200.8912738371099,-110.62141877252155,0.21428571428571427,123.03361869445267
500,ok,,8,25,167.9865469284061,144.8826112854848,167.9865469284061,144.8826112854848,89.57923854265209,-135.57975318791944,0.2,132.20928999752726
520,ok,,8,24,222.5153103264775,203.12097566245833,222.5153103264775,203.12097566245833,67.69426594093076,-203.12097566245833,0.08333333333333333,116.8789386884954
540,ok,,8,24,280.70326479450785,253.3332891279708,280.70326479450785,253.3332891279708,90.24342174202445,-253.3332891279708,0.041666666666666664,122.87732494437479
560,ok,,8,24,292.92004974622796,266.2788566451672,292.92004974622796,266.2788566451672,115.7497340388364,-266.2788566451672,0.041666666666666664,131.94272254363287
580,ok,,8,24,338.2351222501598,308.29087956782035,338.2351222501598,308.29087956782035,179.77378388178028,-308.29087956782035,0.0,107.47931535922721
600,ok,,8,23,366.15136389234357,337.03686363406683,366.15136389234357,337.03686363406683,207.6775264994314,-337.03686363406683,0.0,111.03314030836937
