horizon_scheme,seed,learning_rate,fold,context_size,run_tag,run_dir,evaluation_dir,prediction_csv,best_step,best_validation_rmse_cycles,mean_horizon_lifetime_rmse_cycles,mean_horizon_lifetime_mae_cycles,mean_rmse_below_training_range_cycles,mean_rmse_at_trained_horizons_cycles,mean_rmse_above_training_range_cycles,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_test_cells,num_evaluation_horizons,num_valid_horizons,num_skipped_horizons,minimum_actual_context_cells,mean_actual_context_cells,status,error
original,42,2.5e-05,0,8,horiginal_s42_lr2p5em05_f0,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f0/20260830_125015_735243_f0_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f0/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f0/context_8/per_cell_predictions.csv,6500,127.88052307348659,197.75514166836027,127.87093840178306,368.5135601285283,186.57315495637337,183.1874761291282,206.47110595465824,126.38861143910066,-11.819516536645185,0.6847946725860156,290.2419819580179,901,34,28,28,0,8,8.0,completed,
original,42,2.5e-05,0,12,horiginal_s42_lr2p5em05_f0,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f0/20260830_125015_735243_f0_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f0/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f0/context_12/per_cell_predictions.csv,6500,127.88052307348659,197.0032805116721,127.73921574450459,371.41590062471835,184.6560461194583,182.80290305088934,205.88616393919372,126.18506685436482,-13.363487001617116,0.6781354051054383,289.4382208019575,901,34,28,28,0,12,12.0,completed,
original,42,2.5e-05,0,16,horiginal_s42_lr2p5em05_f0,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f0/20260830_125015_735243_f0_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f0/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f0/context_16/per_cell_predictions.csv,6500,127.88052307348659,196.28345310730037,127.3111189977014,369.3401101617151,184.18750300833338,182.07959557262092,205.17533993341144,125.73837110864366,-13.8724166004283,0.6792452830188679,288.85844921991475,901,34,28,28,0,16,16.0,completed,
original,42,2.5e-05,1,8,horiginal_s42_lr2p5em05_f1,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f1/20260830_130059_519953_f1_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f1/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f1/context_8/per_cell_predictions.csv,10500,172.5157138363093,162.2453833939971,134.9203377804663,662.7168942657436,113.99527521583224,130.89926127508505,221.4836137149969,134.85745647277494,7.388400982024193,0.3359550561797753,175.9300938144213,890,34,28,28,0,8,8.0,completed,
original,42,2.5e-05,1,12,horiginal_s42_lr2p5em05_f1,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f1/20260830_130059_519953_f1_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f1/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f1/context_12/per_cell_predictions.csv,10500,172.5157138363093,163.3416397054029,135.99364425128925,677.6592195773717,113.62602413197229,131.22408047632283,224.2869023766886,135.92954764333857,8.238477585997881,0.33370786516853934,176.75743262924524,890,34,28,28,0,12,12.0,completed,
original,42,2.5e-05,1,16,horiginal_s42_lr2p5em05_f1,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f1/20260830_130059_519953_f1_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f1/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f1/context_16/per_cell_predictions.csv,10500,172.5157138363093,163.39857781405522,136.09137704959545,678.1892063518399,113.3988242508331,131.42631328871346,224.37563638224103,135.98722191110636,8.49337074747905,0.33146067415730335,176.4545370688246,890,34,28,28,0,16,16.0,completed,
original,42,2.5e-05,2,8,horiginal_s42_lr2p5em05_f2,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f2/20260830_131438_407291_f2_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f2/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f2/context_8/per_cell_predictions.csv,3000,146.27138612453916,260.514560817847,174.86340639911097,360.5756534709467,213.56811652658425,281.60047427769314,262.93746053159197,167.75899612362835,-98.55536925407291,0.7084745762711865,411.141208761099,885,34,28,28,0,8,8.0,completed,
original,42,2.5e-05,2,12,horiginal_s42_lr2p5em05_f2,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f2/20260830_131438_407291_f2_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f2/context_12,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f2/context_12/per_cell_predictions.csv,3000,146.27138612453916,260.23256984113766,174.8689634151966,364.74554672043996,211.9356305442727,281.7152617415982,263.009359671275,167.69594879491768,-97.04141296793918,0.7096045197740113,412.4126244968978,885,34,28,28,0,12,12.0,completed,
original,42,2.5e-05,2,16,horiginal_s42_lr2p5em05_f2,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f2/20260830_131438_407291_f2_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f2/context_16,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f2/context_16/per_cell_predictions.csv,3000,146.27138612453916,259.16071020887546,174.20241437571755,362.8496687064003,210.87867648155796,280.742340475905,261.9556654827439,166.98591480313374,-95.69473755321002,0.711864406779661,413.1327963506413,885,34,28,28,0,16,16.0,completed,
original,42,2.5e-05,3,8,horiginal_s42_lr2p5em05_f3,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/runs/horiginal_s42_lr2p5em05_f3/20260830_132319_221590_f3_life_iv_base_s42,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f3/context_8,/home/JunseoPark/바탕화면/battery_gru/outputs/horizon_lifetime_iv_anp_grid/suites/20260830_124935_068102/evaluations/horiginal_s42_lr2p5em05_f3/context_8/per_cell_predictions.csv,5500,134.0598420451657,225.2067659088786,164.0640174990076,548.4991012744806,167.67206321738908,224.29323650055719,250.28245158507295,153.79178634971802,-18.528859228172845,0.633769322235434,323.1449758560339,841,34,28,28,0,8,8.0,completed,
