step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,0.8551132082939148,0.855108380317688,0.024251386523246765,0.0,0.0,0.0002,2.09944486618042,False,540,"MATR_b1c31,MATR_b4c35,MATR_b1c33,MATR_b1c27,MATR_b4c42,MATR_b1c32,MATR_b1c17,MATR_b3c1,MATR_b3c26,MATR_b4c15,MATR_b4c38,MATR_b1c16,MATR_b1c9","MATR_b3c18,MATR_b4c29,MATR_b4c1,MATR_b4c22,MATR_b1c44,MATR_b3c11,MATR_b1c5,MATR_b3c20",614.0,1143.0,,0.32375996885821223
2,2.7129786014556885,2.7129764556884766,0.005432192236185074,0.0,0.0,0.0004,,True,200,"MATR_b4c32,MATR_b3c24,MATR_b1c9,MATR_b3c28,MATR_b1c5,MATR_b4c38,MATR_b3c7,MATR_b1c25,MATR_b3c35,MATR_b2c27,MATR_b4c4,MATR_b4c10,MATR_b1c42","MATR_b2c29,MATR_b4c33,MATR_b4c22,MATR_b2c44,MATR_b2c40,MATR_b3c38,MATR_b2c25,MATR_b3c34",455.0,1932.0,,0.5313636972568929
3,1.2436405420303345,1.2436304092407227,0.016897886991500854,0.0,0.0,0.0006,3.398239850997925,False,180,"MATR_b4c5,MATR_b4c18,MATR_b1c36,MATR_b2c32,MATR_b4c32,MATR_b2c4,MATR_b3c19,MATR_b2c19,MATR_b1c20,MATR_b2c24,MATR_b2c12,MATR_b3c44,MATR_b4c11,MATR_b4c26,MATR_b3c33,MATR_b1c17","MATR_b3c34,MATR_b1c33,MATR_b3c26,MATR_b2c39,MATR_b3c39,MATR_b1c5,MATR_b3c18,MATR_b4c10",458.0,1156.0,,0.7272603870369494
4,1.0068466663360596,1.0068365335464478,0.012672263197600842,0.0,0.0,0.0008,1.684293270111084,False,440,"MATR_b1c35,MATR_b4c42,MATR_b2c44,MATR_b1c1,MATR_b1c43,MATR_b2c39,MATR_b1c4,MATR_b2c19,MATR_b4c16,MATR_b4c33,MATR_b1c31,MATR_b2c10","MATR_b2c43,MATR_b3c24,MATR_b4c11,MATR_b4c25,MATR_b3c19,MATR_b1c18,MATR_b1c34,MATR_b1c32",453.0,1152.0,,0.9019472780637443
5,1.3178606033325195,1.3178255558013916,0.0350838378071785,0.0,0.0,0.001,5.212965965270996,False,180,"MATR_b4c32,MATR_b4c22,MATR_b3c19,MATR_b1c29,MATR_b1c1,MATR_b1c20,MATR_b1c25,MATR_b3c13,MATR_b3c20,MATR_b1c42","MATR_b3c11,MATR_b4c11,MATR_b1c34,MATR_b2c10,MATR_b2c0,MATR_b4c25,MATR_b1c9,MATR_b2c17",299.0,1052.0,,0.9740915629081428
6,0.6559252142906189,0.6558924913406372,0.027273230254650116,0.0,0.0,0.0012,2.5569047927856445,False,500,"MATR_b1c1,MATR_b1c28,MATR_b4c32,MATR_b1c20,MATR_b4c3,MATR_b4c33,MATR_b1c19,MATR_b1c33,MATR_b3c45,MATR_b4c23,MATR_b4c34,MATR_b3c22","MATR_b4c37,MATR_b1c32,MATR_b3c26,MATR_b4c39,MATR_b4c5,MATR_b3c36,MATR_b1c17,MATR_b1c42",700.0,1025.0,,1.1625155908986926
7,1.8062396049499512,1.8062269687652588,0.009046338498592377,0.0,0.0,0.0014,6.012923717498779,False,560,"MATR_b4c34,MATR_b4c42,MATR_b3c19,MATR_b1c33,MATR_b3c35,MATR_b4c1,MATR_b3c45,MATR_b4c39,MATR_b1c31,MATR_b4c29,MATR_b1c19,MATR_b3c24","MATR_b3c22,MATR_b1c9,MATR_b1c43,MATR_b3c14,MATR_b1c4,MATR_b3c29,MATR_b3c18,MATR_b1c28",649.0,1705.0,,1.276442538946867
8,0.8068650960922241,0.8068228363990784,0.02641480229794979,0.0,0.0,0.0016,1.3909189701080322,False,560,"MATR_b1c1,MATR_b3c33,MATR_b3c36,MATR_b4c34,MATR_b1c4,MATR_b4c30,MATR_b3c17,MATR_b4c16,MATR_b1c35,MATR_b1c25,MATR_b1c28,MATR_b1c36,MATR_b4c4","MATR_b3c18,MATR_b3c6,MATR_b1c14,MATR_b1c43,MATR_b4c44,MATR_b4c22,MATR_b3c44,MATR_b1c18",649.0,1143.0,,1.4272393910214305
9,1.0315666198730469,1.031554937362671,0.006501350086182356,0.0,0.0,0.0018,5.043740272521973,False,360,"MATR_b4c9,MATR_b4c33,MATR_b3c7,MATR_b4c29,MATR_b4c15,MATR_b2c39,MATR_b2c28,MATR_b2c18,MATR_b2c30","MATR_b2c29,MATR_b3c28,MATR_b1c19,MATR_b4c8,MATR_b1c26,MATR_b4c6,MATR_b2c33,MATR_b2c22",497.0,868.0,,1.5629905611276627
10,2.0392768383026123,2.0392074584960938,0.03464246541261673,0.0,0.0,0.002,5.316960334777832,False,280,"MATR_b3c19,MATR_b4c13,MATR_b2c43,MATR_b3c26,MATR_b3c31,MATR_b3c3,MATR_b1c44,MATR_b4c44,MATR_b1c33","MATR_b3c34,MATR_b3c20,MATR_b4c3,MATR_b2c24,MATR_b2c17,MATR_b1c4,MATR_b4c5,MATR_b2c27",467.0,1705.0,,1.6381536712870002
