step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,0.8574550747871399,0.8574533462524414,0.008737130090594292,0.0,0.0,0.0002,1.5698177814483643,False,100,"MATR_b1c41,MATR_b3c22,MATR_b1c43,MATR_b4c39,MATR_b2c45,MATR_b3c40,MATR_b1c24,MATR_b4c23,MATR_b4c37,MATR_b2c29,MATR_b3c0,MATR_b3c38,MATR_b2c46,MATR_b2c28","MATR_b3c5,MATR_b4c20,MATR_b1c26,MATR_b4c28,MATR_b1c33,MATR_b2c44,MATR_b3c8,MATR_b2c39",455.0,868.0,,0.2583758649416268
2,1.689955472946167,1.689950942993164,0.011417482048273087,0.0,0.0,0.0004,,True,600,"MATR_b1c31,MATR_b4c4,MATR_b4c40,MATR_b1c29,MATR_b3c8,MATR_b3c25,MATR_b4c14,MATR_b3c44,MATR_b4c0,MATR_b3c40,MATR_b3c0,MATR_b1c7","MATR_b3c13,MATR_b2c47,MATR_b3c12,MATR_b4c20,MATR_b4c35,MATR_b1c15,MATR_b3c27,MATR_b3c16",712.0,1635.0,,0.531453397590667
3,0.939564049243927,0.939548134803772,0.026520613580942154,0.0,0.0,0.0006,0.9697821736335754,False,100,"MATR_b4c0,MATR_b1c44,MATR_b2c31,MATR_b1c9,MATR_b4c5,MATR_b3c44,MATR_b1c0,MATR_b3c34,MATR_b3c28,MATR_b4c2","MATR_b2c27,MATR_b4c22,MATR_b4c8,MATR_b3c41,MATR_b3c22,MATR_b2c13,MATR_b1c36,MATR_b4c19",467.0,1000.0,,0.7143012937158346
4,1.2388211488723755,1.238814353942871,0.008420929312705994,0.0,0.0,0.0008,4.096144676208496,False,320,"MATR_b3c12,MATR_b2c25,MATR_b2c10,MATR_b2c43,MATR_b2c36,MATR_b3c10,MATR_b3c27,MATR_b2c47,MATR_b2c45,MATR_b1c15,MATR_b4c38,MATR_b3c41,MATR_b4c26,MATR_b1c45,MATR_b1c16","MATR_b2c17,MATR_b1c26,MATR_b4c43,MATR_b4c25,MATR_b2c46,MATR_b2c14,MATR_b1c23,MATR_b2c35",428.0,1012.0,,0.9192932527512312
5,3.061405658721924,3.0613551139831543,0.050656817853450775,0.0,0.0,0.001,,True,100,"MATR_b2c45,MATR_b4c24,MATR_b1c38,MATR_b3c27,MATR_b1c40,MATR_b3c39,MATR_b2c46,MATR_b3c26","MATR_b3c38,MATR_b2c4,MATR_b2c32,MATR_b2c44,MATR_b4c30,MATR_b4c4,MATR_b3c34,MATR_b2c36",443.0,1932.0,,1.0287532256916165
6,1.069213628768921,1.0691735744476318,0.033407509326934814,0.0,0.0,0.0012,2.672421455383301,False,440,"MATR_b2c36,MATR_b3c34,MATR_b3c4,MATR_b4c40,MATR_b1c28,MATR_b2c39,MATR_b1c44,MATR_b1c9,MATR_b3c41,MATR_b3c44,MATR_b4c28,MATR_b2c43","MATR_b1c7,MATR_b1c24,MATR_b4c0,MATR_b4c23,MATR_b4c35,MATR_b2c11,MATR_b1c32,MATR_b4c30",476.0,1081.0,,1.1424829605966806
7,0.9650180339813232,0.9649854898452759,0.023226235061883926,0.0,0.0,0.0014,1.5754326581954956,False,400,"MATR_b4c43,MATR_b3c27,MATR_b4c40,MATR_b2c31,MATR_b4c8,MATR_b1c36,MATR_b3c35,MATR_b3c41","MATR_b1c29,MATR_b1c41,MATR_b1c16,MATR_b2c43,MATR_b2c23,MATR_b4c2,MATR_b3c21,MATR_b1c40",461.0,1049.0,,1.2278049979358912
8,0.8990575671195984,0.899005651473999,0.03245058283209801,0.0,0.0,0.0016,2.7256057262420654,False,480,"MATR_b3c0,MATR_b4c4,MATR_b2c34,MATR_b2c45,MATR_b1c44,MATR_b3c16,MATR_b2c20,MATR_b1c33","MATR_b4c2,MATR_b3c25,MATR_b2c47,MATR_b1c23,MATR_b3c28,MATR_b4c28,MATR_b1c9,MATR_b3c21",539.0,1052.0,,1.3096964177675545
9,0.9070919752120972,0.9070760011672974,0.008872933685779572,0.0,0.0,0.0018,2.423151731491089,False,420,"MATR_b1c9,MATR_b4c24,MATR_b3c27,MATR_b4c37,MATR_b1c29,MATR_b3c11,MATR_b3c39,MATR_b2c10,MATR_b1c7,MATR_b4c31,MATR_b1c45,MATR_b1c16,MATR_b4c43,MATR_b2c18","MATR_b3c26,MATR_b4c8,MATR_b2c23,MATR_b3c13,MATR_b4c22,MATR_b2c31,MATR_b1c36,MATR_b4c33",491.0,1025.0,,1.4248501448892057
10,3.7314937114715576,3.731442928314209,0.02536047250032425,0.0,0.0,0.002,14.297335624694824,False,600,"MATR_b1c24,MATR_b4c41,MATR_b3c41,MATR_b3c8,MATR_b1c33,MATR_b4c20,MATR_b2c47,MATR_b3c11,MATR_b3c22","MATR_b3c19,MATR_b4c14,MATR_b4c24,MATR_b4c19,MATR_b1c44,MATR_b1c1,MATR_b1c17,MATR_b3c13",607.0,2154.0,,1.552761151921004
