step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,1.709944248199463,1.70994234085083,0.009547211229801178,0.0,0.0,0.0002,2.8469974994659424,False,120,"MATR_b2c24,MATR_b2c2,MATR_b4c41,MATR_b2c21,MATR_b1c5,MATR_b1c24,MATR_b1c45,MATR_b2c23,MATR_b2c25,MATR_b4c3,MATR_b4c14,MATR_b1c15,MATR_b2c22,MATR_b3c35","MATR_b1c3,MATR_b2c42,MATR_b1c30,MATR_b4c34,MATR_b3c14,MATR_b2c1,MATR_b1c23,MATR_b4c21",147.0,1431.0,,0.15340643702074885
2,0.8186906576156616,0.8186887502670288,0.004716087132692337,0.0,0.0,0.0004,1.5181876420974731,False,180,"MATR_b4c33,MATR_b3c36,MATR_b1c18,MATR_b4c39,MATR_b1c28,MATR_b1c39,MATR_b4c38,MATR_b1c2,MATR_b4c6,MATR_b2c19,MATR_b2c31,MATR_b1c42,MATR_b2c2,MATR_b4c21","MATR_b4c37,MATR_b4c29,MATR_b3c40,MATR_b3c21,MATR_b2c14,MATR_b1c21,MATR_b2c11,MATR_b4c4",476.0,887.0,,0.3020297489129007
3,1.0891920328140259,1.089186191558838,0.009692257270216942,0.0,0.0,0.0006,0.7117075324058533,False,160,"MATR_b1c15,MATR_b2c19,MATR_b1c37,MATR_b2c46,MATR_b1c9,MATR_b3c21,MATR_b2c26,MATR_b2c20,MATR_b1c45,MATR_b1c3,MATR_b1c11,MATR_b1c26","MATR_b3c31,MATR_b4c11,MATR_b2c43,MATR_b2c10,MATR_b3c12,MATR_b4c12,MATR_b1c42,MATR_b3c33",461.0,1282.0,,0.416207293048501
4,0.851713240146637,0.8517074584960938,0.00720034446567297,0.0,0.0,0.0008,1.171434998512268,False,160,"MATR_b2c31,MATR_b2c10,MATR_b1c15,MATR_b2c43,MATR_b4c11,MATR_b4c32,MATR_b3c0,MATR_b4c22,MATR_b4c4,MATR_b3c36,MATR_b2c33,MATR_b3c25,MATR_b4c34","MATR_b3c44,MATR_b2c24,MATR_b2c30,MATR_b2c47,MATR_b1c14,MATR_b1c25,MATR_b3c20,MATR_b4c29",480.0,938.0,,0.5131128150969744
5,2.3920445442199707,2.392031192779541,0.013423366472125053,0.0,0.0,0.001,,True,200,"MATR_b1c2,MATR_b4c14,MATR_b3c1,MATR_b3c0,MATR_b1c37,MATR_b2c40,MATR_b2c19,MATR_b1c35,MATR_b2c10,MATR_b4c24,MATR_b3c30,MATR_b2c26,MATR_b2c13,MATR_b4c37,MATR_b2c31","MATR_b1c23,MATR_b3c44,MATR_b2c33,MATR_b3c8,MATR_b1c0,MATR_b4c38,MATR_b2c2,MATR_b2c22",437.0,1858.0,,0.6012625237926841
6,0.9193075299263,0.9192914962768555,0.013373097404837608,0.0,0.0,0.0012,0.8101993203163147,False,140,"MATR_b1c11,MATR_b4c4,MATR_b1c27,MATR_b1c2,MATR_b1c37,MATR_b4c15,MATR_b2c21,MATR_b2c47,MATR_b3c40,MATR_b1c18,MATR_b4c9,MATR_b1c3,MATR_b1c39","MATR_b1c40,MATR_b4c12,MATR_b1c6,MATR_b2c26,MATR_b1c25,MATR_b3c4,MATR_b2c33,MATR_b3c31",470.0,1045.0,,0.669040319044143
7,0.9487281441688538,0.9487002491950989,0.01993066817522049,0.0,0.0,0.0014,1.1649397611618042,False,100,"MATR_b3c35,MATR_b4c9,MATR_b2c20,MATR_b2c19,MATR_b2c25,MATR_b1c27,MATR_b4c3,MATR_b2c40,MATR_b1c32,MATR_b1c25,MATR_b1c18,MATR_b3c30","MATR_b1c42,MATR_b1c38,MATR_b1c5,MATR_b1c44,MATR_b3c21,MATR_b2c41,MATR_b2c23,MATR_b1c26",428.0,1071.0,,0.7218063022010028
8,0.8911230564117432,0.8910484313964844,0.04665154218673706,0.0,0.0,0.0016,0.8100188970565796,False,300,"MATR_b1c38,MATR_b2c22,MATR_b1c20,MATR_b2c20,MATR_b2c2,MATR_b2c19,MATR_b3c8,MATR_b3c35","MATR_b2c37,MATR_b1c35,MATR_b2c26,MATR_b3c12,MATR_b4c42,MATR_b4c21,MATR_b4c29,MATR_b1c23",470.0,1012.0,,0.7816818631254137
9,1.1157629489898682,1.1157288551330566,0.018938474357128143,0.0,0.0,0.0018,1.4112824201583862,False,220,"MATR_b1c1,MATR_b4c39,MATR_b2c3,MATR_b4c37,MATR_b1c9,MATR_b1c30,MATR_b1c37,MATR_b1c15,MATR_b2c13,MATR_b3c12,MATR_b2c41,MATR_b1c40,MATR_b1c39","MATR_b2c31,MATR_b1c20,MATR_b3c39,MATR_b2c45,MATR_b1c45,MATR_b3c36,MATR_b1c6,MATR_b2c14",484.0,1154.0,,0.8478114288300276
10,3.6522483825683594,3.652198314666748,0.025017213076353073,0.0,0.0,0.002,,True,260,"MATR_b1c44,MATR_b1c6,MATR_b3c0,MATR_b2c2,MATR_b4c38,MATR_b2c33,MATR_b2c30,MATR_b3c1,MATR_b2c11,MATR_b3c35,MATR_b1c4,MATR_b3c25,MATR_b4c34,MATR_b3c5,MATR_b2c21","MATR_b1c5,MATR_b3c44,MATR_b1c9,MATR_b1c32,MATR_b4c41,MATR_b3c17,MATR_b3c31,MATR_b1c2",729.0,2237.0,,0.9161826488561928
