step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,1.709944248199463,1.70994234085083,0.009547211229801178,0.0,0.0,0.0002,2.8469974994659424,False,120,"MATR_b2c24,MATR_b2c2,MATR_b4c41,MATR_b2c21,MATR_b1c5,MATR_b1c24,MATR_b1c45,MATR_b2c23,MATR_b2c25,MATR_b4c3,MATR_b4c14,MATR_b1c15,MATR_b2c22,MATR_b3c35","MATR_b1c3,MATR_b2c42,MATR_b1c30,MATR_b4c34,MATR_b3c14,MATR_b2c1,MATR_b1c23,MATR_b4c21",147.0,1431.0,,0.15125271398574114
2,0.826084315776825,0.8260824680328369,0.004593875724822283,0.0,0.0,0.0004,1.5108129978179932,False,180,"MATR_b4c33,MATR_b3c36,MATR_b1c18,MATR_b4c39,MATR_b1c28,MATR_b1c39,MATR_b4c38,MATR_b1c2,MATR_b4c6,MATR_b2c19,MATR_b2c31,MATR_b1c42,MATR_b2c2,MATR_b4c21","MATR_b4c37,MATR_b4c29,MATR_b3c40,MATR_b3c21,MATR_b2c14,MATR_b1c21,MATR_b2c11,MATR_b4c4",476.0,887.0,,0.2985501838847995
3,1.0911263227462769,1.0911203622817993,0.009907357394695282,0.0,0.0,0.0006,0.7307891845703125,False,160,"MATR_b1c15,MATR_b2c19,MATR_b1c37,MATR_b2c46,MATR_b1c9,MATR_b3c21,MATR_b2c26,MATR_b2c20,MATR_b1c45,MATR_b1c3,MATR_b1c11,MATR_b1c26","MATR_b3c31,MATR_b4c11,MATR_b2c43,MATR_b2c10,MATR_b3c12,MATR_b4c12,MATR_b1c42,MATR_b3c33",461.0,1282.0,,0.41043814504519105
4,0.8575116991996765,0.8575063347816467,0.006712490227073431,0.0,0.0,0.0008,1.1810226440429688,False,160,"MATR_b2c31,MATR_b2c10,MATR_b1c15,MATR_b2c43,MATR_b4c11,MATR_b4c32,MATR_b3c0,MATR_b4c22,MATR_b4c4,MATR_b3c36,MATR_b2c33,MATR_b3c25,MATR_b4c34","MATR_b3c44,MATR_b2c24,MATR_b2c30,MATR_b2c47,MATR_b1c14,MATR_b1c25,MATR_b3c20,MATR_b4c29",480.0,938.0,,0.5058100707828999
5,2.375171422958374,2.3751590251922607,0.012406440451741219,0.0,0.0,0.001,,True,200,"MATR_b1c2,MATR_b4c14,MATR_b3c1,MATR_b3c0,MATR_b1c37,MATR_b2c40,MATR_b2c19,MATR_b1c35,MATR_b2c10,MATR_b4c24,MATR_b3c30,MATR_b2c26,MATR_b2c13,MATR_b4c37,MATR_b2c31","MATR_b1c23,MATR_b3c44,MATR_b2c33,MATR_b3c8,MATR_b1c0,MATR_b4c38,MATR_b2c2,MATR_b2c22",437.0,1858.0,,0.5930641521699727
6,0.9226042628288269,0.9225883483886719,0.013263238593935966,0.0,0.0,0.0012,0.8211709856987,False,140,"MATR_b1c11,MATR_b4c4,MATR_b1c27,MATR_b1c2,MATR_b1c37,MATR_b4c15,MATR_b2c21,MATR_b2c47,MATR_b3c40,MATR_b1c18,MATR_b4c9,MATR_b1c3,MATR_b1c39","MATR_b1c40,MATR_b4c12,MATR_b1c6,MATR_b2c26,MATR_b1c25,MATR_b3c4,MATR_b2c33,MATR_b3c31",470.0,1045.0,,0.6604789081029594
7,0.9510948657989502,0.9510689973831177,0.01848183199763298,0.0,0.0,0.0014,1.178718090057373,False,100,"MATR_b3c35,MATR_b4c9,MATR_b2c20,MATR_b2c19,MATR_b2c25,MATR_b1c27,MATR_b4c3,MATR_b2c40,MATR_b1c32,MATR_b1c25,MATR_b1c18,MATR_b3c30","MATR_b1c42,MATR_b1c38,MATR_b1c5,MATR_b1c44,MATR_b3c21,MATR_b2c41,MATR_b2c23,MATR_b1c26",428.0,1071.0,,0.7128606359474361
8,0.8882649540901184,0.8881937265396118,0.04450829327106476,0.0,0.0,0.0016,0.7732090353965759,False,300,"MATR_b1c38,MATR_b2c22,MATR_b1c20,MATR_b2c20,MATR_b2c2,MATR_b2c19,MATR_b3c8,MATR_b3c35","MATR_b2c37,MATR_b1c35,MATR_b2c26,MATR_b3c12,MATR_b4c42,MATR_b4c21,MATR_b4c29,MATR_b1c23",470.0,1012.0,,0.7722743358463049
9,1.119802713394165,1.1197683811187744,0.019056148827075958,0.0,0.0,0.0018,1.4540725946426392,False,220,"MATR_b1c1,MATR_b4c39,MATR_b2c3,MATR_b4c37,MATR_b1c9,MATR_b1c30,MATR_b1c37,MATR_b1c15,MATR_b2c13,MATR_b3c12,MATR_b2c41,MATR_b1c40,MATR_b1c39","MATR_b2c31,MATR_b1c20,MATR_b3c39,MATR_b2c45,MATR_b1c45,MATR_b3c36,MATR_b1c6,MATR_b2c14",484.0,1154.0,,0.8382176281884313
10,3.7458767890930176,3.745828151702881,0.024277133867144585,0.0,0.0,0.002,,True,260,"MATR_b1c44,MATR_b1c6,MATR_b3c0,MATR_b2c2,MATR_b4c38,MATR_b2c33,MATR_b2c30,MATR_b3c1,MATR_b2c11,MATR_b3c35,MATR_b1c4,MATR_b3c25,MATR_b4c34,MATR_b3c5,MATR_b2c21","MATR_b1c5,MATR_b3c44,MATR_b1c9,MATR_b1c32,MATR_b4c41,MATR_b3c17,MATR_b3c31,MATR_b1c2",729.0,2237.0,,0.9060945091769099
11,1.9756357669830322,1.975618600845337,0.007813619449734688,0.0,0.0,0.0022,4.386238098144531,False,140,"MATR_b4c36,MATR_b1c24,MATR_b2c20,MATR_b4c37,MATR_b1c38,MATR_b1c35,MATR_b3c24,MATR_b1c15,MATR_b3c20,MATR_b4c6,MATR_b2c3,MATR_b4c28,MATR_b1c40","MATR_b2c5,MATR_b2c22,MATR_b1c14,MATR_b4c24,MATR_b2c2,MATR_b3c17,MATR_b1c3,MATR_b4c9",437.0,1431.0,,0.9623861047439277
12,7.509912967681885,7.509664058685303,0.10364476591348648,0.0,0.0,0.0024,inf,True,180,"MATR_b2c41,MATR_b4c15,MATR_b1c20,MATR_b3c24,MATR_b3c44,MATR_b1c28,MATR_b3c15,MATR_b1c11,MATR_b2c37,MATR_b2c20,MATR_b3c31,MATR_b3c27,MATR_b4c14","MATR_b3c39,MATR_b1c0,MATR_b4c39,MATR_b1c21,MATR_b1c2,MATR_b2c45,MATR_b3c1,MATR_b1c1",486.0,2237.0,,1.010561359114945
13,1.0955160856246948,1.0954561233520508,0.023080965504050255,0.0,0.0,0.0026,1.9305822849273682,False,240,"MATR_b3c5,MATR_b4c14,MATR_b3c17,MATR_b1c11,MATR_b2c24,MATR_b2c20,MATR_b1c21,MATR_b1c15,MATR_b1c1,MATR_b3c31","MATR_b2c3,MATR_b4c32,MATR_b4c39,MATR_b2c2,MATR_b2c30,MATR_b1c42,MATR_b1c30,MATR_b3c4",334.0,1045.0,,1.0513753038831055
14,0.8579801321029663,0.8579409122467041,0.013996561989188194,0.0,0.0,0.0028,1.3829737901687622,False,120,"MATR_b3c1,MATR_b2c3,MATR_b1c38,MATR_b3c44,MATR_b4c32,MATR_b1c32,MATR_b2c22,MATR_b4c41,MATR_b4c12,MATR_b1c3","MATR_b2c19,MATR_b4c42,MATR_b4c21,MATR_b1c15,MATR_b2c40,MATR_b1c7,MATR_b2c35,MATR_b4c29",460.0,887.0,,1.0923172989860177
