step,loss,nll,kl,consistency_loss,consistency_weight,beta_kl,gradient_norm,optimizer_step_skipped,horizons,context_cells,query_cells,true_lifetime_min,true_lifetime_max,validation_rmse_cycles,elapsed_seconds
1,1.1677559614181519,1.167755365371704,0.0032465774565935135,0.0,0.0,0.0002,1.5250320434570312,False,120,"MATR_b3c15,MATR_b3c22,MATR_b1c3,MATR_b3c39,MATR_b1c38,MATR_b4c3,MATR_b1c25,MATR_b2c19,MATR_b2c14,MATR_b3c14,MATR_b3c6,MATR_b3c36,MATR_b2c17","MATR_b4c34,MATR_b1c32,MATR_b4c44,MATR_b3c35,MATR_b4c26,MATR_b1c40,MATR_b2c32,MATR_b4c31",476.0,1091.0,,0.1497003440745175
2,3.9520843029022217,3.9520761966705322,0.020442409440875053,0.0,0.0,0.0004,,True,200,"MATR_b1c17,MATR_b3c39,MATR_b3c6,MATR_b3c10,MATR_b1c24,MATR_b4c30,MATR_b1c44,MATR_b4c24,MATR_b3c28,MATR_b4c44,MATR_b4c19,MATR_b4c20,MATR_b4c17,MATR_b1c4","MATR_b4c31,MATR_b1c0,MATR_b4c39,MATR_b2c13,MATR_b1c15,MATR_b3c21,MATR_b3c16,MATR_b1c5",482.0,1858.0,,0.29065373120829463
3,0.8189578652381897,0.8189500570297241,0.013062616810202599,0.0,0.0,0.0006,2.3104584217071533,False,300,"MATR_b4c42,MATR_b4c6,MATR_b4c19,MATR_b3c27,MATR_b4c31,MATR_b4c40,MATR_b3c25,MATR_b4c17,MATR_b3c0,MATR_b3c26,MATR_b1c37,MATR_b1c6,MATR_b1c38,MATR_b4c23","MATR_b1c35,MATR_b3c24,MATR_b1c5,MATR_b4c41,MATR_b1c34,MATR_b3c36,MATR_b3c4,MATR_b4c20",701.0,1071.0,,0.4287317059934139
4,0.8841665983200073,0.8841601610183716,0.008058026432991028,0.0,0.0,0.0008,1.197475552558899,False,120,"MATR_b1c40,MATR_b3c27,MATR_b3c41,MATR_b3c6,MATR_b4c41,MATR_b3c29,MATR_b2c18,MATR_b2c14,MATR_b4c44,MATR_b4c1,MATR_b1c37,MATR_b1c35,MATR_b4c40,MATR_b2c12","MATR_b3c36,MATR_b4c31,MATR_b4c17,MATR_b4c22,MATR_b4c15,MATR_b1c43,MATR_b3c1,MATR_b4c14",559.0,1061.0,,0.5185813349671662
5,1.293304204940796,1.2932789325714111,0.025258269160985947,0.0,0.0,0.001,2.6993541717529297,False,120,"MATR_b1c33,MATR_b3c16,MATR_b2c28,MATR_b4c44,MATR_b4c42,MATR_b1c32,MATR_b4c41,MATR_b1c0,MATR_b4c43,MATR_b4c39,MATR_b3c26,MATR_b1c38,MATR_b2c26,MATR_b1c16","MATR_b3c40,MATR_b2c2,MATR_b2c45,MATR_b3c22,MATR_b2c32,MATR_b2c18,MATR_b4c19,MATR_b4c34",437.0,1000.0,,0.5961760301142931
6,0.9898228049278259,0.9898043870925903,0.01535387709736824,0.0,0.0,0.0012,0.8895871043205261,False,240,"MATR_b2c22,MATR_b4c6,MATR_b2c12,MATR_b3c40,MATR_b4c3,MATR_b3c33,MATR_b1c33,MATR_b4c12,MATR_b1c5,MATR_b4c20,MATR_b2c19,MATR_b2c13,MATR_b2c28","MATR_b4c15,MATR_b1c27,MATR_b2c37,MATR_b1c32,MATR_b4c0,MATR_b3c35,MATR_b1c6,MATR_b4c7",477.0,1091.0,,0.6826243689283729
7,0.7756491303443909,0.7756348848342896,0.01016307808458805,0.0,0.0,0.0014,2.130647659301758,False,260,"MATR_b2c0,MATR_b3c29,MATR_b4c39,MATR_b1c15,MATR_b4c7,MATR_b4c26,MATR_b1c27,MATR_b3c4,MATR_b1c16,MATR_b4c6,MATR_b1c3,MATR_b1c5,MATR_b4c8,MATR_b1c29,MATR_b1c34","MATR_b2c27,MATR_b4c15,MATR_b1c43,MATR_b3c15,MATR_b4c41,MATR_b1c44,MATR_b4c1,MATR_b4c43",467.0,874.0,,0.7582363048568368
8,1.1413428783416748,1.1413216590881348,0.01327837910503149,0.0,0.0,0.0016,2.981933832168579,False,240,"MATR_b1c41,MATR_b4c14,MATR_b4c24,MATR_b4c42,MATR_b1c35,MATR_b2c22,MATR_b4c7,MATR_b3c14,MATR_b1c31,MATR_b4c32,MATR_b3c34,MATR_b2c27,MATR_b1c17,MATR_b4c17","MATR_b2c26,MATR_b3c13,MATR_b3c22,MATR_b4c1,MATR_b2c44,MATR_b2c14,MATR_b2c38,MATR_b3c6",455.0,1000.0,,0.8460362600162625
9,0.9772944450378418,0.9772629141807556,0.01751381903886795,0.0,0.0,0.0018,0.5841884613037109,False,100,"MATR_b4c44,MATR_b4c8,MATR_b4c15,MATR_b4c39,MATR_b1c36,MATR_b1c30,MATR_b1c44,MATR_b1c17,MATR_b2c43,MATR_b2c39,MATR_b4c28","MATR_b1c15,MATR_b4c0,MATR_b3c6,MATR_b3c26,MATR_b3c41,MATR_b4c24,MATR_b2c22,MATR_b2c17",493.0,1025.0,,0.9036182188428938
10,0.902458131313324,0.9024395942687988,0.009277481585741043,0.0,0.0,0.002,1.635811448097229,False,180,"MATR_b4c24,MATR_b3c8,MATR_b4c3,MATR_b3c10,MATR_b4c40,MATR_b4c14,MATR_b2c18,MATR_b2c44,MATR_b3c33,MATR_b2c31,MATR_b2c2,MATR_b2c47,MATR_b3c9,MATR_b1c40,MATR_b4c15,MATR_b1c33","MATR_b3c21,MATR_b3c15,MATR_b1c42,MATR_b3c27,MATR_b2c39,MATR_b1c19,MATR_b3c1,MATR_b1c37",458.0,1061.0,,0.9788317168131471
