horizon,status,reason,n_test_cells,rmse_cycles,mae_cycles,mape_percent,bias_cycles,coverage,mean_interval_width_cycles
100,ok,,34,253.39885306974756,179.00690288879747,26.187814136233854,62.881618033138636,0.9117647058823529,888.7852617153422
120,ok,,34,282.26790004059137,195.44273874212092,28.89531930555429,68.01377434619141,0.8823529411764706,909.1420030096649
140,ok,,34,257.1367361847172,179.70313790283916,27.208132618753872,45.9881995219482,0.8823529411764706,838.4470007912579
160,ok,,34,280.5975014265571,189.18990396716745,29.86059765437201,66.63898995224073,0.8823529411764706,871.2496919352883
180,ok,,34,280.22193634843995,187.99464418139345,30.95717678286215,59.790358678718356,0.8823529411764706,846.5031662503627
200,ok,,34,280.0312296174008,189.22092569879297,32.304557822225206,68.12130513897692,0.8823529411764706,833.0276868117753
220,ok,,34,253.02651770848564,170.8555732555125,29.695858244041908,51.56254453738123,0.9117647058823529,768.5198582265939
240,ok,,34,233.4563342283195,161.7995201417263,29.981366130023428,43.9156115647842,0.9117647058823529,714.5804280337529
260,ok,,34,201.55561329682223,137.2064835354261,27.515557688722446,28.64827516614934,0.8823529411764706,638.4510753944172
280,ok,,34,212.74310227579326,144.55856790409703,31.778576291752074,59.33955073580968,0.8529411764705882,677.9292196458772
300,ok,,34,197.790350918144,138.0764224058645,34.84532778062735,50.528277183706514,0.8823529411764706,635.0495221244915
