fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,soh_only_anp,0.1,0.0,future_rmse,0.02781307040443222,0.01209002356296869,16
0,42,soh_only_anp,0.1,0.0,current_soh_abs_error,0.004667616219965934,0.004206045642745019,16
0,42,soh_only_anp,0.1,0.0,nll,-2.611053629567142,0.5860460878550943,16
0,42,soh_only_anp,0.1,0.0,coverage_95,0.8926151556809603,0.15081807173779527,16
0,42,soh_only_anp,0.1,0.0,interval_width_95,0.0807679681993929,0.013591436272799622,16
0,42,soh_only_anp,0.1,0.0,inference_latency_ms,0.6634489909629337,0.025697617886664102,16
0,42,soh_only_anp,0.2,0.0,future_rmse,0.024675705697095623,0.010437564590740495,16
0,42,soh_only_anp,0.2,0.0,current_soh_abs_error,0.0012027836039266993,0.0009561357767312415,16
0,42,soh_only_anp,0.2,0.0,nll,-2.8170030407120787,0.498831820804818,16
0,42,soh_only_anp,0.2,0.0,coverage_95,0.9366343483207222,0.13973430044702428,16
0,42,soh_only_anp,0.2,0.0,interval_width_95,0.07710829911091466,0.01221591976751528,16
0,42,soh_only_anp,0.2,0.0,inference_latency_ms,0.665610987925902,0.031057524497364097,16
0,42,soh_only_anp,0.3,0.0,future_rmse,0.021554423090504454,0.009803977278536513,16
0,42,soh_only_anp,0.3,0.0,current_soh_abs_error,0.0020193545060161605,0.0011985477578888213,16
0,42,soh_only_anp,0.3,0.0,nll,-2.897371357441682,0.44436707135129005,16
0,42,soh_only_anp,0.3,0.0,coverage_95,0.9175532149133508,0.14448594034528062,16
0,42,soh_only_anp,0.3,0.0,interval_width_95,0.06892950226732693,0.00997064269023061,16
0,42,soh_only_anp,0.3,0.0,inference_latency_ms,0.6545844051288441,0.01381787460219705,16
0,42,soh_only_anp,0.4,0.0,future_rmse,0.017434327410864682,0.01165404139134433,16
0,42,soh_only_anp,0.4,0.0,current_soh_abs_error,0.0025026920895708515,0.001389034659797555,16
0,42,soh_only_anp,0.4,0.0,nll,-2.980312561316681,0.8962926209736193,16
0,42,soh_only_anp,0.4,0.0,coverage_95,0.9046011209479823,0.21729842138282454,16
0,42,soh_only_anp,0.4,0.0,interval_width_95,0.055699575519575883,0.00628211612047866,16
0,42,soh_only_anp,0.4,0.0,inference_latency_ms,0.6563920847838745,0.01915829225390196,16
0,42,soh_only_anp,0.5,0.0,future_rmse,0.01514040072976998,0.013722137607462465,16
0,42,soh_only_anp,0.5,0.0,current_soh_abs_error,0.0020209089359712468,0.0015049328959903746,16
0,42,soh_only_anp,0.5,0.0,nll,-2.860056144725225,1.828016262044414,16
0,42,soh_only_anp,0.5,0.0,coverage_95,0.859374457320374,0.2464528566462527,16
0,42,soh_only_anp,0.5,0.0,interval_width_95,0.04285551522190344,0.0033401006531604957,16
0,42,soh_only_anp,0.5,0.0,inference_latency_ms,0.6535988213727251,0.014493267368899268,16
0,42,soh_only_anp,0.6,0.0,future_rmse,0.01312115113974005,0.012611749276373745,16
0,42,soh_only_anp,0.6,0.0,current_soh_abs_error,0.0018619686667045027,0.0017896462625655771,16
0,42,soh_only_anp,0.6,0.0,nll,-2.7322020936680644,2.239623788645882,16
0,42,soh_only_anp,0.6,0.0,coverage_95,0.8252992756735743,0.27198892109578043,16
0,42,soh_only_anp,0.6,0.0,interval_width_95,0.0355085569961683,0.002855380538055422,16
0,42,soh_only_anp,0.6,0.0,inference_latency_ms,0.6564797789906152,0.023092209541005587,16
0,42,soh_only_anp,0.7,0.0,future_rmse,0.010170660438628628,0.009178677451181415,16
0,42,soh_only_anp,0.7,0.0,current_soh_abs_error,0.0029107680294807176,0.002922027748439356,16
0,42,soh_only_anp,0.7,0.0,nll,-2.9874244015409435,1.5952677121795975,16
0,42,soh_only_anp,0.7,0.0,coverage_95,0.8505558757201922,0.2831542210352875,16
0,42,soh_only_anp,0.7,0.0,interval_width_95,0.03310074622082024,0.0031899614963295,16
0,42,soh_only_anp,0.7,0.0,inference_latency_ms,0.6557638989761472,0.015852723885514224,16
