step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,nonfinite_gradient_parameters,validation_cell_rmse
1,2.20045804977417,2.200418472290039,0.19806338846683502,0.0002,5.845949649810791,False,1024.0,1024.0,16,0.006558142136782408,0.0013971878215670586,0.0006998572498559952,HUST_10-1|HUST_10-6|HUST_1-6|HUST_6-2|HUST_6-2|HUST_8-5|HUST_6-1|HUST_8-7|HUST_8-1|HUST_1-8|HUST_5-7|HUST_8-5|HUST_9-2|HUST_6-5|HUST_10-6|HUST_8-7,1130|1642|360|518|1050|939|1171|1560|450|1666|743|671|1352|1176|1482|581,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,125,128,128,0.8125755631313137,1.0753039949494925,-2.3714962005615234,0.9267563819885254,-0.151123046875,0.0195770263671875,0.6649239659309387,0.7083456516265869,0.5568944811820984,0.7908845543861389,0.5718255639076233,0.8530011773109436,0.0,69.2509765625,176.0,0.0001,,0.29318873677402735,,
2,2.0314106941223145,2.0313310623168945,0.1991557478904724,0.0004,4.9842119216918945,False,1024.0,1024.0,16,0.006525461096316576,0.0008286968804895878,0.00044613191857934,HUST_9-5|HUST_2-8|HUST_10-1|HUST_10-4|HUST_2-6|HUST_4-6|HUST_9-7|HUST_10-5|HUST_6-8|HUST_2-6|HUST_2-8|HUST_4-6|HUST_1-8|HUST_6-4|HUST_7-4|HUST_8-2,618|692|1150|630|909|319|1376|944|1870|872|494|804|634|1353|344|1414,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,118,128,128,0.8118593181818177,1.0654020656565646,-2.3804879188537598,0.8024490475654602,-0.13330078125,-0.00799560546875,0.659579336643219,0.7197192907333374,0.5578320622444153,0.7898184061050415,0.5711886882781982,0.8600193858146667,0.0,69.740234375,194.0,0.0001,,0.3448456949554384,,
3,1.938984990119934,1.9388667345046997,0.19704590737819672,0.0006,4.679752826690674,False,1024.0,1024.0,16,0.004868216812610626,0.000617132056504488,0.0004014098085463047,HUST_1-6|HUST_10-5|HUST_8-7|HUST_4-6|HUST_2-6|HUST_6-5|HUST_4-8|HUST_6-2|HUST_10-1|HUST_5-3|HUST_8-2|HUST_10-8|HUST_1-8|HUST_9-1|HUST_2-2|HUST_4-6,651|925|977|465|371|686|618|1419|1022|1916|1550|862|936|818|1599|859,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,106,128,128,0.8137709772727303,1.0756683686868698,-2.3564891815185547,0.931330680847168,-0.14306640625,-0.04815673828125,0.6755699515342712,0.7288792729377747,0.5590840578079224,0.7912846207618713,0.572888195514679,0.8583316802978516,0.0,69.3173828125,194.0,0.0001,,0.36194839095696807,,
4,1.8814888000488281,1.8813393115997314,0.186795175075531,0.0008,4.14076566696167,False,1024.0,1024.0,16,0.005212028976529837,0.0006814422085881233,0.00048644794151186943,HUST_6-8|HUST_4-1|HUST_10-4|HUST_10-2|HUST_6-5|HUST_6-8|HUST_2-6|HUST_5-7|HUST_8-6|HUST_10-3|HUST_8-4|HUST_2-5|HUST_3-6|HUST_2-5|HUST_7-4|HUST_2-3,808|1377|847|1121|609|1864|355|598|700|446|711|741|1935|843|447|1008,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,126,128,128,0.8118593181818177,1.0778080176767666,-2.3804879188537598,0.9581915140151978,-0.185546875,-0.07098388671875,0.6760491728782654,0.722915530204773,0.560128927230835,0.7854306101799011,0.574378252029419,0.8296873569488525,0.0,70.0224609375,196.0,0.0001,,0.379169006831944,,
5,1.9767478704452515,1.9765725135803223,0.17531266808509827,0.001,4.940425872802734,False,1024.0,1024.0,16,0.0048675755970180035,0.0007145442068576813,0.0004848348908126354,HUST_6-8|HUST_4-7|HUST_4-5|HUST_4-6|HUST_10-3|HUST_8-4|HUST_8-7|HUST_8-2|HUST_6-4|HUST_9-8|HUST_6-1|HUST_8-5|HUST_7-1|HUST_9-2|HUST_4-4|HUST_8-6,1873|708|1027|995|1105|1088|1556|640|354|511|743|753|1028|1383|356|1085,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13,128,128,128,0.812708194444444,1.076040358585855,-2.369831085205078,0.9360005855560303,-0.2196044921875,-0.07135009765625,0.6763788461685181,0.7187342047691345,0.5610706210136414,0.7833089828491211,0.5748045444488525,0.854542076587677,0.0,70.0927734375,196.0,0.0001,,0.39560952596366405,,
6,2.0351269245147705,2.0348665714263916,0.2170209288597107,0.0012,5.161838531494141,False,1024.0,1024.0,16,0.0030020838603377342,0.0006261290982365608,0.00037147384136915207,HUST_3-6|HUST_8-6|HUST_2-8|HUST_1-6|HUST_4-5|HUST_2-3|HUST_1-6|HUST_7-4|HUST_10-4|HUST_1-6|HUST_1-6|HUST_5-3|HUST_9-8|HUST_10-4|HUST_5-7|HUST_8-5,1931|1329|725|461|835|1372|841|353|1045|647|374|2098|1581|758|898|324,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,124,128,128,0.8118593181818177,1.0523978383838342,-2.3804879188537598,0.63919597864151,-0.21875,-0.08026123046875,0.6847919225692749,0.734035849571228,0.5629575252532959,0.7810589075088501,0.5768325328826904,0.8468552827835083,0.0,69.9521484375,196.0,0.0001,,0.4102998087182641,,
7,1.8693325519561768,1.8690717220306396,0.1862730085849762,0.0014,4.189513683319092,False,1024.0,1024.0,16,0.005056259222328663,0.0006426586769521236,0.000402641948312521,HUST_3-6|HUST_6-8|HUST_10-6|HUST_8-6|HUST_1-4|HUST_7-8|HUST_10-1|HUST_7-4|HUST_1-2|HUST_3-5|HUST_10-4|HUST_2-3|HUST_3-6|HUST_8-5|HUST_10-4|HUST_5-6,1905|915|946|619|364|1205|647|993|698|535|1271|1344|979|383|1083|1642,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,126,128,128,0.8115353888888837,1.0919010934343374,-2.384554386138916,1.1351138353347778,-0.21923828125,-0.08160400390625,0.6633262634277344,0.7280905842781067,0.5625377893447876,0.7788791060447693,0.5765119194984436,0.8419867753982544,0.0,70.0224609375,196.0,0.0001,,0.42597003001719713,,
8,1.7856124639511108,1.7852873802185059,0.20316269993782043,0.0016,3.940316915512085,False,1024.0,1024.0,16,0.0031949738040566444,0.0005544750019907951,0.0003660130314528942,HUST_10-5|HUST_8-2|HUST_6-4|HUST_6-8|HUST_1-6|HUST_2-3|HUST_10-3|HUST_5-6|HUST_4-8|HUST_4-8|HUST_1-4|HUST_10-6|HUST_1-8|HUST_3-6|HUST_9-7|HUST_8-4,1021|1433|769|1257|850|1205|399|1520|372|1014|335|1345|672|1088|1371|409,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20,115,128,128,0.8137709772727303,1.080316383838383,-2.3564891815185547,0.9896811246871948,-0.2431640625,-0.1287841796875,0.6840817332267761,0.740524172782898,0.5619086623191833,0.7772303819656372,0.5753377079963684,0.832165539264679,0.0,69.634765625,196.0,0.0001,,0.4407543777488172,,
9,1.6362916231155396,1.6359772682189941,0.17462772130966187,0.0018,3.3642656803131104,False,1024.0,1024.0,16,0.003021771088242531,0.0006477092392742634,0.0003624269738793373,HUST_10-1|HUST_10-3|HUST_8-1|HUST_2-8|HUST_8-6|HUST_4-6|HUST_9-7|HUST_2-2|HUST_4-7|HUST_9-5|HUST_8-2|HUST_4-8|HUST_6-4|HUST_1-6|HUST_10-3|HUST_8-1,958|940|497|901|643|912|1138|974|594|1414|1011|1025|754|346|498|630,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,117,128,128,0.8125755631313137,1.0838589393939355,-2.3714962005615234,1.0341538190841675,-0.241455078125,-0.155029296875,0.6945485472679138,0.7258696556091309,0.5611752867698669,0.7812573313713074,0.5791873335838318,0.8269393444061279,0.0,69.705078125,196.0,0.0001,,0.4549021376296878,,
10,1.6052255630493164,1.6048747301101685,0.1754039078950882,0.002,3.4656872749328613,False,1024.0,1024.0,16,0.003004459198564291,0.0006042579188942909,0.0003743390552699566,HUST_6-5|HUST_2-6|HUST_9-1|HUST_7-4|HUST_9-8|HUST_2-8|HUST_9-2|HUST_5-6|HUST_10-1|HUST_1-6|HUST_4-1|HUST_10-3|HUST_6-2|HUST_2-2|HUST_9-5|HUST_10-4,1311|1018|1168|912|945|729|1687|1184|397|521|457|1378|856|1117|1515|575,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,122,128,128,0.8118593181818177,1.0616633636363628,-2.3804879188537598,0.7555139660835266,-0.304443359375,-0.1824951171875,0.6803204417228699,0.7315335273742676,0.5605473518371582,0.7801336646080017,0.5740587115287781,0.8301000595092773,0.0,69.8818359375,196.0,0.0001,,0.46865552198141813,,
