step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse,nonfinite_gradient_parameters
1,2.203730583190918,2.203691005706787,0.19806338846683502,0.0002,6.989583492279053,False,1024.0,1024.0,16,0.014491295907646418,0.0007624109275639057,0.0004479908384382725,HUST_10-1|HUST_10-6|HUST_1-6|HUST_6-2|HUST_6-2|HUST_8-5|HUST_6-1|HUST_8-7|HUST_8-1|HUST_1-8|HUST_5-7|HUST_8-5|HUST_9-2|HUST_6-5|HUST_10-6|HUST_8-7,1130|1642|360|518|1050|939|1171|1560|450|1666|743|671|1352|1176|1482|581,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,125,128,128,0.8125755631313137,1.0753039949494925,-2.3714962005615234,0.9267563819885254,-0.106689453125,-0.0333251953125,0.6542944312095642,0.7067221999168396,0.5568944811820984,0.7908845543861389,0.5718255639076233,0.8530011773109436,0.0,74.42724609375,2494.0,0.0001,,0.7420622813515365,,
2,1.9350028038024902,1.9349236488342285,0.1979832947254181,0.0004,4.54519510269165,False,1024.0,1024.0,16,0.013740315567702055,0.0007747742347419262,0.00047357892617583275,HUST_9-5|HUST_2-8|HUST_10-1|HUST_10-4|HUST_2-6|HUST_4-6|HUST_9-7|HUST_10-5|HUST_6-8|HUST_2-6|HUST_2-8|HUST_4-6|HUST_1-8|HUST_6-4|HUST_7-4|HUST_8-2,618|692|1150|630|909|319|1376|944|1870|872|494|804|634|1353|344|1414,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,118,128,128,0.8118593181818177,1.0654020656565646,-2.3804879188537598,0.8024490475654602,-0.1414794921875,-0.02801513671875,0.6895875930786133,0.7360990047454834,0.556998610496521,0.7888197898864746,0.5703403353691101,0.8591752648353577,0.0,79.77685546875,2496.0,0.0001,,1.0973892319016159,,
3,1.846435546875,1.8463187217712402,0.19461406767368317,0.0006,3.8327932357788086,False,1024.0,1024.0,16,0.012926057912409306,0.0005839159712195396,0.0003634719178080559,HUST_1-6|HUST_10-5|HUST_8-7|HUST_4-6|HUST_2-6|HUST_6-5|HUST_4-8|HUST_6-2|HUST_10-1|HUST_5-3|HUST_8-2|HUST_10-8|HUST_1-8|HUST_9-1|HUST_2-2|HUST_4-6,651|925|977|465|371|686|618|1419|1022|1916|1550|862|936|818|1599|859,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,106,128,128,0.8137709772727303,1.0756683686868698,-2.3564891815185547,0.931330680847168,-0.1527099609375,-0.053802490234375,0.7006800174713135,0.7518429756164551,0.5578320622444153,0.7888197898864746,0.5715070366859436,0.8573481440544128,0.0,79.35400390625,2496.0,0.0001,,1.4166249250993133,,
4,1.7601335048675537,1.7599871158599854,0.18301789462566376,0.0008,3.149634599685669,False,1024.0,1024.0,16,0.012424935586750507,0.0007104342803359032,0.0004176241345703602,HUST_6-8|HUST_4-1|HUST_10-4|HUST_10-2|HUST_6-5|HUST_6-8|HUST_2-6|HUST_5-7|HUST_8-6|HUST_10-3|HUST_8-4|HUST_2-5|HUST_3-6|HUST_2-5|HUST_7-4|HUST_2-3,808|1377|847|1121|609|1864|355|598|700|446|711|741|1935|843|447|1008,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,126,128,128,0.8118593181818177,1.0778080176767666,-2.3804879188537598,0.9581915140151978,-0.1627197265625,-0.0750732421875,0.710995078086853,0.7801996469497681,0.5583534836769104,0.7839716076850891,0.5723567008972168,0.8277631402015686,0.0,80.05908203125,2624.0,0.0001,,1.7922809212468565,,
5,1.8100697994232178,1.8098981380462646,0.17169088125228882,0.001,3.5347015857696533,False,1024.0,1024.0,16,0.015544914174824953,0.0006306939758360386,0.00043779192492365837,HUST_6-8|HUST_4-7|HUST_4-5|HUST_4-6|HUST_10-3|HUST_8-4|HUST_8-7|HUST_8-2|HUST_6-4|HUST_9-8|HUST_6-1|HUST_8-5|HUST_7-1|HUST_9-2|HUST_4-4|HUST_8-6,1873|708|1027|995|1105|1088|1556|640|354|511|743|753|1028|1383|356|1085,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13,128,128,128,0.812708194444444,1.076040358585855,-2.369831085205078,0.9360005855560303,-0.2005615234375,-0.1064453125,0.7353684902191162,0.7882875204086304,0.5582491755485535,0.7818525433540344,0.5718255639076233,0.8549626469612122,0.0,80.12939453125,3392.0,0.0001,,2.181034564971924,,
6,1.8699393272399902,1.869685173034668,0.2118329405784607,0.0012,3.8601577281951904,False,1024.0,1024.0,16,0.012930956203490496,0.00059465691447258,0.00041883625090122223,HUST_3-6|HUST_8-6|HUST_2-8|HUST_1-6|HUST_4-5|HUST_2-3|HUST_1-6|HUST_7-4|HUST_10-4|HUST_1-6|HUST_1-6|HUST_5-3|HUST_9-8|HUST_10-4|HUST_5-7|HUST_8-5,1931|1329|725|461|835|1372|841|353|1045|647|374|2098|1581|758|898|324,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,124,128,128,0.8118593181818177,1.0523978383838342,-2.3804879188537598,0.63919597864151,-0.2216796875,-0.119140625,0.7378478646278381,0.7892191410064697,0.5595018267631531,0.7796712517738342,0.5732071995735168,0.8468552827835083,0.0,79.98876953125,3392.0,0.0001,,2.552735914941877,,
7,1.7100732326507568,1.7098246812820435,0.17751756310462952,0.0014,2.9260661602020264,False,1024.0,1024.0,16,0.013759993016719818,0.0007455898448824883,0.00044180918484926224,HUST_3-6|HUST_6-8|HUST_10-6|HUST_8-6|HUST_1-4|HUST_7-8|HUST_10-1|HUST_7-4|HUST_1-2|HUST_3-5|HUST_10-4|HUST_2-3|HUST_3-6|HUST_8-5|HUST_10-4|HUST_5-6,1905|915|946|619|364|1205|647|993|698|535|1271|1344|979|383|1083|1642,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,126,128,128,0.8115353888888837,1.0919010934343374,-2.384554386138916,1.1351138353347778,-0.252685546875,-0.1063232421875,0.7451275587081909,0.8164827227592468,0.5598153471946716,0.7774940133094788,0.571931779384613,0.8421255946159363,0.0,80.05908203125,3392.0,0.0001,,2.9294220530427992,,
8,1.6465060710906982,1.6461986303329468,0.1921483427286148,0.0016,2.80269718170166,False,1024.0,1024.0,16,0.011730792932212353,0.0005853991024196148,0.00041272491216659546,HUST_10-5|HUST_8-2|HUST_6-4|HUST_6-8|HUST_1-6|HUST_2-3|HUST_10-3|HUST_5-6|HUST_4-8|HUST_4-8|HUST_1-4|HUST_10-6|HUST_1-8|HUST_3-6|HUST_9-7|HUST_8-4,1021|1433|769|1257|850|1205|399|1520|372|1014|335|1345|672|1088|1371|409,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20,115,128,128,0.8137709772727303,1.080316383838383,-2.3564891815185547,0.9896811246871948,-0.2435302734375,-0.13818359375,0.7406836748123169,0.8273512721061707,0.5613847970962524,0.7749918699264526,0.5722504258155823,0.831476628780365,0.0,79.67138671875,3392.0,0.0001,,3.2731325421482325,,
9,1.5054717063903809,1.5051804780960083,0.16179785132408142,0.0018,2.22548508644104,False,1024.0,1024.0,16,0.011497634928673506,0.0006898748688399792,0.0003947112709283829,HUST_10-1|HUST_10-3|HUST_8-1|HUST_2-8|HUST_8-6|HUST_4-6|HUST_9-7|HUST_2-2|HUST_4-7|HUST_9-5|HUST_8-2|HUST_4-8|HUST_6-4|HUST_1-6|HUST_10-3|HUST_8-1,958|940|497|901|643|912|1138|974|594|1414|1011|1025|754|346|498|630,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,117,128,128,0.8125755631313137,1.0838589393939355,-2.3714962005615234,1.0341538190841675,-0.266357421875,-0.1689453125,0.7726920247077942,0.8245397806167603,0.5612800121307373,0.7762423157691956,0.5758712887763977,0.8273512721061707,0.0,79.74169921875,3392.0,0.0001,,3.622381608001888,,
10,1.4918789863586426,1.4915542602539062,0.16238783299922943,0.002,2.412597417831421,False,1024.0,1024.0,16,0.012628538068383932,0.0007709781639277935,0.0004313788376748562,HUST_6-5|HUST_2-6|HUST_9-1|HUST_7-4|HUST_9-8|HUST_2-8|HUST_9-2|HUST_5-6|HUST_10-1|HUST_1-6|HUST_4-1|HUST_10-3|HUST_6-2|HUST_2-2|HUST_9-5|HUST_10-4,1311|1018|1168|912|945|729|1687|1184|397|521|457|1378|856|1117|1515|575,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,122,128,128,0.8118593181818177,1.0616633636363628,-2.3804879188537598,0.7555139660835266,-0.280029296875,-0.196044921875,0.7675829529762268,0.8407376408576965,0.5610706210136414,0.7737428545951843,0.5718255639076233,0.8313389420509338,0.0,79.91845703125,3392.0,0.0001,,3.9870251761749387,,
