fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,hs_anp,0.1,0.0,future_rmse,0.026138474730240016,0.014026886302676986,16
0,42,hs_anp,0.1,0.0,current_soh_abs_error,0.01867672694498257,0.010328457152593002,16
0,42,hs_anp,0.1,0.0,nll,-2.2955770588538824,0.6104906672208927,16
0,42,hs_anp,0.1,0.0,coverage_95,0.8827329272281996,0.15436335407514776,16
0,42,hs_anp,0.1,0.0,interval_width_95,0.08232152612434615,0.009975239968523758,16
0,42,hs_anp,0.1,0.0,inference_latency_ms,14.787493643234484,2.466901772369179,16
0,42,hs_anp,0.2,0.0,future_rmse,0.025100610425583224,0.0139322137889514,16
0,42,hs_anp,0.2,0.0,current_soh_abs_error,0.010814483583677134,0.0070106813634945656,16
0,42,hs_anp,0.2,0.0,nll,-2.329629699515868,0.6451094888769551,16
0,42,hs_anp,0.2,0.0,coverage_95,0.8850085771124185,0.16942588312362739,16
0,42,hs_anp,0.2,0.0,interval_width_95,0.08174493909356449,0.009927182207242024,16
0,42,hs_anp,0.2,0.0,inference_latency_ms,13.555054015887436,2.205478760258368,16
0,42,hs_anp,0.3,0.0,future_rmse,0.023841006756677885,0.012657937245881715,16
0,42,hs_anp,0.3,0.0,current_soh_abs_error,0.00576431381465671,0.0053228711604671524,16
0,42,hs_anp,0.3,0.0,nll,-2.360397903214078,0.5976164993652388,16
0,42,hs_anp,0.3,0.0,coverage_95,0.8886515676053526,0.1718511212202957,16
0,42,hs_anp,0.3,0.0,interval_width_95,0.0818645190086085,0.009894755397489465,16
0,42,hs_anp,0.3,0.0,inference_latency_ms,12.302340411406476,1.8917615782877428,16
0,42,hs_anp,0.4,0.0,future_rmse,0.022738713577078132,0.011178890407565515,16
0,42,hs_anp,0.4,0.0,current_soh_abs_error,0.004685758669914233,0.006032335602833472,16
0,42,hs_anp,0.4,0.0,nll,-2.379827997385398,0.5514593558627684,16
0,42,hs_anp,0.4,0.0,coverage_95,0.8965881309037185,0.16715321076604678,16
0,42,hs_anp,0.4,0.0,interval_width_95,0.08153709024691666,0.009483077810880184,16
0,42,hs_anp,0.4,0.0,inference_latency_ms,11.034778889734298,1.650439456927701,16
0,42,hs_anp,0.5,0.0,future_rmse,0.022169518040065037,0.009462748426312829,16
0,42,hs_anp,0.5,0.0,current_soh_abs_error,0.007505493855444259,0.008793584744060834,16
0,42,hs_anp,0.5,0.0,nll,-2.3899726348648267,0.4884064953789805,16
0,42,hs_anp,0.5,0.0,coverage_95,0.9173384780468674,0.1497124005202876,16
0,42,hs_anp,0.5,0.0,interval_width_95,0.08183501527283471,0.009137607068945317,16
0,42,hs_anp,0.5,0.0,inference_latency_ms,9.831254046002869,1.382387451998018,16
0,42,hs_anp,0.6,0.0,future_rmse,0.021696292990877383,0.008736523655479396,16
0,42,hs_anp,0.6,0.0,current_soh_abs_error,0.011230313888660491,0.014041387267715335,16
0,42,hs_anp,0.6,0.0,nll,-2.399248461854901,0.44378637151276057,16
0,42,hs_anp,0.6,0.0,coverage_95,0.9297586318072246,0.1288787503202724,16
0,42,hs_anp,0.6,0.0,interval_width_95,0.08386860618456841,0.008669718068038255,16
0,42,hs_anp,0.6,0.0,inference_latency_ms,8.597028972872067,1.1198495643556095,16
0,42,hs_anp,0.7,0.0,future_rmse,0.020399210306187805,0.00754095997403604,16
0,42,hs_anp,0.7,0.0,current_soh_abs_error,0.016040106981379525,0.01752848616968377,16
0,42,hs_anp,0.7,0.0,nll,-2.437329468578085,0.3303926809392784,16
0,42,hs_anp,0.7,0.0,coverage_95,0.9515190717104713,0.08794285223253342,16
0,42,hs_anp,0.7,0.0,interval_width_95,0.08719443532436144,0.007694750757932185,16
0,42,hs_anp,0.7,0.0,inference_latency_ms,7.365776832739357,0.7613472805810784,16
