step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse,nonfinite_gradient_parameters
1,2.1913042068481445,2.1912646293640137,0.19806338846683502,0.0002,6.844757556915283,False,1024.0,1024.0,16,0.0152973891235888,0.0007475707679986954,0.0004869033582508564,HUST_10-1|HUST_10-6|HUST_1-6|HUST_6-2|HUST_6-2|HUST_8-5|HUST_6-1|HUST_8-7|HUST_8-1|HUST_1-8|HUST_5-7|HUST_8-5|HUST_9-2|HUST_6-5|HUST_10-6|HUST_8-7,1130|1642|360|518|1050|939|1171|1560|450|1666|743|671|1352|1176|1482|581,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,125,128,128,0.8125755631313137,1.0753039949494925,-2.3714962005615234,0.9267563819885254,-0.1083984375,-0.03497314453125,0.6583728790283203,0.711088240146637,0.5568944811820984,0.7908845543861389,0.5718255639076233,0.8530011773109436,0.0,74.67822265625,3394.0,0.0001,,0.3766341209411621,,
2,1.9348379373550415,1.9347589015960693,0.1974736750125885,0.0004,4.582976818084717,False,1024.0,1024.0,16,0.013594717718660831,0.0007747123017907143,0.00044140685349702835,HUST_9-5|HUST_2-8|HUST_10-1|HUST_10-4|HUST_2-6|HUST_4-6|HUST_9-7|HUST_10-5|HUST_6-8|HUST_2-6|HUST_2-8|HUST_4-6|HUST_1-8|HUST_6-4|HUST_7-4|HUST_8-2,618|692|1150|630|909|319|1376|944|1870|872|494|804|634|1353|344|1414,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14,118,128,128,0.8118593181818177,1.0654020656565646,-2.3804879188537598,0.8024490475654602,-0.15087890625,-0.0244293212890625,0.6904404163360596,0.7383889555931091,0.5571027398109436,0.7885536551475525,0.5704463720321655,0.8590345978736877,0.0,80.52978515625,3394.0,0.0001,,0.7324460512027144,,
3,1.849371314048767,1.849254846572876,0.1942073106765747,0.0006,3.988023042678833,False,1024.0,1024.0,16,0.013074001763015985,0.0005499613471329212,0.00035812100395560265,HUST_1-6|HUST_10-5|HUST_8-7|HUST_4-6|HUST_2-6|HUST_6-5|HUST_4-8|HUST_6-2|HUST_10-1|HUST_5-3|HUST_8-2|HUST_10-8|HUST_1-8|HUST_9-1|HUST_2-2|HUST_4-6,651|925|977|465|371|686|618|1419|1022|1916|1550|862|936|818|1599|859,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,106,128,128,0.8137709772727303,1.0756683686868698,-2.3564891815185547,0.931330680847168,-0.14892578125,-0.05401611328125,0.699394702911377,0.7521653175354004,0.5578320622444153,0.788886308670044,0.5716131925582886,0.8570672869682312,0.0,80.10693359375,3394.0,0.0001,,1.0526475021615624,,
4,1.7486687898635864,1.7485226392745972,0.18272405862808228,0.0008,3.225066661834717,False,1024.0,1024.0,16,0.012735588010400534,0.0007462878711521626,0.0004224018193781376,HUST_6-8|HUST_4-1|HUST_10-4|HUST_10-2|HUST_6-5|HUST_6-8|HUST_2-6|HUST_5-7|HUST_8-6|HUST_10-3|HUST_8-4|HUST_2-5|HUST_3-6|HUST_2-5|HUST_7-4|HUST_2-3,808|1377|847|1121|609|1864|355|598|700|446|711|741|1935|843|447|1008,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,11,126,128,128,0.8118593181818177,1.0778080176767666,-2.3804879188537598,0.9581915140151978,-0.169677734375,-0.08599853515625,0.7091971039772034,0.7798033952713013,0.5582491755485535,0.7834414839744568,0.5723567008972168,0.8276258707046509,0.0,80.81201171875,3394.0,0.0001,,1.4284244771115482,,
5,1.8009625673294067,1.8007910251617432,0.17157131433486938,0.001,3.5918920040130615,False,1024.0,1024.0,16,0.015940734650939703,0.0009288112632930279,0.00041624996811151505,HUST_6-8|HUST_4-7|HUST_4-5|HUST_4-6|HUST_10-3|HUST_8-4|HUST_8-7|HUST_8-2|HUST_6-4|HUST_9-8|HUST_6-1|HUST_8-5|HUST_7-1|HUST_9-2|HUST_4-4|HUST_8-6,1873|708|1027|995|1105|1088|1556|640|354|511|743|753|1028|1383|356|1085,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13,128,128,128,0.812708194444444,1.076040358585855,-2.369831085205078,0.9360005855560303,-0.2103271484375,-0.10894775390625,0.7313437461853027,0.782580554485321,0.5583534836769104,0.7811911702156067,0.5718255639076233,0.8542618155479431,0.0,80.88232421875,3394.0,0.0001,,1.8132758899591863,,
6,1.8571795225143433,1.8569256067276,0.2116420567035675,0.0012,3.8746087551116943,False,1024.0,1024.0,16,0.012065611779689789,0.0007569990120828152,0.00045056408271193504,HUST_3-6|HUST_8-6|HUST_2-8|HUST_1-6|HUST_4-5|HUST_2-3|HUST_1-6|HUST_7-4|HUST_10-4|HUST_1-6|HUST_1-6|HUST_5-3|HUST_9-8|HUST_10-4|HUST_5-7|HUST_8-5,1931|1329|725|461|835|1372|841|353|1045|647|374|2098|1581|758|898|324,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,124,128,128,0.8118593181818177,1.0523978383838342,-2.3804879188537598,0.63919597864151,-0.230712890625,-0.126220703125,0.7332750558853149,0.7886866331100464,0.5596063137054443,0.7788131237030029,0.5732071995735168,0.8461586833000183,0.0,80.74169921875,3394.0,0.0001,,2.184335875324905,,
7,1.7021615505218506,1.7019124031066895,0.17793935537338257,0.0014,2.947786569595337,False,1024.0,1024.0,16,0.014616301748901606,0.0006236089393496513,0.0004582093097269535,HUST_3-6|HUST_6-8|HUST_10-6|HUST_8-6|HUST_1-4|HUST_7-8|HUST_10-1|HUST_7-4|HUST_1-2|HUST_3-5|HUST_10-4|HUST_2-3|HUST_3-6|HUST_8-5|HUST_10-4|HUST_5-6,1905|915|946|619|364|1205|647|993|698|535|1271|1344|979|383|1083|1642,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,10,126,128,128,0.8115353888888837,1.0919010934343374,-2.384554386138916,1.1351138353347778,-0.25537109375,-0.1129150390625,0.738675594329834,0.8145784735679626,0.5599198937416077,0.7764398455619812,0.5721442103385925,0.8411538600921631,0.0,80.81201171875,3394.0,0.0001,,2.563041760120541,,
8,1.637868046760559,1.6375596523284912,0.19274449348449707,0.0016,2.807549476623535,False,1024.0,1024.0,16,0.011797760147601366,0.0007198690436780453,0.000412041787058115,HUST_10-5|HUST_8-2|HUST_6-4|HUST_6-8|HUST_1-6|HUST_2-3|HUST_10-3|HUST_5-6|HUST_4-8|HUST_4-8|HUST_1-4|HUST_10-6|HUST_1-8|HUST_3-6|HUST_9-7|HUST_8-4,1021|1433|769|1257|850|1205|399|1520|372|1014|335|1345|672|1088|1371|409,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,20,115,128,128,0.8137709772727303,1.080316383838383,-2.3564891815185547,0.9896811246871948,-0.25048828125,-0.14990234375,0.7375296950340271,0.8222129940986633,0.5613847970962524,0.7737428545951843,0.5723567008972168,0.8305128812789917,0.0,80.42431640625,3394.0,0.0001,,2.9077608599327505,,
9,1.4971909523010254,1.4968979358673096,0.16281595826148987,0.0018,2.20650315284729,False,1024.0,1024.0,16,0.010786876082420349,0.0006989599205553532,0.0004192860797047615,HUST_10-1|HUST_10-3|HUST_8-1|HUST_2-8|HUST_8-6|HUST_4-6|HUST_9-7|HUST_2-2|HUST_4-7|HUST_9-5|HUST_8-2|HUST_4-8|HUST_6-4|HUST_1-6|HUST_10-3|HUST_8-1,958|940|497|901|643|912|1138|974|594|1414|1011|1025|754|346|498|630,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,117,128,128,0.8125755631313137,1.0838589393939355,-2.3714962005615234,1.0341538190841675,-0.28173828125,-0.188720703125,0.7674522399902344,0.8200269937515259,0.5611752867698669,0.7768350839614868,0.5758712887763977,0.8261848092079163,0.0,80.49462890625,3394.0,0.0001,,3.2567687281407416,,
10,1.4809255599975586,1.4805988073349,0.16339075565338135,0.002,2.435670852661133,False,1024.0,1024.0,16,0.012010648846626282,0.0007347371429204941,0.00044029485434293747,HUST_6-5|HUST_2-6|HUST_9-1|HUST_7-4|HUST_9-8|HUST_2-8|HUST_9-2|HUST_5-6|HUST_10-1|HUST_1-6|HUST_4-1|HUST_10-3|HUST_6-2|HUST_2-2|HUST_9-5|HUST_10-4,1311|1018|1168|912|945|729|1687|1184|397|521|457|1378|856|1117|1515|575,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16,122,128,128,0.8118593181818177,1.0616633636363628,-2.3804879188537598,0.7555139660835266,-0.301513671875,-0.2197265625,0.7642545700073242,0.8410151600837708,0.560965895652771,0.7746630907058716,0.5716131925582886,0.829962432384491,0.0,80.67138671875,3394.0,0.0001,,3.621064407285303,,
