iteration,method,total_loss,query_loss,L_T,L_GY,L_G,L_S,L_R,L_C,L_O,L_delta,general_domain_accuracy_batch,specific_domain_accuracy_batch,mean_absolute_specific_residual,outer_gradient_norm,grl_strength,source_validation_mae_cycles,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,support_loss,inner_update_specific_encoder,inner_update_general_head
1,hybrid,1.4997594356536865,0.8488054871559143,0.8488054871559143,0.8488054871559143,2.130187511444092,2.19820499420166,1.0108740329742432,0.0021785807330161333,0.00010147383727598935,0.0,0.375,0.25,0.0,4.222084045410156,0.0033333209877091097,,,,0.6825215220451355,0.0,0.026232441887259483
2,hybrid,0.8760726451873779,0.43004095554351807,0.43004095554351807,0.4308469891548157,2.2288293838500977,2.242198944091797,0.6926690936088562,0.012871036306023598,0.0001287474879063666,6.242442759685218e-05,0.0,0.25,3.761279344558716,1.8800889253616333,0.006666567902990472,,,,0.8410749435424805,0.0008338101906701922,0.02945202775299549
3,hybrid,1.317503571510315,0.7221139669418335,0.7221139669418335,0.7262524962425232,2.27097225189209,2.205631732940674,0.8216407895088196,0.02157551422715187,8.133464143611491e-05,9.1500100097619e-05,0.125,0.0,3.965768814086914,4.162751197814941,0.00999966667999952,,,,0.15529167652130127,0.0005189756629988551,0.012290576472878456
4,hybrid,1.1201716661453247,0.5970853567123413,0.5970853567123413,0.6015151739120483,2.1380860805511475,2.1484053134918213,0.7336003184318542,0.06670688837766647,8.138881821651012e-05,6.906971975695342e-05,0.0,0.25,3.515868663787842,3.9374780654907227,0.01333254326605915,,,,0.2934015989303589,0.0006161053897812963,0.013110488653182983
5,hybrid,0.96830815076828,0.4917970299720764,0.4917970299720764,0.5050098299980164,2.1213343143463135,2.1530399322509766,0.7724382877349854,0.2561999559402466,8.278554741991684e-05,0.00028286094311624765,0.25,0.125,7.534088611602783,3.147794485092163,0.016665123628238687,,,,0.423463374376297,0.0012911162339150906,0.024618424475193024
6,hybrid,0.5992640256881714,0.258001446723938,0.258001446723938,0.2483704686164856,2.1637768745422363,2.027578115463257,0.7164351940155029,0.03433240205049515,9.550639515509829e-05,0.0009308385197073221,0.25,0.375,13.619482040405273,5.060551643371582,0.01999733375993107,,,,0.5838732719421387,0.002334450837224722,0.03246195986866951
7,hybrid,0.6261892914772034,0.2640712857246399,0.2640712857246399,0.25965172052383423,2.288469076156616,2.224841594696045,0.5877764225006104,0.07459457963705063,0.00018651204300113022,0.0010929617565125227,0.0,0.0,15.493110656738281,4.039237022399902,0.023329099687423804,,,,0.46548229455947876,0.0019814397674053907,0.017795000225305557
8,hybrid,0.5223303437232971,0.19020038843154907,0.19020038843154907,0.2027653157711029,2.21221661567688,2.286571502685547,0.5368834733963013,0.043568409979343414,0.0001545253035146743,0.0017643282189965248,0.25,0.125,19.828372955322266,3.2480883598327637,0.02666034747646484,,,,0.49588167667388916,0.0016196342185139656,0.02042994275689125
9,hybrid,0.693032443523407,0.315793514251709,0.315793514251709,0.3197673261165619,2.1201729774475098,2.046630859375,0.6104806661605835,0.2904920279979706,0.00020565537852235138,0.0032740943133831024,0.25,0.25,28.160247802734375,1.9283772706985474,0.02999100323881998,,,,0.15519389510154724,0.0014245996717363596,0.012634854763746262
10,hybrid,0.75990229845047,0.3597717583179474,0.3597717583179474,0.3539436459541321,2.1118712425231934,2.1388139724731445,0.5362714529037476,0.5257115364074707,0.0001508191489847377,0.0031492423731833696,0.125,0.125,25.327220916748047,2.2376654148101807,0.03332099313882275,,,,0.3254152238368988,0.001941336551681161,0.024228960275650024
