iteration,method,total_loss,query_loss,L_T,L_GY,L_G,L_S,L_SC,L_R,L_C,L_O,L_delta,general_domain_accuracy_batch,specific_domain_accuracy_batch,mean_absolute_specific_residual,outer_gradient_norm,grl_strength,auxiliary_scale,source_validation_mae_cycles,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,support_loss,inner_update_specific_encoder,inner_update_general_head
1,hybrid,1.1286638975143433,0.644950807094574,0.644950807094574,0.644950807094574,2.073406934738159,2.082460403442383,3.4452452659606934,0.8081733584403992,0.5103030204772949,0.36344820261001587,0.0,0.25,0.125,0.0,5.262455463409424,0.0,0.0,,,,0.2106299102306366,0.0,0.11446277052164078
2,hybrid,1.2492938041687012,0.7134366035461426,0.7134366035461426,0.7144763469696045,2.0672976970672607,2.088883638381958,3.7425320148468018,0.7459438443183899,0.328181654214859,0.30747395753860474,1.612993401067797e-06,0.125,0.125,0.5397374629974365,5.1148810386657715,0.0,0.0,,,,0.17485752701759338,0.002060060855001211,0.09908127784729004
3,hybrid,0.9386781454086304,0.5348271131515503,0.5348271131515503,0.5384680032730103,2.067239761352539,2.081127643585205,3.427750825881958,0.7527697086334229,0.5076071619987488,0.255075603723526,4.34064568253234e-05,0.0625,0.0625,2.931640386581421,3.4907472133636475,0.0,0.0,,,,0.2969130873680115,0.0028143678791821003,0.08371312916278839
4,hybrid,0.8375725150108337,0.47659680247306824,0.47659680247306824,0.481300950050354,2.058117628097534,2.081432580947876,2.8969552516937256,0.7844142317771912,0.40414297580718994,0.36383581161499023,0.00014841218944638968,0.1875,0.125,5.528714179992676,2.9752156734466553,0.0,0.0,,,,0.38658756017684937,0.006661985535174608,0.12277692556381226
5,hybrid,0.5669496059417725,0.3195814788341522,0.3195814788341522,0.32982414960861206,2.069289207458496,2.0849428176879883,4.575407028198242,0.8349483013153076,0.13726122677326202,0.3573978543281555,0.00036962470039725304,0.1875,0.125,8.042023658752441,2.4104299545288086,0.0,0.0,,,,0.39648619294166565,0.007558480836451054,0.09477013349533081
6,hybrid,0.8385342359542847,0.4782722592353821,0.4782722592353821,0.4803493022918701,2.0954344272613525,2.1177923679351807,3.578411102294922,0.9648904800415039,0.17275245487689972,0.447664737701416,0.000568058923818171,0.0625,0.0625,9.570625305175781,3.5386648178100586,0.0,0.0,,,,0.17027288675308228,0.010087180882692337,0.09659309685230255
7,hybrid,1.0573986768722534,0.6000449657440186,0.6000449657440186,0.6098049879074097,2.0735745429992676,2.0834102630615234,4.976813316345215,0.8752185702323914,0.13375639915466309,0.3153252601623535,0.0007581721874885261,0.0625,0.125,11.23609733581543,6.967257976531982,0.0,0.0,,,,0.07399783283472061,0.005946495104581118,0.07256989181041718
8,hybrid,0.7967079877853394,0.44822365045547485,0.44822365045547485,0.4646458029747009,2.0734176635742188,2.1170129776000977,5.537341117858887,0.7570644617080688,0.1370188295841217,0.383298397064209,0.001314061228185892,0.125,0.1875,16.793420791625977,4.555736541748047,0.0,0.0,,,,0.19685524702072144,0.007523342035710812,0.08333166688680649
9,hybrid,0.5237758159637451,0.2958504855632782,0.2958504855632782,0.30390045046806335,2.0900144577026367,2.082669734954834,6.623370170593262,0.8792374730110168,0.29641562700271606,0.4033513069152832,0.0016214610077440739,0.0625,0.125,18.303823471069336,2.590085983276367,0.0,0.0,,,,0.13124965131282806,0.008115209639072418,0.08851411938667297
10,hybrid,0.5272473096847534,0.29185813665390015,0.29185813665390015,0.3138521909713745,2.095388889312744,2.1233866214752197,3.173126697540283,0.9461668729782104,0.10730033367872238,0.28378331661224365,0.001811133697628975,0.125,0.0,20.043479919433594,5.022663593292236,0.0,0.0,,,,0.13799095153808594,0.010301681235432625,0.10529737919569016
11,hybrid,0.756592869758606,0.4196009337902069,0.4196009337902069,0.44932258129119873,2.067471742630005,2.11003041267395,3.7447190284729004,0.9031677842140198,0.19190585613250732,0.38306859135627747,0.002776233945041895,0.0625,0.0625,24.36481475830078,6.885931015014648,0.0,0.0,,,,0.05621131509542465,0.008705033920705318,0.07108159363269806
12,hybrid,0.7742565870285034,0.4579218029975891,0.4579218029975891,0.42177969217300415,2.0776283740997314,2.0501255989074707,5.351168632507324,0.9392197132110596,0.43604087829589844,0.5298416614532471,0.004819218534976244,0.125,0.125,32.70362091064453,7.703937530517578,0.0,0.0,,,,0.10568396747112274,0.010866432450711727,0.11120927333831787
13,hybrid,0.41689199209213257,0.25293606519699097,0.25293606519699097,0.21860790252685547,2.04532790184021,2.0909905433654785,5.738675594329834,0.8361210823059082,0.44255271553993225,0.43155235052108765,0.004725717939436436,0.1875,0.125,32.7066535949707,3.812307119369507,0.0,0.0,,,,0.09458087384700775,0.010245459154248238,0.10761678218841553
14,hybrid,0.6483429670333862,0.35355687141418457,0.35355687141418457,0.39304807782173157,2.0782270431518555,2.0934507846832275,8.788581848144531,0.9082628488540649,0.36329004168510437,0.4583243131637573,0.0055273305624723434,0.125,0.0625,33.72228240966797,3.2894492149353027,0.0,0.0,,,,0.14562106132507324,0.008450809866189957,0.08509398996829987
15,hybrid,0.4999811053276062,0.27752333879470825,0.27752333879470825,0.29661035537719727,2.0854640007019043,2.115828514099121,6.40952205657959,0.8412264585494995,0.34248605370521545,0.46866679191589355,0.00494033470749855,0.0625,0.125,32.74211883544922,1.3299983739852905,0.0,0.0,,,,0.040565527975559235,0.0070081669837236404,0.0628974512219429
16,hybrid,0.5864316821098328,0.3374834656715393,0.3374834656715393,0.331930935382843,2.075457811355591,2.083595037460327,5.616742134094238,0.9603516459465027,0.23131729662418365,0.5198478102684021,0.005076380912214518,0.125,0.1875,34.37025451660156,3.5669026374816895,0.0,0.0,,,,0.07437589764595032,0.00867186114192009,0.0657183974981308
