iteration,method,total_loss,query_loss,L_T,L_GY,L_G,L_S,L_SC,L_R,L_C,L_O,L_delta,L_specific_fit,L_within_domain_difference,L_path,L_regret,general_domain_accuracy_batch,specific_domain_accuracy_batch,mean_absolute_specific_residual,outer_gradient_norm,grl_strength,auxiliary_scale,source_validation_mae_cycles,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,support_loss,inner_update_specific_encoder,inner_update_general_head
1,hybrid,1.4320865869522095,0.544170081615448,0.544170081615448,0.547225296497345,2.0766875743865967,2.0932366847991943,2.3599045276641846,0.8816329836845398,0.025881337001919746,0.25102221965789795,0.009914794936776161,0.544170081615448,0.7011587023735046,0.5471214652061462,0.030148731544613838,0.0625,0.0,42.67778778076172,4.555919170379639,0.0,0.0,,,,0.4347129762172699,0.05463477969169617,0.028047431260347366
2,hybrid,1.749405860900879,0.6899176836013794,0.6899176836013794,0.7215578556060791,2.1068875789642334,2.112011671066284,2.764179229736328,0.7868388295173645,0.016363682225346565,0.2118871510028839,0.006131361238658428,0.6899176836013794,0.5740939378738403,0.7165727019309998,0.031083865091204643,0.0625,0.0625,29.21356773376465,5.213588714599609,0.0,0.0,,,,0.30078908801078796,0.045222848653793335,0.022869158536195755
3,hybrid,0.9930407404899597,0.3675616979598999,0.3675616979598999,0.390197217464447,2.0806007385253906,2.105611801147461,2.4241466522216797,0.7799639105796814,0.034673918038606644,0.20286647975444794,0.007006656378507614,0.3675616979598999,0.5033504366874695,0.36719298362731934,0.02896370179951191,0.0625,0.125,31.862333297729492,4.038375377655029,0.0,0.0,,,,0.35156819224357605,0.03494231030344963,0.01900411769747734
4,hybrid,0.8653550148010254,0.32135456800460815,0.32135456800460815,0.3754369616508484,2.0916666984558105,2.1163814067840576,2.343681812286377,0.8332763314247131,0.06098862737417221,0.28706806898117065,0.006555989384651184,0.3213545083999634,0.31878870725631714,0.3585953116416931,0.026258692145347595,0.125,0.0625,31.08977508544922,3.3381502628326416,0.0,0.0,,,,0.39024603366851807,0.05094126984477043,0.026756787672638893
5,hybrid,0.6414360404014587,0.2264387011528015,0.2264387011528015,0.2764599025249481,2.0795865058898926,2.102640151977539,3.4414732456207275,0.8579729795455933,0.03626333177089691,0.3227570056915283,0.013835691846907139,0.22643867135047913,0.31876900792121887,0.25396275520324707,0.020365137606859207,0.0625,0.0,48.04816436767578,2.5658769607543945,0.0,0.0,,,,0.3727782070636749,0.03891092911362648,0.020147813484072685
6,hybrid,0.9665384888648987,0.39366084337234497,0.39366084337234497,0.3949774503707886,2.0748677253723145,2.080803155899048,3.097341537475586,1.0053011178970337,0.04883386939764023,0.4005274474620819,0.008432138711214066,0.39366087317466736,0.24745488166809082,0.3982136845588684,0.01714135892689228,0.125,0.25,33.90180206298828,5.450493812561035,0.0,0.0,,,,0.16082003712654114,0.041094258427619934,0.018222900107502937
7,hybrid,1.084193468093872,0.4105980396270752,0.4105980396270752,0.4530498683452606,2.0782907009124756,2.0934250354766846,3.5419974327087402,0.8307023048400879,0.08422856777906418,0.296025812625885,0.013808993622660637,0.4105980098247528,0.38059407472610474,0.4176256060600281,0.04221651703119278,0.125,0.0625,47.065006256103516,6.807961463928223,0.0,0.0,,,,0.08801506459712982,0.030069591477513313,0.014565259218215942
8,hybrid,0.9614164233207703,0.35609596967697144,0.35609596967697144,0.48449647426605225,2.068837881088257,2.0943570137023926,4.172190189361572,0.7061395645141602,0.015783732756972313,0.3339419364929199,0.03287762403488159,0.3560958802700043,0.21454687416553497,0.3709224462509155,0.03865690529346466,0.125,0.0,79.74063110351562,5.5805511474609375,0.0,0.0,,,,0.20768055319786072,0.03351563960313797,0.01652452163398266
9,hybrid,0.9107668995857239,0.34076330065727234,0.34076330065727234,0.34742027521133423,2.0924620628356934,2.1001782417297363,5.56556510925293,0.8664027452468872,0.19519539177417755,0.4003509283065796,0.0233541801571846,0.34076327085494995,0.3241409957408905,0.30508068203926086,0.06860636174678802,0.0625,0.0625,69.0257568359375,4.815095901489258,0.0,0.0,,,,0.10149459540843964,0.028329934924840927,0.01560312882065773
10,hybrid,0.6230732202529907,0.23949214816093445,0.23949214816093445,0.3072628974914551,2.0785086154937744,2.1055877208709717,3.6616151332855225,0.9266577959060669,0.06899773329496384,0.27381783723831177,0.030899154022336006,0.23949211835861206,0.12285031378269196,0.2419901192188263,0.018993442878127098,0.125,0.125,64.54145050048828,5.296406269073486,0.0,0.0,,,,0.18178141117095947,0.04364260286092758,0.021371301263570786
