file_name,cell_id,protocol,replicate,nominal_capacity_Ah,raw_cycle_count,processed_cycle_count,interpolated_cycle_count,first_cycle,last_cycle,true_eol_cycle,soh_at_true_eol
HUST_1-1.pkl,HUST_1-1,protocol_1,1,1.1,1504,1504,0,1,1504,1542,
HUST_1-2.pkl,HUST_1-2,protocol_1,2,1.1,2678,2678,0,1,2678,2755,
HUST_1-3.pkl,HUST_1-3,protocol_1,3,1.1,1858,1858,0,1,1858,1911,
HUST_1-4.pkl,HUST_1-4,protocol_1,4,1.1,1500,1500,0,1,1500,1549,
HUST_1-5.pkl,HUST_1-5,protocol_1,5,1.1,1971,1971,0,1,1971,2033,
HUST_1-6.pkl,HUST_1-6,protocol_1,6,1.1,1143,1143,0,1,1143,1179,
HUST_1-7.pkl,HUST_1-7,protocol_1,7,1.1,1678,1678,0,1,1678,1726,
HUST_1-8.pkl,HUST_1-8,protocol_1,8,1.1,2285,2285,0,1,2285,2359,
HUST_2-2.pkl,HUST_2-2,protocol_2,2,1.1,2651,2651,0,1,2651,2716,
HUST_2-3.pkl,HUST_2-3,protocol_2,3,1.1,1751,1751,0,1,1751,1810,
HUST_2-4.pkl,HUST_2-4,protocol_2,4,1.1,1499,1499,0,1,1499,1545,
HUST_2-5.pkl,HUST_2-5,protocol_2,5,1.1,1386,1386,0,1,1386,1441,
HUST_2-6.pkl,HUST_2-6,protocol_2,6,1.1,1572,1572,0,1,1572,1621,
HUST_2-7.pkl,HUST_2-7,protocol_2,7,1.1,2202,2202,0,1,2202,2261,
HUST_2-8.pkl,HUST_2-8,protocol_2,8,1.1,1481,1481,0,1,1481,1531,
HUST_3-1.pkl,HUST_3-1,protocol_3,1,1.1,1938,1938,0,1,1938,1995,
HUST_3-2.pkl,HUST_3-2,protocol_3,2,1.1,2283,2283,0,1,2283,2353,
HUST_3-3.pkl,HUST_3-3,protocol_3,3,1.1,1649,1649,0,1,1649,1698,
HUST_3-4.pkl,HUST_3-4,protocol_3,4,1.1,1766,1766,0,1,1766,1829,
HUST_3-5.pkl,HUST_3-5,protocol_3,5,1.1,2657,2657,0,1,2657,2768,
