iteration,weighted_meta_loss,ema_source_meta_loss,weighted_path_mean_query_loss,weighted_path_dispersion,weighted_path_worst_query_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.48743945360183716,0.48743945360183716,0.48743945360183716,0.0,0.48743945360183716,0.10559924691915512,1.044898509979248,0.0028162862291342128,0.7011987383088396,OSQP:optimal,0.001,4.369402779033408,10045.256988997804,4.3691217510495335,67963392,692060160
2,0.45810651779174805,0.4868527948856354,0.45810651779174805,0.0,0.45810651779174805,0.09994708746671677,1.0418227910995483,0.002816369070470226,0.7045617338899729,OSQP:optimal,0.001,8.795556735945866,10106.0946896018,4.422899852041155,68021760,694157312
3,0.42760491371154785,0.4856678372621536,0.42760491371154785,0.0,0.42760491371154785,0.09532250463962555,1.0393551588058472,0.002819180084849493,0.7054246533009163,OSQP:optimal,0.001,13.357427007053047,10227.336611733617,4.523826198885217,68022272,694157312
4,0.39548808336257935,0.48386424218416213,0.39548808336257935,0.0,0.39548808336257935,0.11710096895694733,1.0459145307540894,0.002828754034013281,0.7040248715462719,OSQP:optimal,0.001,17.80505699897185,10220.102717409842,4.404823539080098,68025344,694157312
5,0.3650442957878113,0.4814878432562351,0.3650442957878113,0.0,0.3650442957878113,0.17220930755138397,1.071153998374939,0.002846068817096148,0.7009078293047744,OSQP:optimal,0.001,22.422731735976413,10292.033866813174,4.566985406912863,68023296,694157312
6,0.3323175609111786,0.478504437609334,0.3323175609111786,0.0,0.3323175609111786,0.223323255777359,1.1012516021728516,0.0028704117145805785,0.6961126687741914,OSQP:optimal,0.001,26.899123423034325,10284.431522073457,4.430560986977071,68021248,694157312
7,0.29977840185165405,0.4749299168941804,0.29977840185165405,0.0,0.29977840185165405,0.27166950702667236,1.1353638172149658,0.0028983505168483914,0.690117420333162,OSQP:optimal,0.001,31.52011785795912,10325.090035471467,4.568384513026103,68021248,694157312
8,0.26710283756256104,0.470773375307548,0.26710283756256104,0.0,0.26710283756256104,0.3182591199874878,1.1737489700317383,0.0029337801064021063,0.6824888023575219,OSQP:optimal,0.001,36.167994305025786,10362.130368389888,4.599874530918896,68025344,694157312
9,0.23253262042999268,0.46600856020999687,0.23253262042999268,0.0,0.23253262042999268,0.3626295328140259,1.2159919738769531,0.0029726938095824273,0.6738350531010868,OSQP:optimal,0.001,40.66464758408256,10351.411957237016,4.460676108021289,68024320,694157312
10,0.20100945234298706,0.4607085780526567,0.20100945234298706,0.0,0.20100945234298706,0.4046838879585266,1.261669635772705,0.003016765203381122,0.663851527990193,OSQP:optimal,0.001,45.313251885119826,10376.73468169244,4.597199673997238,68023296,694157312
11,0.1670079082250595,0.4548345646561047,0.1670079082250595,0.0,0.1670079082250595,0.4436740577220917,1.309613823890686,0.003064013872005944,0.6527640837598565,OSQP:optimal,0.001,49.970608313102275,10398.42931169919,4.619515113066882,68024320,694157312
12,0.1336725354194641,0.44841132407137185,0.1336725354194641,0.0,0.1336725354194641,0.47927284240722656,1.358646273612976,0.0031143365701878922,0.6404920486038748,OSQP:optimal,0.001,54.475173683138564,10386.599782251753,4.457727467874065,68025344,694157312
13,0.10310821235179901,0.4415052618369804,0.10310821235179901,0.0,0.10310821235179901,0.5122398138046265,1.4092504978179932,0.0031653966911565634,0.6275411359205039,OSQP:optimal,0.001,59.11673244996928,10399.997470236902,4.603710601106286,68025344,694157312
14,0.07375207543373108,0.4341501981089154,0.07375207543373108,0.0,0.07375207543373108,0.5422737002372742,1.4601871967315674,0.003220758752408792,0.6136836999860532,OSQP:optimal,0.001,63.77654645801522,10413.798943073056,4.616086543072015,68025344,694157312
15,0.04885008931159973,0.4264441959329691,0.04885008931159973,0.0,0.04885008931159973,0.5694889426231384,1.5102795362472534,0.0032805513311841006,0.5993219118898019,OSQP:optimal,0.001,68.29519650503062,10403.63493426633,4.480710241012275,68022272,694157312
16,0.027487225830554962,0.4184650565309208,0.027487225830554962,0.0,0.027487225830554962,0.5946599841117859,1.5603728294372559,0.003340282714039966,0.5847637937829363,OSQP:optimal,0.001,72.95249983598478,10413.969351586828,4.60916126309894,68021760,694157312
17,0.012753939256072044,0.41035083418542384,0.012753939256072044,0.0,0.012753939256072044,0.6178622245788574,1.609779715538025,0.0033990164369925857,0.5705911197565534,OSQP:optimal,0.001,77.47353781107813,10404.240401334786,4.483728538034484,68023296,694157312
18,0.005325763951987028,0.4022503327807551,0.005325763951987028,0.0,0.005325763951987028,0.63939368724823,1.6579781770706177,0.0034540156865322524,0.5575599021182787,OSQP:optimal,0.001,82.12046725000255,10411.0503480281,4.602884134976193,68022272,694157312
19,0.005342812743037939,0.39431218238000076,0.005342812743037939,0.0,0.005342812743037939,0.6590398550033569,1.703782320022583,0.0035063746854482325,0.5460960752117102,OSQP:optimal,0.001,86.78215663600713,10418.426278249068,4.6107438979670405,68022272,694157312
20,0.010260408744215965,0.38663114690728506,0.010260408744215965,0.0,0.010260408744215965,0.6765027046203613,1.7457846403121948,0.003544546020522843,0.5373380966506146,OSQP:optimal,0.001,91.32143290992826,10410.643351731822,4.4997974671423435,68020224,694157312
21,0.01673310622572899,0.379233186093654,0.01673310622572899,0.0,0.01673310622572899,0.6907044649124146,1.7812238931655884,0.003567777576221398,0.530810885793789,OSQP:optimal,0.001,95.98759858403355,10416.939865381546,4.619413611013442,68024320,694157312
22,0.020685119554400444,0.3720622247628689,0.020685119554400444,0.0,0.020685119554400444,0.7018972635269165,1.810004711151123,0.0035734030141805206,0.5259783368049011,OSQP:optimal,0.001,100.6812143039424,10425.082099290035,4.645146487047896,68024320,694157312
23,0.022206440567970276,0.3650651090789709,0.022206440567970276,0.0,0.022206440567970276,0.7097558975219727,1.8315889835357666,0.0035735738109623494,0.5210997205112782,OSQP:optimal,0.001,105.19422854296863,10414.228625753894,4.474998711841181,68022784,694157312
24,0.021969594061374664,0.35820319877861895,0.021969594061374664,0.0,0.021969594061374664,0.7151293754577637,1.8474981784820557,0.0035685029401533175,0.5155574184574577,OSQP:optimal,0.001,109.8488468839787,10417.332312830646,4.617342384997755,68022784,694157312
25,0.021630268543958664,0.35147174017392574,0.021630268543958664,0.0,0.021630268543958664,0.7180960178375244,1.8586801290512085,0.003565896454165385,0.5085461620980372,OSQP:optimal,0.001,114.48944458505139,10418.539457239676,4.603652970166877,68025344,694157312
26,0.01913858763873577,0.34482507712322197,0.01913858763873577,0.0,0.01913858763873577,0.7189429402351379,1.864978551864624,0.0035687885975295708,0.49947871039096636,OSQP:optimal,0.001,119.00477774091996,10408.340945494308,4.472598196007311,68023296,694157312
27,0.01739482395350933,0.3382764720598277,0.01739482395350933,0.0,0.01739482395350933,0.7175614833831787,1.8668644428253174,0.003583274593139618,0.4879128328127008,OSQP:optimal,0.001,123.66733866510913,10410.957806881224,4.626270960085094,68023296,694157312
28,0.01444289181381464,0.3317998004549074,0.01444289181381464,0.0,0.01444289181381464,0.7148469686508179,1.8647387027740479,0.0036095252553791646,0.47386281338307856,OSQP:optimal,0.001,128.17499294993468,10400.485142223271,4.469569206936285,68020224,694157312
29,0.01191217452287674,0.3254020479362668,0.01191217452287674,0.0,0.01191217452287674,0.709923267364502,1.8576977252960205,0.0036550078524707486,0.4571795256863096,OSQP:optimal,0.001,132.83801441593096,10402.59071512342,4.614965684944764,68026368,696254464
30,0.00856664776802063,0.31906533993290187,0.00856664776802063,0.0,0.00856664776802063,0.7032077312469482,1.8447707891464233,0.0037183959301312908,0.4379205921095571,OSQP:optimal,0.001,137.4970051709097,10403.940057932166,4.620743731968105,68022272,696254464
31,0.0051242392510175705,0.31278651791926415,0.0051242392510175705,0.0,0.0051242392510175705,0.6945615410804749,1.82393479347229,0.003804800746436854,0.4160731188590121,OSQP:optimal,0.001,142.00867046997882,10394.118493431675,4.474008210934699,68025344,696254464
32,0.003854362992569804,0.30660787482073026,0.003854362992569804,0.0,0.003854362992569804,0.6841371655464172,1.79556405544281,0.003909320426274676,0.3927500953182983,OSQP:optimal,0.001,146.67531370790675,10395.612859047891,4.622229422908276,68025344,696254464
33,0.005763228051364422,0.30059098188534294,0.005763228051364422,0.0,0.005763228051364422,0.6735537052154541,1.765333890914917,0.004018188850237081,0.3715827493284317,OSQP:optimal,0.001,151.3270008689724,10395.706393029104,4.613976507913321,68024320,696254464
34,0.009046022780239582,0.2947600827032409,0.009046022780239582,0.0,0.009046022780239582,0.6708058714866638,1.7543827295303345,0.004063022637440961,0.3620603051651734,OSQP:optimal,0.001,155.8377424790524,10386.127189927434,4.46368799591437,68022272,696254464
