fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,hs_anp,0.1,0.0,future_rmse,0.07112334827964942,0.013612557447787204,5
0,42,hs_anp,0.1,0.0,current_soh_abs_error,0.002142440441547722,0.002055535570282996,5
0,42,hs_anp,0.1,0.0,nll,-1.459927245867575,0.4007617487943941,5
0,42,hs_anp,0.1,0.0,coverage_95,0.6265491833947195,0.2166969997218266,5
0,42,hs_anp,0.1,0.0,interval_width_95,0.11931532045141402,0.016084913248015857,5
0,42,hs_anp,0.1,0.0,inference_latency_ms,9.869519327767193,4.103461090109424,5
0,42,hs_anp,0.2,0.0,future_rmse,0.03648480174724296,0.014494252449980826,5
0,42,hs_anp,0.2,0.0,current_soh_abs_error,0.0013105929891147339,0.000978659288787737,5
0,42,hs_anp,0.2,0.0,nll,-2.5083074042066658,0.5774277201323582,5
0,42,hs_anp,0.2,0.0,coverage_95,0.858654519425923,0.21414756347515032,5
0,42,hs_anp,0.2,0.0,interval_width_95,0.08682156656702669,0.011985983235168923,5
0,42,hs_anp,0.2,0.0,inference_latency_ms,9.14792531169951,3.671009025865243,5
0,42,hs_anp,0.3,0.0,future_rmse,0.029966431530345627,0.016486775734840475,5
0,42,hs_anp,0.3,0.0,current_soh_abs_error,0.0019446456633033238,0.0017760414766965816,5
0,42,hs_anp,0.3,0.0,nll,-2.2820069502478946,1.022022826279509,5
0,42,hs_anp,0.3,0.0,coverage_95,0.7004230619492796,0.29885121165670947,5
0,42,hs_anp,0.3,0.0,interval_width_95,0.05795604103923202,0.02164924412758483,5
0,42,hs_anp,0.3,0.0,inference_latency_ms,8.432546486146748,3.1959804646791174,5
0,42,hs_anp,0.4,0.0,future_rmse,0.03132343877410111,0.017277286216496674,5
0,42,hs_anp,0.4,0.0,current_soh_abs_error,0.002349568783526057,0.0016283690800209763,5
0,42,hs_anp,0.4,0.0,nll,-2.295656237124601,1.4570168931645802,5
0,42,hs_anp,0.4,0.0,coverage_95,0.6896009316703671,0.30582863678632066,5
0,42,hs_anp,0.4,0.0,interval_width_95,0.05438864474341683,0.023451505800677883,5
0,42,hs_anp,0.4,0.0,inference_latency_ms,7.82519350759685,2.6888352395441495,5
0,42,hs_anp,0.5,0.0,future_rmse,0.027782584571320608,0.01255350518299248,5
0,42,hs_anp,0.5,0.0,current_soh_abs_error,0.001572422327443479,0.0009125817897561889,5
0,42,hs_anp,0.5,0.0,nll,-2.302762922607301,1.2301801339046494,5
0,42,hs_anp,0.5,0.0,coverage_95,0.6455328736040292,0.278840567060451,5
0,42,hs_anp,0.5,0.0,interval_width_95,0.05207089231180142,0.0227136569130972,5
0,42,hs_anp,0.5,0.0,inference_latency_ms,7.2439091466367245,2.15578626093677,5
0,42,hs_anp,0.6,0.0,future_rmse,0.026482782199598886,0.0023870027927646404,5
0,42,hs_anp,0.6,0.0,current_soh_abs_error,0.0027271165159538533,0.002398830907606861,5
0,42,hs_anp,0.6,0.0,nll,-1.9066825699610548,0.4635109266682041,5
0,42,hs_anp,0.6,0.0,coverage_95,0.5125354071462933,0.3005665645111032,5
0,42,hs_anp,0.6,0.0,interval_width_95,0.05133340663657959,0.02595888014153963,5
0,42,hs_anp,0.6,0.0,inference_latency_ms,6.642489628866315,1.636321333108448,5
0,42,hs_anp,0.7,0.0,future_rmse,0.020199587234774906,0.005514689190616765,5
0,42,hs_anp,0.7,0.0,current_soh_abs_error,0.003146954284729686,0.0021971786540850476,5
0,42,hs_anp,0.7,0.0,nll,-2.3776401211535902,0.7246197513486895,5
0,42,hs_anp,0.7,0.0,coverage_95,0.741333974578898,0.35102592029399365,5
0,42,hs_anp,0.7,0.0,interval_width_95,0.05289582440197256,0.02352520446420272,5
0,42,hs_anp,0.7,0.0,inference_latency_ms,6.041957237757742,1.1093619239239685,5
