fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,hs_anp_pooled,0.1,0.0,future_rmse,0.07291588596005076,0.01954486224103211,5
0,42,hs_anp_pooled,0.1,0.0,current_soh_abs_error,0.006390935313650115,0.0022748013416091094,5
0,42,hs_anp_pooled,0.1,0.0,nll,-0.5100237728764554,0.844828712832201,5
0,42,hs_anp_pooled,0.1,0.0,coverage_95,0.348359062902367,0.2159897734726336,5
0,42,hs_anp_pooled,0.1,0.0,interval_width_95,0.09140754825701096,0.01878729895833599,5
0,42,hs_anp_pooled,0.1,0.0,inference_latency_ms,3.4850248927250504,0.49960869675356795,5
0,42,hs_anp_pooled,0.2,0.0,future_rmse,0.036682177221878144,0.015792109897250058,5
0,42,hs_anp_pooled,0.2,0.0,current_soh_abs_error,0.002394358106826511,0.002016618816353234,5
0,42,hs_anp_pooled,0.2,0.0,nll,-2.1174432081490773,1.2326267736670609,5
0,42,hs_anp_pooled,0.2,0.0,coverage_95,0.6906443269384447,0.30212141124146263,5
0,42,hs_anp_pooled,0.2,0.0,interval_width_95,0.06474774353488476,0.012820800993401106,5
0,42,hs_anp_pooled,0.2,0.0,inference_latency_ms,4.359354372136295,0.012132036883315432,5
0,42,hs_anp_pooled,0.3,0.0,future_rmse,0.025741913722455496,0.02071865127193653,5
0,42,hs_anp_pooled,0.3,0.0,current_soh_abs_error,0.0023201427022004006,0.002621866331990243,5
0,42,hs_anp_pooled,0.3,0.0,nll,-2.324687286182952,2.3632494467466234,5
0,42,hs_anp_pooled,0.3,0.0,coverage_95,0.7332399564426696,0.3454157095382388,5
0,42,hs_anp_pooled,0.3,0.0,interval_width_95,0.04709587634562905,0.008568513337591767,5
0,42,hs_anp_pooled,0.3,0.0,inference_latency_ms,4.35208338778466,0.014024888082007834,5
0,42,hs_anp_pooled,0.4,0.0,future_rmse,0.028350734416005424,0.02752514434639808,5
0,42,hs_anp_pooled,0.4,0.0,current_soh_abs_error,0.002284066517816674,0.0032714831406004566,5
0,42,hs_anp_pooled,0.4,0.0,nll,-1.7092131452124704,3.372565232957664,5
0,42,hs_anp_pooled,0.4,0.0,coverage_95,0.6738513232687235,0.42233676000346987,5
0,42,hs_anp_pooled,0.4,0.0,interval_width_95,0.043523850597441474,0.013074122084473498,5
0,42,hs_anp_pooled,0.4,0.0,inference_latency_ms,4.353908309713006,0.00857369920935832,5
0,42,hs_anp_pooled,0.5,0.0,future_rmse,0.030153286200111873,0.026289653302878697,5
0,42,hs_anp_pooled,0.5,0.0,current_soh_abs_error,0.0026981027578081517,0.0019191754619803018,5
0,42,hs_anp_pooled,0.5,0.0,nll,-1.5257364670328255,3.6651173836673894,5
0,42,hs_anp_pooled,0.5,0.0,coverage_95,0.6266830850895385,0.40891791691808727,5
0,42,hs_anp_pooled,0.5,0.0,interval_width_95,0.03992398239986754,0.012084818038708908,5
0,42,hs_anp_pooled,0.5,0.0,inference_latency_ms,4.35265657491982,0.007151550153192181,5
0,42,hs_anp_pooled,0.6,0.0,future_rmse,0.023866531669915994,0.017777441652499802,5
0,42,hs_anp_pooled,0.6,0.0,current_soh_abs_error,0.0040304811796985085,0.0024996153198022786,5
0,42,hs_anp_pooled,0.6,0.0,nll,-1.7287656013104962,2.3120041381484295,5
0,42,hs_anp_pooled,0.6,0.0,coverage_95,0.5888391121539671,0.40932878766187253,5
0,42,hs_anp_pooled,0.6,0.0,interval_width_95,0.045011580097609354,0.016541606639112836,5
0,42,hs_anp_pooled,0.6,0.0,inference_latency_ms,4.352548816241324,0.011899299633801364,5
0,42,hs_anp_pooled,0.7,0.0,future_rmse,0.018360293460231485,0.00784189961119783,5
0,42,hs_anp_pooled,0.7,0.0,current_soh_abs_error,0.005513032618996094,0.003505827675347853,5
0,42,hs_anp_pooled,0.7,0.0,nll,-2.331790771877851,1.1479818229950438,5
0,42,hs_anp_pooled,0.7,0.0,coverage_95,0.6573021222931018,0.32337183559893357,5
0,42,hs_anp_pooled,0.7,0.0,interval_width_95,0.04221508894509362,0.009811911597402138,5
0,42,hs_anp_pooled,0.7,0.0,inference_latency_ms,4.344683215022087,0.0061353862406459065,5
