fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,hs_anp_add,0.3,0.0,future_rmse,0.0311077822303747,0.021600187741988946,34
0,42,hs_anp_add,0.3,0.0,current_soh_abs_error,0.0009924399731422694,0.0010776381531980323,34
0,42,hs_anp_add,0.3,0.0,nll,-2.8932065323264307,1.8285706236867931,34
0,42,hs_anp_add,0.3,0.0,coverage_95,0.8563582238446155,0.2013740211988036,34
0,42,hs_anp_add,0.3,0.0,interval_width_95,0.06592173692184938,0.03230977011840499,34
0,42,hs_anp_add,0.3,0.0,inference_latency_ms,7.623413978281485,1.5731968226439175,34
0,42,hs_anp_add,0.5,0.0,future_rmse,0.026371371786887535,0.016669130063197313,34
0,42,hs_anp_add,0.5,0.0,current_soh_abs_error,0.001654229791451294,0.001389385936382698,34
0,42,hs_anp_add,0.5,0.0,nll,-2.7567543440949436,1.145164939590206,34
0,42,hs_anp_add,0.5,0.0,coverage_95,0.7887233133613165,0.24284738582964088,34
0,42,hs_anp_add,0.5,0.0,interval_width_95,0.06281326413030562,0.0377811101334478,34
0,42,hs_anp_add,0.5,0.0,inference_latency_ms,6.592758274500204,1.0359442298841546,34
0,42,hs_anp_add,0.7,0.0,future_rmse,0.020440205289278784,0.012030466959311982,34
0,42,hs_anp_add,0.7,0.0,current_soh_abs_error,0.002477899268694616,0.0026502139082137327,34
0,42,hs_anp_add,0.7,0.0,nll,-2.594957757635538,1.533402998689039,34
0,42,hs_anp_add,0.7,0.0,coverage_95,0.8833524850038882,0.21399694212858464,34
0,42,hs_anp_add,0.7,0.0,interval_width_95,0.07220340031503669,0.04307894963938596,34
0,42,hs_anp_add,0.7,0.0,inference_latency_ms,5.712021633927875,0.5344350693949034,34
0,42,hs_anp_pooled,0.3,0.0,future_rmse,0.02585690654225617,0.01913468951137174,34
0,42,hs_anp_pooled,0.3,0.0,current_soh_abs_error,0.0020309102080461622,0.0020285441208817783,34
0,42,hs_anp_pooled,0.3,0.0,nll,-3.169358666913279,1.001130338756774,34
0,42,hs_anp_pooled,0.3,0.0,coverage_95,0.879802143641731,0.1885907360049005,34
0,42,hs_anp_pooled,0.3,0.0,interval_width_95,0.06701082200060181,0.032410465256107794,34
0,42,hs_anp_pooled,0.3,0.0,inference_latency_ms,4.338348754818606,0.10420858691754835,34
0,42,hs_anp_pooled,0.5,0.0,future_rmse,0.024573099384113496,0.016161742251272957,34
0,42,hs_anp_pooled,0.5,0.0,current_soh_abs_error,0.002173201984909959,0.001102496029249225,34
0,42,hs_anp_pooled,0.5,0.0,nll,-2.728620935370902,1.6578995920862862,34
0,42,hs_anp_pooled,0.5,0.0,coverage_95,0.8203004285224386,0.21198593130039178,34
0,42,hs_anp_pooled,0.5,0.0,interval_width_95,0.05975246499066997,0.035386376396626035,34
0,42,hs_anp_pooled,0.5,0.0,inference_latency_ms,4.354221010854578,0.00868828485615401,34
0,42,hs_anp_pooled,0.7,0.0,future_rmse,0.01878691078529482,0.013166849904209993,34
0,42,hs_anp_pooled,0.7,0.0,current_soh_abs_error,0.004077955484536133,0.003574706110024195,34
0,42,hs_anp_pooled,0.7,0.0,nll,-2.647250022166599,1.4541635957510577,34
0,42,hs_anp_pooled,0.7,0.0,coverage_95,0.8693429380181309,0.22007413315115526,34
0,42,hs_anp_pooled,0.7,0.0,interval_width_95,0.06278610431768768,0.03414457662595954,34
0,42,hs_anp_pooled,0.7,0.0,inference_latency_ms,4.351503269144279,0.0127854504314054,34
0,42,soh_only_anp,0.3,0.0,future_rmse,0.043592981675085636,0.03162218873153503,34
0,42,soh_only_anp,0.3,0.0,current_soh_abs_error,0.00040271216449122295,0.0007043024129953146,34
0,42,soh_only_anp,0.3,0.0,nll,-2.745711801615584,0.6258857373675725,34
0,42,soh_only_anp,0.3,0.0,coverage_95,0.9061713493675123,0.1683322383225014,34
0,42,soh_only_anp,0.3,0.0,interval_width_95,0.12565839564784337,0.0629827656892513,34
0,42,soh_only_anp,0.3,0.0,inference_latency_ms,0.671424690688796,0.020413660798335852,34
0,42,soh_only_anp,0.5,0.0,future_rmse,0.03615418807420434,0.03036669019789079,34
0,42,soh_only_anp,0.5,0.0,current_soh_abs_error,0.0008564503016321059,0.001415540553111354,34
0,42,soh_only_anp,0.5,0.0,nll,-2.3886756283881527,3.3486848087356806,34
0,42,soh_only_anp,0.5,0.0,coverage_95,0.8569191117849543,0.23665652487763472,34
0,42,soh_only_anp,0.5,0.0,interval_width_95,0.0896304445846705,0.062240718423715626,34
0,42,soh_only_anp,0.5,0.0,inference_latency_ms,0.6722539396244375,0.02181339954740025,34
0,42,soh_only_anp,0.7,0.0,future_rmse,0.020719030564322984,0.01599940592069053,34
0,42,soh_only_anp,0.7,0.0,current_soh_abs_error,0.0024809980340481036,0.0026961608044603776,34
0,42,soh_only_anp,0.7,0.0,nll,-2.9085602482581843,0.7899891923389775,34
0,42,soh_only_anp,0.7,0.0,coverage_95,0.8685170747775889,0.22957459353842857,34
0,42,soh_only_anp,0.7,0.0,interval_width_95,0.06914568666266928,0.04862046203900006,34
0,42,soh_only_anp,0.7,0.0,inference_latency_ms,0.6726952762726475,0.02647910116187186,34
