fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,soh_only_anp,0.3,0.0,future_rmse,0.048491882995165395,0.02828357283777827,34
0,42,soh_only_anp,0.3,0.0,current_soh_abs_error,0.000842867602528245,0.0007843594234136146,34
0,42,soh_only_anp,0.3,0.0,nll,-2.6964653008768704,0.5666061364432962,34
0,42,soh_only_anp,0.3,0.0,coverage_95,0.8994236338579711,0.17601734436872457,34
0,42,soh_only_anp,0.3,0.0,interval_width_95,0.14555156251428297,0.0788070013804379,34
0,42,soh_only_anp,0.3,0.0,inference_latency_ms,0.6371853164369788,0.004376391429085368,34
0,42,soh_only_anp,0.3,0.25,future_rmse,0.048491882995165395,0.02828357283777827,34
0,42,soh_only_anp,0.3,0.25,current_soh_abs_error,0.000842867602528245,0.0007843594234136146,34
0,42,soh_only_anp,0.3,0.25,nll,-2.6964653008768704,0.5666061364432962,34
0,42,soh_only_anp,0.3,0.25,coverage_95,0.8994236338579711,0.17601734436872457,34
0,42,soh_only_anp,0.3,0.25,interval_width_95,0.14555156251428297,0.0788070013804379,34
0,42,soh_only_anp,0.3,0.25,inference_latency_ms,0.6371853164369788,0.004376391429085368,34
0,42,soh_only_anp,0.3,0.5,future_rmse,0.048491882995165395,0.02828357283777827,34
0,42,soh_only_anp,0.3,0.5,current_soh_abs_error,0.000842867602528245,0.0007843594234136146,34
0,42,soh_only_anp,0.3,0.5,nll,-2.6964653008768704,0.5666061364432962,34
0,42,soh_only_anp,0.3,0.5,coverage_95,0.8994236338579711,0.17601734436872457,34
0,42,soh_only_anp,0.3,0.5,interval_width_95,0.14555156251428297,0.0788070013804379,34
0,42,soh_only_anp,0.3,0.5,inference_latency_ms,0.6371853164369788,0.004376391429085368,34
0,42,soh_only_anp,0.3,0.75,future_rmse,0.048491882995165395,0.02828357283777827,34
0,42,soh_only_anp,0.3,0.75,current_soh_abs_error,0.000842867602528245,0.0007843594234136146,34
0,42,soh_only_anp,0.3,0.75,nll,-2.6964653008768704,0.5666061364432962,34
0,42,soh_only_anp,0.3,0.75,coverage_95,0.8994236338579711,0.17601734436872457,34
0,42,soh_only_anp,0.3,0.75,interval_width_95,0.14555156251428297,0.0788070013804379,34
0,42,soh_only_anp,0.3,0.75,inference_latency_ms,0.6371853164369788,0.004376391429085368,34
0,42,soh_only_anp,0.3,1.0,future_rmse,0.048491882995165395,0.02828357283777827,34
0,42,soh_only_anp,0.3,1.0,current_soh_abs_error,0.000842867602528245,0.0007843594234136146,34
0,42,soh_only_anp,0.3,1.0,nll,-2.6964653008768704,0.5666061364432962,34
0,42,soh_only_anp,0.3,1.0,coverage_95,0.8994236338579711,0.17601734436872457,34
0,42,soh_only_anp,0.3,1.0,interval_width_95,0.14555156251428297,0.0788070013804379,34
0,42,soh_only_anp,0.3,1.0,inference_latency_ms,0.6371853164369788,0.004376391429085368,34
0,42,soh_only_anp,0.5,0.0,future_rmse,0.03647969414790904,0.029192517748015442,34
0,42,soh_only_anp,0.5,0.0,current_soh_abs_error,0.0011460194261649968,0.0006742993019076865,34
