fold,seed,model,alpha,beta,metric,mean,std,num_cells
0,42,partial_iv_anp,0.3,0.0,future_rmse,0.044811294402658415,0.03194841329668576,34
0,42,partial_iv_anp,0.3,0.0,current_soh_abs_error,0.0006110824498683662,0.0008975134601421517,34
0,42,partial_iv_anp,0.3,0.0,nll,-2.883766999060459,0.6134752015824678,34
0,42,partial_iv_anp,0.3,0.0,coverage_95,0.9265384429252528,0.146526863667575,34
0,42,partial_iv_anp,0.3,0.0,interval_width_95,0.13998364901319982,0.09894171618944475,34
0,42,partial_iv_anp,0.3,0.0,inference_latency_ms,0.860509356511209,0.004152277855890876,34
0,42,partial_iv_anp,0.3,0.25,future_rmse,0.03785943098373982,0.03046804247166278,34
0,42,partial_iv_anp,0.3,0.25,current_soh_abs_error,0.0006458194739536722,0.0008286364799931344,34
0,42,partial_iv_anp,0.3,0.25,nll,-3.054479945911364,0.6153532579910753,34
0,42,partial_iv_anp,0.3,0.25,coverage_95,0.8999140710694759,0.16144208433267207,34
0,42,partial_iv_anp,0.3,0.25,interval_width_95,0.09477246810677074,0.04192148534286851,34
0,42,partial_iv_anp,0.3,0.25,inference_latency_ms,0.8605498074115637,0.003997260539997509,34
0,42,partial_iv_anp,0.3,0.5,future_rmse,0.03813703593165609,0.029094122402016746,34
0,42,partial_iv_anp,0.3,0.5,current_soh_abs_error,0.000668301531892754,0.0008424377646360363,34
0,42,partial_iv_anp,0.3,0.5,nll,-3.047197766785533,0.6062105777931758,34
0,42,partial_iv_anp,0.3,0.5,coverage_95,0.9094290662075307,0.1575524407482705,34
0,42,partial_iv_anp,0.3,0.5,interval_width_95,0.1021815721453805,0.05016764461302418,34
0,42,partial_iv_anp,0.3,0.5,inference_latency_ms,0.861292942564058,0.003691913486030539,34
0,42,partial_iv_anp,0.3,0.75,future_rmse,0.03947082703994585,0.02810883362946996,34
0,42,partial_iv_anp,0.3,0.75,current_soh_abs_error,0.000684923887710259,0.0008540257743610921,34
0,42,partial_iv_anp,0.3,0.75,nll,-3.0042874935920274,0.6033857888223795,34
0,42,partial_iv_anp,0.3,0.75,coverage_95,0.9181733653662224,0.1574670915218457,34
0,42,partial_iv_anp,0.3,0.75,interval_width_95,0.11328660856921215,0.06325562099240943,34
0,42,partial_iv_anp,0.3,0.75,inference_latency_ms,0.8602067752850845,0.00393180209028723,34
0,42,partial_iv_anp,0.3,1.0,future_rmse,0.04157082994829837,0.02853618184637237,34
0,42,partial_iv_anp,0.3,1.0,current_soh_abs_error,0.0006811484659384063,0.000832015456637528,34
0,42,partial_iv_anp,0.3,1.0,nll,-2.9386220309367608,0.6240441202583484,34
0,42,partial_iv_anp,0.3,1.0,coverage_95,0.9212798545781679,0.16008522470456682,34
0,42,partial_iv_anp,0.3,1.0,interval_width_95,0.12447031211533034,0.076480838104986,34
0,42,partial_iv_anp,0.3,1.0,inference_latency_ms,0.8604048682815012,0.0043236296080453014,34
0,42,partial_iv_anp,0.5,0.0,future_rmse,0.03196985323908234,0.0188859713936558,34
0,42,partial_iv_anp,0.5,0.0,current_soh_abs_error,0.0006961142933798459,0.0010524921562212685,34
0,42,partial_iv_anp,0.5,0.0,nll,-2.696468055090027,1.3663023117861566,34
0,42,partial_iv_anp,0.5,0.0,coverage_95,0.827905776978314,0.26112808144025756,34
0,42,partial_iv_anp,0.5,0.0,interval_width_95,0.09286546834597456,0.07253813971891053,34
0,42,partial_iv_anp,0.5,0.0,inference_latency_ms,0.8652905125499648,0.004084106190061484,34
0,42,partial_iv_anp,0.5,0.25,future_rmse,0.02900500708427868,0.017682364455375316,34
