cycle_number,elapsed_time_s,elapsed_time_min,voltage_in_V,current_in_A,discharge_capacity_in_Ah,q_normalized
50,0.0,0.0,3.5893898,-0.48032933636363634,5.1128523e-06,4.648047545454545e-06
50,0.07669999997597188,0.0012783333329328646,3.5779543,-0.9602390909090908,5.1128523e-06,4.648047545454545e-06
50,0.14589999997406267,0.002431666666234378,3.5668697,-1.400417818181818,5.1128523e-06,4.648047545454545e-06
50,0.2143999999971129,0.003573333333285215,3.5562496,-1.800412727272727,5.1128523e-06,4.648047545454545e-06
50,0.21449999997275881,0.0035749999995459804,3.5562496,-1.800412727272727,5.1128523e-06,4.648047545454545e-06
50,0.28149999998277053,0.004691666666379509,3.5439882,-2.240202181818182,5.1128523e-06,4.648047545454545e-06
50,0.33909999998286366,0.005651666666381061,3.5337772,-2.600117636363636,5.1128523e-06,4.648047545454545e-06
50,0.39999999999417923,0.0066666666665696536,3.5231524,-2.9602389090909087,5.1128523e-06,4.648047545454545e-06
50,0.4573999999847729,0.007623333333079548,3.5122213,-3.3199306363636363,5.1128523e-06,4.648047545454545e-06
50,0.5053999999945518,0.008423333333242529,3.5021486,-3.6399481818181814,5.1128523e-06,4.648047545454545e-06
50,0.5564999999769498,0.00927499999961583,3.4920006,-3.960238818181818,5.1128523e-06,4.648047545454545e-06
50,0.6962999999814201,0.011604999999690335,3.4815035,-4.000035636363636,5.1128523e-06,4.648047545454545e-06
50,0.8735999999917112,0.014559999999861854,3.4712038,-3.9999709999999995,5.1128523e-06,4.648047545454545e-06
50,1.0835999999835622,0.018059999999726035,3.461133,-4.000142727272727,0.0010298686,0.0009362441818181817
50,1.3173999999999069,0.021956666666665115,3.450736,-3.9998942727272726,0.0010298686,0.0009362441818181817
50,1.5828999999794178,0.02638166666632363,3.4407072,-4.000268,0.0010298686,0.0009362441818181817
50,1.8804999999993015,0.03134166666665503,3.4304323,-4.0000611818181815,0.0010298686,0.0009362441818181817
50,2.2175999999744818,0.036959999999574694,3.4202251,-3.9995679090909086,0.0024141972,0.002194724727272727
50,2.6006999999808613,0.04334499999968102,3.4100895,-3.9999285454545452,0.0024141972,0.002194724727272727
50,3.0207999999984168,0.050346666666640276,3.4000301,-4.000351636363636,0.0034001595,0.0030910540909090908
50,3.4966999999887776,0.05827833333314629,3.3897686,-3.9999601818181816,0.0034001595,0.0030910540909090908
50,3.4967999999935273,0.05827999999989212,3.3897686,-3.9999601818181816,0.0034001595,0.0030910540909090908
50,4.021499999973457,0.06702499999955762,3.379694,-3.999979272727273,0.0046122335,0.004192939545454545
50,4.591899999999441,0.07653166666665735,3.3695765,-4.0003104545454535,0.0046122335,0.004192939545454545
