cell_id,batch,num_cycles,first_cycle,last_cycle,initial_soh,final_soh,eol_threshold,first_eol_crossing_cycle,reached_eol_threshold
MATR_b1c0,b1,1849,1,1849,0.973353818181818,0.8025529181818181,0.8,,False
MATR_b1c1,b1,2158,1,2158,0.9775465454545453,0.8000021090909091,0.8,,False
MATR_b1c11,b1,786,1,786,0.9579805454545454,0.8004941727272727,0.8,,False
MATR_b1c14,b1,878,1,878,0.9736055454545453,0.800059,0.8,,False
MATR_b1c15,b1,717,1,717,0.9646578181818181,0.8027170999999999,0.8,,False
MATR_b1c16,b1,860,1,860,0.9828785454545454,0.8008779727272727,0.8,,False
MATR_b1c17,b1,855,1,855,0.9745927272727272,0.8029517272727271,0.8,,False
MATR_b1c18,b1,688,1,688,0.9692459090909089,0.8010400999999999,0.8,,False
MATR_b1c19,b1,786,1,786,0.9864679090909091,0.8008542909090909,0.8,,False
MATR_b1c2,b1,2235,1,2235,0.9817475454545453,0.8006095909090909,0.8,,False
MATR_b1c20,b1,532,1,532,0.9751181818181817,0.8007135727272727,0.8,,False
MATR_b1c21,b1,557,1,557,0.9840352727272726,0.800150309090909,0.8,,False
MATR_b1c23,b1,1012,1,1012,0.9811758181818182,0.8006041181818181,0.8,,False
MATR_b1c24,b1,1015,1,1015,0.9768504545454545,0.8004236181818181,0.8,,False
MATR_b1c25,b1,852,1,852,0.977485909090909,0.8001817909090909,0.8,,False
MATR_b1c26,b1,868,1,868,0.9887739999999998,0.8009546999999999,0.8,,False
MATR_b1c27,b1,840,1,840,0.9809509999999999,0.8011823363636362,0.8,,False
MATR_b1c28,b1,858,1,858,0.9797704545454545,0.8005293363636363,0.8,,False
MATR_b1c29,b1,915,1,915,0.9813215454545453,0.8003215909090909,0.8,,False
MATR_b1c3,b1,1432,1,1432,0.9815662727272726,0.8001135727272727,0.8,,False
MATR_b1c30,b1,707,1,707,0.9816942727272726,0.8004935181818181,0.8,,False
MATR_b1c31,b1,874,1,874,0.9951265454545454,0.8009020272727273,0.8,,False
MATR_b1c32,b1,729,1,729,0.9798514545454544,0.8007355181818181,0.8,,False
MATR_b1c33,b1,755,1,755,0.9931734545454545,0.8001020818181818,0.8,,False
MATR_b1c34,b1,740,1,740,0.9787430909090907,0.8018676818181818,0.8,,False
MATR_b1c35,b1,701,1,701,0.973405818181818,0.8002180909090908,0.8,,False
MATR_b1c36,b1,702,1,702,0.9798468181818182,0.8021072909090908,0.8,,False
MATR_b1c37,b1,646,1,646,0.9771085454545454,0.8030574454545454,0.8,,False
MATR_b1c38,b1,615,1,615,0.9754102727272725,0.8010085636363636,0.8,,False
MATR_b1c39,b1,623,1,623,0.983433909090909,0.8001006727272727,0.8,,False
MATR_b1c4,b1,1707,1,1707,0.9803788181818182,0.8000367363636363,0.8,,False
MATR_b1c40,b1,964,1,964,0.9848208181818182,0.8005540999999999,0.8,,False
MATR_b1c41,b1,1049,1,1049,0.980874,0.8009651,0.8,,False
MATR_b1c42,b1,700,1,700,0.9817022727272726,0.8003194727272727,0.8,,False
MATR_b1c43,b1,649,1,649,0.9711262727272727,0.8004039545454544,0.8,,False
MATR_b1c44,b1,614,1,614,0.986152909090909,0.8004391727272727,0.8,,False
MATR_b1c45,b1,597,1,597,0.9854143636363636,0.8009473818181818,0.8,,False
MATR_b1c5,b1,1072,1,1072,0.978296909090909,0.800487509090909,0.8,,False
MATR_b1c6,b1,634,1,634,0.9780325454545453,0.8000513636363636,0.8,,False
MATR_b1c7,b1,868,1,868,0.9944221818181816,0.8010054181818181,0.8,,False
MATR_b1c9,b1,1052,1,1052,0.9845219999999999,0.8008439999999999,0.8,,False
MATR_b2c0,b2,325,1,325,0.9727764545454544,0.7513557272727273,0.8,299.0,True
MATR_b2c1,b2,169,1,169,0.9746095454545453,0.751435809090909,0.8,147.0,True
MATR_b2c10,b2,595,1,595,0.9718655454545453,0.7522901636363636,0.8,560.0,True
MATR_b2c11,b2,504,1,504,0.9742769999999998,0.7500819181818181,0.8,476.0,True
MATR_b2c12,b2,489,1,489,0.9738871818181818,0.7510942181818181,0.8,456.0,True
MATR_b2c13,b2,519,1,519,0.9820772727272726,0.7503708363636362,0.8,482.0,True
MATR_b2c14,b2,508,1,508,0.9800621818181817,0.7510918363636363,0.8,484.0,True
MATR_b2c17,b2,524,1,524,0.968769818181818,0.7506430181818181,0.8,493.0,True
MATR_b2c18,b2,522,1,522,0.9671254545454545,0.7500861454545454,0.8,486.0,True
MATR_b2c19,b2,488,1,488,0.9527611818181818,0.750703,0.8,460.0,True
MATR_b2c2,b2,463,1,463,0.9759446363636364,0.750131609090909,0.8,437.0,True
MATR_b2c20,b2,530,1,530,0.9846402727272726,0.7516107272727272,0.8,501.0,True
