source_rank,candidate,best_source_meta_loss,best_epoch,predicted_input_probability,inner_learning_rate,inner_steps,elapsed_minutes,run_dir
1,p0p5_ilr0p005,0.001883420650847256,496,0.5,0.005,1,24.252791381053004,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260813_223408_303967_all_L100_hp-p0p5-ilr0p005_s42_c3e1d87c9
2,p1_ilr0p05,0.0019147774437442422,458,1.0,0.05,1,21.01233915638489,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_042745_422907_all_L100_hp-p1-ilr0p05_s42_c3854b296
3,p0p5_ilr0p01,0.0019429560285061597,372,0.5,0.01,1,24.1863499373508,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260813_225822_874993_all_L100_hp-p0p5-ilr0p01_s42_c967bd988
4,p1_ilr0p025,0.0019441775977611542,461,1.0,0.025,1,20.97897158386574,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_040646_683194_all_L100_hp-p1-ilr0p025_s42_c22792222
5,p0p85_ilr0p05,0.001959960861131549,458,0.85,0.05,1,24.259123848564922,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_030031_524099_all_L100_hp-p0p85-ilr0p05_s42_cab5984e8
6,p0p7_ilr0p01,0.001974886329844594,446,0.7,0.01,1,24.19045476683338,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_003512_031178_all_L100_hp-p0p7-ilr0p01_s42_ceeae9e94
7,p0p85_ilr0p025,0.0019750576233491302,458,0.85,0.025,1,24.242392478250743,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_023616_979155_all_L100_hp-p0p85-ilr0p025_s42_c990adb2b
8,p0p85_ilr0p01,0.0019963708240538836,458,0.85,0.01,1,24.228025490336584,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_021203_296244_all_L100_hp-p0p85-ilr0p01_s42_c6bf345ba
9,p1_ilr0p01,0.0020170005969703197,457,1.0,0.01,1,21.002175672965436,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_034546_551244_all_L100_hp-p1-ilr0p01_s42_c72a7795a
10,p0p85_ilr0p005,0.0020649795653298495,498,0.85,0.005,1,24.211938446748537,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_014750_578555_all_L100_hp-p0p85-ilr0p005_s42_cdec2a35e
11,p0p7_ilr0p005,0.0020690308418124916,500,0.7,0.005,1,24.201338463148566,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_001059_949440_all_L100_hp-p0p7-ilr0p005_s42_c4e5e5dc4
12,p1_ilr0p005,0.002072101505473256,499,1.0,0.005,1,20.991281545565773,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_032447_072927_all_L100_hp-p1-ilr0p005_s42_c1d388fe6
13,p0p7_ilr0p05,0.0021060316823422907,459,0.7,0.05,1,24.19645465418386,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_012338_789810_all_L100_hp-p0p7-ilr0p05_s42_c3a19f476
14,p0p7_ilr0p025,0.0021704717655666173,458,0.7,0.025,1,24.255476360884494,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260814_005923_459867_all_L100_hp-p0p7-ilr0p025_s42_ccdaa5626
15,p0p5_ilr0p025,0.003538660320919007,300,0.5,0.025,1,24.192561020865107,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260813_232234_057152_all_L100_hp-p0p5-ilr0p025_s42_c6f1296f3
16,p0p5_ilr0p05,0.01232865322381258,195,0.5,0.05,1,24.238929874834138,/home/JunseoPark/바탕화면/battery_gru/outputs/paper_recursive_reproduction/l100_hparam_suites/20260813_223407_700305/runs/20260813_234645_612252_all_L100_hp-p0p5-ilr0p05_s42_c8d7712f8
