step,support_train_loss,support_eval_loss,support_validation_mae_fraction,support_validation_mae_percent,query_mae_fraction,query_mae_percent,query_rmse_percent,query_r2,gradient_norm,gradient_norm_before_clip,gradient_norm_after_clip,parameter_update_norm,relative_update_norm,hidden_to_hidden_update_norm,output_bias_update_norm,relative_update_warning,learning_rate,sampling_mode,selected_split_indices,first_predicted_soh,last_predicted_soh,predicted_eol,predicted_rul,oracle_query_selection
0,,0.5073831081390381,0.6268498275541023,62.68498275541023,0.5771144628174432,57.711446281744315,57.993012305162594,-86.91482187607109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.05,random,[],0.5514017343521118,0.13903458416461945,500,0,True
1,0.2679493725299835,0.006744430400431156,0.018462787787598137,1.8462787787598138,0.07139284453777721,7.139284453777721,7.47980537348025,-0.4624847972670336,2.832411415579445,2.832411415579445,2.832411415579445,0.1416205712558941,0.010365678946967926,0.04194396990240781,0.0655512735247612,False,0.05,random,"[227, 119, 397, 114, 95, 215, 284, 164, 102, 66, 163, 149, 86, 332, 252, 225, 60, 282, 395, 40, 122, 277, 364, 128, 87, 25, 159, 312, 331, 384, 58, 23, 316, 309, 74, 308, 206, 228, 148, 81, 34, 374, 1, 379, 136, 344, 92, 327, 394, 125, 355, 362, 325, 320, 388, 356, 110, 370, 22, 101, 121, 183, 269, 48]",0.842523992061615,0.723593533039093,1072,572,True
2,0.0012938280124217272,0.0042471555061638355,0.08530482894552195,8.530482894552195,0.1544823171725862,15.44823171725862,15.789975594179683,-5.5173895900907866,0.22864102312425538,0.22864102312425538,0.22864102312425538,0.011432049794028003,0.0008363776586452998,0.0043014526825544425,0.003855746239423752,False,0.05,random,"[153, 335, 262, 313, 16, 107, 170, 355, 53, 326, 223, 23, 83, 257, 393, 384, 251, 207, 341, 242, 343, 105, 79, 205, 266, 340, 18, 128, 311, 279, 260, 72, 5, 54, 62, 216, 244, 322, 226, 132, 310, 177, 49, 256, 98, 231, 11, 339, 316, 181, 114, 307, 95, 296, 293, 289, 180, 386, 186, 99, 349, 330, 69, 375]",0.8671070337295532,0.8305021524429321,1072,572,True
3,0.001695843180641532,0.004309188108891249,0.045125743214015586,4.512574321401559,0.10606349685144312,10.606349685144313,10.961226340487407,-2.14071881658486,0.13719610261833246,0.13719610261833246,0.13719610261833246,0.006859805212963423,0.0005018421142190699,0.0027879340219417828,0.0018993057310581207,False,0.05,random,"[182, 222, 381, 67, 221, 333, 103, 123, 255, 290, 311, 60, 163, 125, 65, 31, 342, 358, 140, 263, 24, 312, 69, 174, 295, 281, 155, 260, 236, 207, 367, 180, 285, 41, 304, 91, 364, 216, 212, 382, 201, 206, 317, 78, 249, 261, 195, 235, 243, 109, 13, 366, 39, 1, 209, 35, 116, 7, 343, 57, 130, 229, 115, 377]",0.8519014716148376,0.7718430757522583,1072,572,True
4,0.0007113157189451158,0.0037215675693005323,0.06387436396253549,6.387436396253548,0.12948272417227424,12.948272417227425,13.305799354803705,-3.62799312925506,0.06510122884464299,0.06510122884464299,0.06510122884464299,0.0032550634142368235,0.00023813724695614138,0.0011897791656682124,0.001164466142654419,False,0.05,random,"[278, 221, 340, 369, 158, 37, 324, 385, 109, 247, 319, 115, 4, 82, 183, 89, 332, 234, 323, 343, 95, 125, 102, 347, 19, 17, 167, 171, 377, 345, 249, 215, 72, 264, 154, 335, 363, 286, 360, 209, 287, 58, 316, 367, 213, 122, 333, 272, 399, 243, 344, 181, 188, 372, 143, 374, 179, 371, 301, 39, 163, 127, 224, 397]",0.858593761920929,0.8017780184745789,1072,572,True
5,0.0007228043396025896,0.0037683481350541115,0.05710771507394753,5.710771507394753,0.1216413070622246,12.16413070622246,12.529337729578652,-3.1036186679170275,0.025696434319187892,0.025696434319187892,0.025696434319187892,0.0012848207229509063,9.399468464582968e-05,0.0005655644141187891,0.0002256743609905243,False,0.05,random,"[124, 336, 150, 96, 47, 214, 156, 255, 398, 339, 49, 341, 92, 289, 63, 378, 157, 315, 388, 317, 345, 227, 281, 319, 195, 86, 112, 102, 245, 131, 218, 103, 373, 259, 3, 358, 147, 321, 126, 134, 166, 21, 175, 350, 97, 83, 85, 225, 256, 56, 145, 194, 108, 84, 95, 230, 323, 143, 313, 32, 146, 51, 153, 73]",0.855911374092102,0.792743980884552,1072,572,True
6,0.00041610136395320296,0.003750807838514447,0.057045887175922017,5.704588717592202,0.12174010228195944,12.174010228195945,12.541788105014993,-3.1117782337246416,0.005062768279518971,0.005062768279518971,0.005062768279518971,0.0002531346664660373,1.851884176524777e-05,0.000112490839330576,5.0980597734451294e-05,False,0.05,random,"[127, 258, 334, 52, 237, 290, 375, 121, 101, 17, 186, 251, 164, 5, 333, 293, 136, 377, 157, 175, 325, 84, 172, 34, 220, 67, 358, 170, 12, 54, 252, 219, 296, 215, 354, 188, 209, 102, 159, 283, 361, 169, 185, 91, 280, 168, 180, 73, 243, 349, 47, 217, 108, 269, 277, 70, 332, 148, 83, 59, 347, 207, 86, 80]",0.8558738231658936,0.79311603307724,1072,572,True
7,0.000275470782071352,0.0037987385876476765,0.05494081026685677,5.494081026685677,0.11920280914375551,11.920280914375551,12.289181350383908,-2.947813895656666,0.007333772318404719,0.007333772318404719,0.007333772318404719,0.0003666882740757582,2.6826176723327785e-05,0.00015727779758605354,0.00010791048407554626,False,0.05,random,"[345, 99, 254, 253, 166, 70, 93, 65, 300, 323, 308, 333, 283, 164, 385, 313, 84, 325, 227, 67, 37, 144, 387, 138, 364, 175, 94, 264, 11, 270, 205, 13, 366, 234, 190, 83, 16, 355, 189, 108, 60, 86, 348, 97, 274, 229, 114, 107, 349, 137, 140, 134, 297, 209, 257, 47, 133, 377, 29, 249, 255, 226, 250, 359]",0.8551666140556335,0.7900161743164062,1072,572,True
8,0.0012487543281167746,0.0037272926419973373,0.07727805740011177,7.727805740011178,0.14711106671072105,14.711106671072105,15.084395482589011,-4.947940090790464,0.07944807747074095,0.07944807747074095,0.07944807747074095,0.0039724039744120565,0.0002906134499811527,0.0013799759566892444,0.0015091262757778168,False,0.05,random,"[390, 312, 150, 308, 367, 198, 171, 239, 40, 139, 95, 398, 27, 175, 102, 2, 142, 69, 318, 79, 295, 373, 132, 241, 348, 112, 6, 286, 58, 33, 5, 256, 155, 301, 67, 118, 288, 199, 77, 66, 59, 97, 162, 9, 346, 349, 92, 340, 18, 15, 283, 291, 252, 343, 180, 222, 158, 21, 317, 262, 274, 13, 121, 214]",0.8629192113876343,0.8249673843383789,1072,572,True
9,0.0012376564554870129,0.003962844144552946,0.045863668981914144,4.5863668981914145,0.10961016891054895,10.961016891054895,11.357666609652375,-2.3720111175340732,0.10727904485164852,0.10727904485164852,0.10727904485164852,0.005363950209731629,0.0003924083381483029,0.0021686280440100835,0.001499909907579422,False,0.05,random,"[46, 220, 88, 227, 302, 291, 393, 31, 2, 35, 164, 236, 158, 293, 241, 122, 17, 356, 277, 217, 39, 87, 355, 262, 44, 86, 188, 111, 307, 191, 222, 157, 263, 175, 116, 225, 75, 18, 165, 294, 251, 40, 168, 282, 256, 139, 29, 239, 367, 379, 42, 345, 214, 332, 390, 213, 303, 89, 382, 195, 246, 292, 310, 200]",0.8510236740112305,0.7802965641021729,1072,572,True
