cycle_alpha,beta,cell_count,episode_count,voltage_mae_v,voltage_rmse_v,endpoint_mae_q
0.2,0.2,34,34,0.03321730299293178,0.055402081874256534,0.013486104469707272
0.2,0.4,34,34,0.03565378409311894,0.06083821327562623,0.01279490046731672
0.2,0.6,34,34,0.0431344696943641,0.05785635340729599,0.009925086349752463
0.2,0.8,10,10,0.09140255004167556,0.11218673267030929,0.013874431675345755
0.5,0.2,34,34,0.03376795765814093,0.06030859852449701,0.014878724400972154
0.5,0.4,34,34,0.028445787664144923,0.05210443215721736,0.014440016999053918
0.5,0.6,34,34,0.037092093442751585,0.05578374106714471,0.011589025536009804
0.5,0.8,10,10,0.08644020491176181,0.1084986345686992,0.01437791725630333
0.8,0.2,34,34,0.04624163077078318,0.08197726731767907,0.02408570671018505
0.8,0.4,34,34,0.034771804078087915,0.059856202546158144,0.015343773960038005
0.8,0.6,34,34,0.04169727595580776,0.06296755529742014,0.010328596488405924
0.8,0.8,10,10,0.07815565764904023,0.0965909815162043,0.02200741627329055
