file_name,cell_id,family,nominal_capacity_Ah,raw_cycle_count,processed_cycle_count,missing_count_before,missing_count_after,first_cycle,last_cycle,true_eol_cycle,soh_at_true_eol
CALCE_CS2_33.pkl,CALCE_CS2_33,CS2,1.1,660,660,0,0,1,660,473,0.7976519916431791
CALCE_CS2_34.pkl,CALCE_CS2_34,CS2,1.1,632,632,0,0,1,632,448,0.7993617405859477
CALCE_CS2_35.pkl,CALCE_CS2_35,CS2,1.1,780,780,0,0,1,780,518,0.796638505796241
CALCE_CS2_36.pkl,CALCE_CS2_36,CS2,1.1,832,832,0,0,1,832,487,0.7943504115073926
CALCE_CS2_37.pkl,CALCE_CS2_37,CS2,1.1,905,905,0,0,1,905,538,0.7966222735541242
CALCE_CS2_38.pkl,CALCE_CS2_38,CS2,1.1,903,903,0,0,1,903,568,0.7956391255898585
CALCE_CX2_16.pkl,CALCE_CX2_16,CX2,1.35,1279,1279,0,0,2,1280,829,0.7995983852168654
CALCE_CX2_33.pkl,CALCE_CX2_33,CX2,1.35,1271,1271,0,0,1,1271,534,0.799556840492688
CALCE_CX2_34.pkl,CALCE_CX2_34,CX2,1.35,1363,1363,0,0,1,1363,534,0.7990027198878735
CALCE_CX2_35.pkl,CALCE_CX2_35,CX2,1.35,1454,1454,0,0,1,1454,739,0.7996078087194262
CALCE_CX2_36.pkl,CALCE_CX2_36,CX2,1.35,1568,1568,0,0,1,1568,519,0.7985119541017843
CALCE_CX2_37.pkl,CALCE_CX2_37,CX2,1.35,1072,1072,0,0,1,1072,579,0.7999987110575019
CALCE_CX2_38.pkl,CALCE_CX2_38,CX2,1.35,1579,1579,0,0,1,1579,590,0.7983634638724123
