iteration,source,alpha
1,CALCE_CX2_16.pkl,0.018297769129276276
1,CALCE_CX2_33.pkl,6.363406153780611e-18
1,CALCE_CX2_34.pkl,0.21146802604198456
1,CALCE_CX2_35.pkl,0.12332011759281158
1,CALCE_CX2_36.pkl,5.2505938718584286e-18
1,CALCE_CX2_38.pkl,0.6469140648841858
2,CALCE_CX2_16.pkl,0.018167298287153244
2,CALCE_CX2_33.pkl,5.944856486141535e-18
2,CALCE_CX2_34.pkl,0.21773536503314972
2,CALCE_CX2_35.pkl,0.12500950694084167
2,CALCE_CX2_36.pkl,4.891879141008989e-18
2,CALCE_CX2_38.pkl,0.6390878558158875
