iteration,source,alpha
10,CALCE_CX2_16.pkl,0.02126474678516388
10,CALCE_CX2_33.pkl,3.677032062576859e-18
10,CALCE_CX2_34.pkl,0.2520832419395447
10,CALCE_CX2_35.pkl,0.1337236762046814
10,CALCE_CX2_36.pkl,3.035469538709812e-18
10,CALCE_CX2_38.pkl,0.5929283499717712
20,CALCE_CX2_16.pkl,0.026010816916823387
20,CALCE_CX2_33.pkl,3.751189631672851e-18
20,CALCE_CX2_34.pkl,0.2274480164051056
20,CALCE_CX2_35.pkl,0.1287105232477188
20,CALCE_CX2_36.pkl,3.200029676951724e-18
20,CALCE_CX2_38.pkl,0.6178306341171265
30,CALCE_CX2_16.pkl,0.027965642511844635
30,CALCE_CX2_33.pkl,5.1293631084632694e-18
30,CALCE_CX2_34.pkl,0.18688558042049408
30,CALCE_CX2_35.pkl,0.1167944073677063
30,CALCE_CX2_36.pkl,4.603855678898637e-18
30,CALCE_CX2_38.pkl,0.6683543920516968
40,CALCE_CX2_16.pkl,0.029126638546586037
40,CALCE_CX2_33.pkl,5.743495909627752e-18
40,CALCE_CX2_34.pkl,0.18057312071323395
40,CALCE_CX2_35.pkl,0.11478931456804276
40,CALCE_CX2_36.pkl,5.437508979744892e-18
40,CALCE_CX2_38.pkl,0.6755109429359436
50,CALCE_CX2_16.pkl,0.02801787666976452
50,CALCE_CX2_33.pkl,6.1464437101431584e-18
50,CALCE_CX2_34.pkl,0.17394623160362244
50,CALCE_CX2_35.pkl,0.11311601102352142
50,CALCE_CX2_36.pkl,5.732191245786296e-18
50,CALCE_CX2_38.pkl,0.6849198937416077
60,CALCE_CX2_16.pkl,0.029399078339338303
60,CALCE_CX2_33.pkl,5.2501765592393956e-18
60,CALCE_CX2_34.pkl,0.19203047454357147
60,CALCE_CX2_35.pkl,0.11803611367940903
60,CALCE_CX2_36.pkl,5.288062258474937e-18
60,CALCE_CX2_38.pkl,0.6605343222618103
70,CALCE_CX2_16.pkl,0.0305976253002882
70,CALCE_CX2_33.pkl,4.471559720449356e-18
70,CALCE_CX2_34.pkl,0.20714393258094788
70,CALCE_CX2_35.pkl,0.12305045127868652
70,CALCE_CX2_36.pkl,4.615863446260763e-18
70,CALCE_CX2_38.pkl,0.6392080187797546
80,CALCE_CX2_16.pkl,0.029792139306664467
80,CALCE_CX2_33.pkl,5.2286409119915775e-18
80,CALCE_CX2_34.pkl,0.18723922967910767
80,CALCE_CX2_35.pkl,0.11739533394575119
80,CALCE_CX2_36.pkl,5.174660345987286e-18
80,CALCE_CX2_38.pkl,0.6655732989311218
90,CALCE_CX2_16.pkl,0.030671482905745506
90,CALCE_CX2_33.pkl,4.8509585161059906e-18
90,CALCE_CX2_34.pkl,0.19622378051280975
90,CALCE_CX2_35.pkl,0.12044715881347656
90,CALCE_CX2_36.pkl,4.860736204536674e-18
90,CALCE_CX2_38.pkl,0.6526575684547424
100,CALCE_CX2_16.pkl,0.03152206167578697
100,CALCE_CX2_33.pkl,4.549296913646171e-18
100,CALCE_CX2_34.pkl,0.20368900895118713
100,CALCE_CX2_35.pkl,0.1229671910405159
100,CALCE_CX2_36.pkl,4.580454739369512e-18
100,CALCE_CX2_38.pkl,0.6418217420578003
110,CALCE_CX2_16.pkl,0.032625630497932434
110,CALCE_CX2_33.pkl,4.253522355605891e-18
110,CALCE_CX2_34.pkl,0.210384801030159
110,CALCE_CX2_35.pkl,0.12526553869247437
110,CALCE_CX2_36.pkl,4.249568845868194e-18
110,CALCE_CX2_38.pkl,0.6317239999771118
120,CALCE_CX2_16.pkl,0.033610109239816666
120,CALCE_CX2_33.pkl,4.081594106057663e-18
120,CALCE_CX2_34.pkl,0.2104419767856598
120,CALCE_CX2_35.pkl,0.12596583366394043
120,CALCE_CX2_36.pkl,3.964391712245637e-18
120,CALCE_CX2_38.pkl,0.629982054233551
130,CALCE_CX2_16.pkl,0.03361441567540169
130,CALCE_CX2_33.pkl,4.519828604323969e-18
130,CALCE_CX2_34.pkl,0.19652634859085083
130,CALCE_CX2_35.pkl,0.12270180135965347
130,CALCE_CX2_36.pkl,4.180631200027718e-18
130,CALCE_CX2_38.pkl,0.6471574306488037
140,CALCE_CX2_16.pkl,0.033145442605018616
140,CALCE_CX2_33.pkl,5.169725800043101e-18
140,CALCE_CX2_34.pkl,0.17948150634765625
140,CALCE_CX2_35.pkl,0.11838182806968689
140,CALCE_CX2_36.pkl,4.684642273423629e-18
140,CALCE_CX2_38.pkl,0.668991208076477
150,CALCE_CX2_16.pkl,0.03210141137242317
150,CALCE_CX2_33.pkl,7.336493154581867e-18
150,CALCE_CX2_34.pkl,0.1416892409324646
150,CALCE_CX2_35.pkl,0.10797754675149918
150,CALCE_CX2_36.pkl,6.6682937606293874e-18
150,CALCE_CX2_38.pkl,0.7182317972183228
160,CALCE_CX2_16.pkl,0.0315980538725853
160,CALCE_CX2_33.pkl,9.477644379911091e-18
160,CALCE_CX2_34.pkl,0.12964539229869843
160,CALCE_CX2_35.pkl,0.10432302951812744
160,CALCE_CX2_36.pkl,8.937190210267932e-18
160,CALCE_CX2_38.pkl,0.7344335317611694
170,CALCE_CX2_16.pkl,0.02964998222887516
170,CALCE_CX2_33.pkl,1.2483602182316543e-17
170,CALCE_CX2_34.pkl,0.15243388712406158
170,CALCE_CX2_35.pkl,0.10682036727666855
170,CALCE_CX2_36.pkl,1.1930717142427937e-17
170,CALCE_CX2_38.pkl,0.7110957503318787
180,CALCE_CX2_16.pkl,0.028073657304048538
180,CALCE_CX2_33.pkl,1.2869572927939911e-17
180,CALCE_CX2_34.pkl,0.18831974267959595
180,CALCE_CX2_35.pkl,0.11225328594446182
180,CALCE_CX2_36.pkl,1.1871393403256859e-17
180,CALCE_CX2_38.pkl,0.6713533401489258
190,CALCE_CX2_16.pkl,0.027224550023674965
190,CALCE_CX2_33.pkl,1.0758061238319687e-17
190,CALCE_CX2_34.pkl,0.22140365839004517
190,CALCE_CX2_35.pkl,0.11783906072378159
190,CALCE_CX2_36.pkl,9.587820701600092e-18
190,CALCE_CX2_38.pkl,0.6335327625274658
200,CALCE_CX2_16.pkl,0.026835111901164055
200,CALCE_CX2_33.pkl,1.1605348130022041e-17
200,CALCE_CX2_34.pkl,0.22189657390117645
200,CALCE_CX2_35.pkl,0.11603652685880661
200,CALCE_CX2_36.pkl,1.0343500649184648e-17
200,CALCE_CX2_38.pkl,0.6352317929267883
210,CALCE_CX2_16.pkl,0.02710111439228058
210,CALCE_CX2_33.pkl,1.4603479976652128e-17
210,CALCE_CX2_34.pkl,0.19698460400104523
210,CALCE_CX2_35.pkl,0.11006444692611694
210,CALCE_CX2_36.pkl,1.3265633622675201e-17
210,CALCE_CX2_38.pkl,0.6658498644828796
220,CALCE_CX2_16.pkl,0.02804640866816044
220,CALCE_CX2_33.pkl,1.324316077979336e-17
220,CALCE_CX2_34.pkl,0.18604087829589844
220,CALCE_CX2_35.pkl,0.11074243485927582
220,CALCE_CX2_36.pkl,1.176893219514114e-17
220,CALCE_CX2_38.pkl,0.6751702427864075
230,CALCE_CX2_16.pkl,0.028049541637301445
230,CALCE_CX2_33.pkl,1.3483721445536032e-17
230,CALCE_CX2_34.pkl,0.18437720835208893
230,CALCE_CX2_35.pkl,0.11026037484407425
230,CALCE_CX2_36.pkl,1.1910782089665409e-17
230,CALCE_CX2_38.pkl,0.6773128509521484
240,CALCE_CX2_16.pkl,0.02771053835749626
240,CALCE_CX2_33.pkl,1.4872399702515568e-17
240,CALCE_CX2_34.pkl,0.18008442223072052
240,CALCE_CX2_35.pkl,0.10788555443286896
240,CALCE_CX2_36.pkl,1.3281514663255607e-17
240,CALCE_CX2_38.pkl,0.6843194961547852
250,CALCE_CX2_16.pkl,0.02790490910410881
250,CALCE_CX2_33.pkl,1.77044924119685e-17
250,CALCE_CX2_34.pkl,0.1542607992887497
250,CALCE_CX2_35.pkl,0.10199863463640213
250,CALCE_CX2_36.pkl,1.6133072586883135e-17
250,CALCE_CX2_38.pkl,0.7158356308937073
260,CALCE_CX2_16.pkl,0.028461206704378128
260,CALCE_CX2_33.pkl,1.792079517906744e-17
260,CALCE_CX2_34.pkl,0.13941310346126556
260,CALCE_CX2_35.pkl,0.09999484568834305
260,CALCE_CX2_36.pkl,1.6350561530980478e-17
260,CALCE_CX2_38.pkl,0.7321308255195618
270,CALCE_CX2_16.pkl,0.02878650091588497
270,CALCE_CX2_33.pkl,1.710644082909266e-17
270,CALCE_CX2_34.pkl,0.13823847472667694
270,CALCE_CX2_35.pkl,0.1008538082242012
270,CALCE_CX2_36.pkl,1.5401133550059463e-17
270,CALCE_CX2_38.pkl,0.7321212291717529
280,CALCE_CX2_16.pkl,0.028848011046648026
280,CALCE_CX2_33.pkl,1.6015748597521064e-17
280,CALCE_CX2_34.pkl,0.1472093015909195
280,CALCE_CX2_35.pkl,0.10350608080625534
280,CALCE_CX2_36.pkl,1.414419455897696e-17
280,CALCE_CX2_38.pkl,0.7204366326332092
290,CALCE_CX2_16.pkl,0.028740007430315018
290,CALCE_CX2_33.pkl,1.5470952556842614e-17
290,CALCE_CX2_34.pkl,0.15736612677574158
290,CALCE_CX2_35.pkl,0.10540696233510971
290,CALCE_CX2_36.pkl,1.3597281763110987e-17
290,CALCE_CX2_38.pkl,0.7084869146347046
300,CALCE_CX2_16.pkl,0.028692597523331642
300,CALCE_CX2_33.pkl,1.62199000814216e-17
300,CALCE_CX2_34.pkl,0.15517480671405792
300,CALCE_CX2_35.pkl,0.10422716289758682
300,CALCE_CX2_36.pkl,1.436875589731163e-17
300,CALCE_CX2_38.pkl,0.7119054198265076
310,CALCE_CX2_16.pkl,0.029068250209093094
310,CALCE_CX2_33.pkl,1.8000480796197123e-17
310,CALCE_CX2_34.pkl,0.13729938864707947
310,CALCE_CX2_35.pkl,0.10032383352518082
310,CALCE_CX2_36.pkl,1.633658217862833e-17
310,CALCE_CX2_38.pkl,0.7333084940910339
320,CALCE_CX2_16.pkl,0.029436856508255005
320,CALCE_CX2_33.pkl,1.6643036051966977e-17
320,CALCE_CX2_34.pkl,0.13660936057567596
320,CALCE_CX2_35.pkl,0.10176274925470352
320,CALCE_CX2_36.pkl,1.4857743716422353e-17
320,CALCE_CX2_38.pkl,0.7321910262107849
330,CALCE_CX2_16.pkl,0.029612373560667038
330,CALCE_CX2_33.pkl,1.6272889271461748e-17
330,CALCE_CX2_34.pkl,0.13445140421390533
330,CALCE_CX2_35.pkl,0.10183173418045044
330,CALCE_CX2_36.pkl,1.4491846989904422e-17
330,CALCE_CX2_38.pkl,0.7341045141220093
340,CALCE_CX2_16.pkl,0.02958262339234352
340,CALCE_CX2_33.pkl,1.6106131314332283e-17
340,CALCE_CX2_34.pkl,0.13896332681179047
340,CALCE_CX2_35.pkl,0.1026124432682991
340,CALCE_CX2_36.pkl,1.433522199527873e-17
340,CALCE_CX2_38.pkl,0.7288416028022766
350,CALCE_CX2_16.pkl,0.029966140165925026
350,CALCE_CX2_33.pkl,1.6622105073746935e-17
350,CALCE_CX2_34.pkl,0.13336603343486786
350,CALCE_CX2_35.pkl,0.10148805379867554
350,CALCE_CX2_36.pkl,1.5087805805830502e-17
350,CALCE_CX2_38.pkl,0.7351797819137573
360,CALCE_CX2_16.pkl,0.03005714900791645
360,CALCE_CX2_33.pkl,1.5319858091792453e-17
360,CALCE_CX2_34.pkl,0.13456523418426514
360,CALCE_CX2_35.pkl,0.10290869325399399
360,CALCE_CX2_36.pkl,1.356852152039313e-17
360,CALCE_CX2_38.pkl,0.7324689030647278
370,CALCE_CX2_16.pkl,0.030393442139029503
370,CALCE_CX2_33.pkl,1.4983251830765024e-17
370,CALCE_CX2_34.pkl,0.13144400715827942
370,CALCE_CX2_35.pkl,0.10295986384153366
370,CALCE_CX2_36.pkl,1.3312644778428427e-17
370,CALCE_CX2_38.pkl,0.7352026700973511
380,CALCE_CX2_16.pkl,0.030723942443728447
380,CALCE_CX2_33.pkl,1.4822720889286858e-17
380,CALCE_CX2_34.pkl,0.1307974010705948
380,CALCE_CX2_35.pkl,0.10337501764297485
380,CALCE_CX2_36.pkl,1.320779301834243e-17
380,CALCE_CX2_38.pkl,0.7351036071777344
390,CALCE_CX2_16.pkl,0.030736448243260384
390,CALCE_CX2_33.pkl,1.4596568055453635e-17
390,CALCE_CX2_34.pkl,0.13148607313632965
390,CALCE_CX2_35.pkl,0.10403291881084442
390,CALCE_CX2_36.pkl,1.2862536102468922e-17
390,CALCE_CX2_38.pkl,0.7337445616722107
400,CALCE_CX2_16.pkl,0.030536135658621788
400,CALCE_CX2_33.pkl,1.4747437527377182e-17
400,CALCE_CX2_34.pkl,0.12935930490493774
400,CALCE_CX2_35.pkl,0.10378576815128326
400,CALCE_CX2_36.pkl,1.2835102657453601e-17
400,CALCE_CX2_38.pkl,0.736318826675415
410,CALCE_CX2_16.pkl,0.03045094758272171
410,CALCE_CX2_33.pkl,1.4622405869067342e-17
410,CALCE_CX2_34.pkl,0.12904393672943115
410,CALCE_CX2_35.pkl,0.10382324457168579
410,CALCE_CX2_36.pkl,1.2645045504010355e-17
410,CALCE_CX2_38.pkl,0.7366818785667419
420,CALCE_CX2_16.pkl,0.030306709930300713
420,CALCE_CX2_33.pkl,1.450898948091897e-17
420,CALCE_CX2_34.pkl,0.12900188565254211
420,CALCE_CX2_35.pkl,0.10395015776157379
420,CALCE_CX2_36.pkl,1.2386546599503858e-17
420,CALCE_CX2_38.pkl,0.7367412447929382
430,CALCE_CX2_16.pkl,0.030440177768468857
430,CALCE_CX2_33.pkl,1.3812928575984174e-17
430,CALCE_CX2_34.pkl,0.13627241551876068
430,CALCE_CX2_35.pkl,0.10547706484794617
430,CALCE_CX2_36.pkl,1.1824728836180292e-17
430,CALCE_CX2_38.pkl,0.7278103232383728
440,CALCE_CX2_16.pkl,0.030386753380298615
440,CALCE_CX2_33.pkl,1.3557874051548348e-17
440,CALCE_CX2_34.pkl,0.13749296963214874
440,CALCE_CX2_35.pkl,0.10580120235681534
440,CALCE_CX2_36.pkl,1.1533515765627936e-17
440,CALCE_CX2_38.pkl,0.7263190746307373
450,CALCE_CX2_16.pkl,0.030403312295675278
450,CALCE_CX2_33.pkl,1.347332709395869e-17
450,CALCE_CX2_34.pkl,0.1373930722475052
450,CALCE_CX2_35.pkl,0.10595504939556122
450,CALCE_CX2_36.pkl,1.1400131237492535e-17
450,CALCE_CX2_38.pkl,0.726248562335968
460,CALCE_CX2_16.pkl,0.03059283085167408
460,CALCE_CX2_33.pkl,1.3466366369104057e-17
460,CALCE_CX2_34.pkl,0.14216400682926178
460,CALCE_CX2_35.pkl,0.10673108696937561
460,CALCE_CX2_36.pkl,1.1523859259156992e-17
460,CALCE_CX2_38.pkl,0.7205120921134949
470,CALCE_CX2_16.pkl,0.030504075810313225
