iteration,source,alpha
10,CALCE_CX2_16.pkl,0.022420845925807953
10,CALCE_CX2_33.pkl,0.002141922013834119
10,CALCE_CX2_34.pkl,0.13736552000045776
10,CALCE_CX2_35.pkl,0.08176067471504211
10,CALCE_CX2_36.pkl,0.0
10,CALCE_CX2_38.pkl,0.7563110589981079
20,CALCE_CX2_16.pkl,0.022868119180202484
20,CALCE_CX2_33.pkl,1.2266597966058156e-17
20,CALCE_CX2_34.pkl,0.11534509062767029
20,CALCE_CX2_35.pkl,0.0799342691898346
20,CALCE_CX2_36.pkl,8.489333947116409e-18
20,CALCE_CX2_38.pkl,0.7818525433540344
30,CALCE_CX2_16.pkl,0.02148263342678547
30,CALCE_CX2_33.pkl,1.0980136898913636e-17
30,CALCE_CX2_34.pkl,0.07270758599042892
30,CALCE_CX2_35.pkl,0.06837586313486099
30,CALCE_CX2_36.pkl,8.062848722270806e-18
30,CALCE_CX2_38.pkl,0.837433934211731
40,CALCE_CX2_16.pkl,0.022530172020196915
40,CALCE_CX2_33.pkl,7.553916751410818e-18
40,CALCE_CX2_34.pkl,0.07923492044210434
40,CALCE_CX2_35.pkl,0.0712021216750145
40,CALCE_CX2_36.pkl,6.0949413772540755e-18
40,CALCE_CX2_38.pkl,0.8270328044891357
50,CALCE_CX2_16.pkl,0.021967945620417595
50,CALCE_CX2_33.pkl,8.382687205101172e-18
50,CALCE_CX2_34.pkl,0.06544934213161469
50,CALCE_CX2_35.pkl,0.06866662949323654
50,CALCE_CX2_36.pkl,6.6397163248269054e-18
50,CALCE_CX2_38.pkl,0.8439160585403442
60,CALCE_CX2_16.pkl,0.022968027740716934
60,CALCE_CX2_33.pkl,5.467856995648544e-18
60,CALCE_CX2_34.pkl,0.09652134031057358
60,CALCE_CX2_35.pkl,0.07857212424278259
60,CALCE_CX2_36.pkl,4.676592978882875e-18
60,CALCE_CX2_38.pkl,0.801938533782959
70,CALCE_CX2_16.pkl,0.024048414081335068
70,CALCE_CX2_33.pkl,5.190543868109529e-18
70,CALCE_CX2_34.pkl,0.10158610343933105
70,CALCE_CX2_35.pkl,0.08070389926433563
70,CALCE_CX2_36.pkl,4.3827945553259845e-18
70,CALCE_CX2_38.pkl,0.7936615943908691
80,CALCE_CX2_16.pkl,0.024281734600663185
80,CALCE_CX2_33.pkl,6.449635183145895e-18
80,CALCE_CX2_34.pkl,0.08138276636600494
80,CALCE_CX2_35.pkl,0.07407965511083603
80,CALCE_CX2_36.pkl,5.117810704028354e-18
80,CALCE_CX2_38.pkl,0.8202558159828186
90,CALCE_CX2_16.pkl,0.024797014892101288
90,CALCE_CX2_33.pkl,6.750469604993162e-18
90,CALCE_CX2_34.pkl,0.07471860945224762
90,CALCE_CX2_35.pkl,0.07225959748029709
90,CALCE_CX2_36.pkl,5.172149852828187e-18
90,CALCE_CX2_38.pkl,0.828224778175354
100,CALCE_CX2_16.pkl,0.02562066726386547
100,CALCE_CX2_33.pkl,6.542226058602324e-18
100,CALCE_CX2_34.pkl,0.07151466608047485
100,CALCE_CX2_35.pkl,0.0718960389494896
100,CALCE_CX2_36.pkl,4.775726852984599e-18
100,CALCE_CX2_38.pkl,0.8309686183929443
110,CALCE_CX2_16.pkl,0.026201311498880386
110,CALCE_CX2_33.pkl,6.2103653327491124e-18
110,CALCE_CX2_34.pkl,0.07031679898500443
110,CALCE_CX2_35.pkl,0.07306358963251114
110,CALCE_CX2_36.pkl,4.237389852119269e-18
110,CALCE_CX2_38.pkl,0.8304182887077332
120,CALCE_CX2_16.pkl,0.025647837668657303
120,CALCE_CX2_33.pkl,6.919453505151007e-18
120,CALCE_CX2_34.pkl,0.06610310822725296
120,CALCE_CX2_35.pkl,0.07305215299129486
120,CALCE_CX2_36.pkl,4.6052771887813096e-18
120,CALCE_CX2_38.pkl,0.8351969122886658
130,CALCE_CX2_16.pkl,0.024690084159374237
130,CALCE_CX2_33.pkl,8.233871622638595e-18
130,CALCE_CX2_34.pkl,0.06174245476722717
130,CALCE_CX2_35.pkl,0.07232888042926788
130,CALCE_CX2_36.pkl,5.495558033592026e-18
130,CALCE_CX2_38.pkl,0.8412385582923889
140,CALCE_CX2_16.pkl,0.02401674911379814
140,CALCE_CX2_33.pkl,8.844962053510107e-18
140,CALCE_CX2_34.pkl,0.06454861909151077
140,CALCE_CX2_35.pkl,0.0722961351275444
140,CALCE_CX2_36.pkl,5.956323277383052e-18
140,CALCE_CX2_38.pkl,0.8391385078430176
150,CALCE_CX2_16.pkl,0.023287076503038406
150,CALCE_CX2_33.pkl,9.986254577512797e-18
150,CALCE_CX2_34.pkl,0.06866798549890518
150,CALCE_CX2_35.pkl,0.07205311208963394
150,CALCE_CX2_36.pkl,6.659849900936446e-18
150,CALCE_CX2_38.pkl,0.8359917998313904
160,CALCE_CX2_16.pkl,0.022134672850370407
160,CALCE_CX2_33.pkl,1.2057095450775013e-17
160,CALCE_CX2_34.pkl,0.06598521023988724
160,CALCE_CX2_35.pkl,0.07053816318511963
160,CALCE_CX2_36.pkl,8.071637516279182e-18
160,CALCE_CX2_38.pkl,0.8413419723510742
170,CALCE_CX2_16.pkl,0.02143530547618866
170,CALCE_CX2_33.pkl,1.340767790464342e-17
170,CALCE_CX2_34.pkl,0.06858456879854202
170,CALCE_CX2_35.pkl,0.06968330591917038
170,CALCE_CX2_36.pkl,8.940249124173153e-18
170,CALCE_CX2_38.pkl,0.8402968049049377
180,CALCE_CX2_16.pkl,0.02099134586751461
180,CALCE_CX2_33.pkl,1.447724063464796e-17
180,CALCE_CX2_34.pkl,0.07401079684495926
180,CALCE_CX2_35.pkl,0.0687846913933754
180,CALCE_CX2_36.pkl,9.496478455278311e-18
180,CALCE_CX2_38.pkl,0.8362131714820862
190,CALCE_CX2_16.pkl,0.02032468095421791
190,CALCE_CX2_33.pkl,1.5988264694488377e-17
190,CALCE_CX2_34.pkl,0.07483593374490738
190,CALCE_CX2_35.pkl,0.06724173575639725
190,CALCE_CX2_36.pkl,1.0490327689454648e-17
190,CALCE_CX2_38.pkl,0.837597668170929
200,CALCE_CX2_16.pkl,0.019715411588549614
200,CALCE_CX2_33.pkl,1.7278557262230243e-17
200,CALCE_CX2_34.pkl,0.07180283218622208
200,CALCE_CX2_35.pkl,0.06552958488464355
200,CALCE_CX2_36.pkl,1.1450437880806173e-17
200,CALCE_CX2_38.pkl,0.8429521918296814
210,CALCE_CX2_16.pkl,0.019404161721467972
210,CALCE_CX2_33.pkl,1.8073443089307976e-17
210,CALCE_CX2_34.pkl,0.0719481110572815
210,CALCE_CX2_35.pkl,0.06416033953428268
210,CALCE_CX2_36.pkl,1.1938744103092151e-17
210,CALCE_CX2_38.pkl,0.8444873690605164
220,CALCE_CX2_16.pkl,0.018917100504040718
220,CALCE_CX2_33.pkl,1.923172094000883e-17
220,CALCE_CX2_34.pkl,0.06720974296331406
220,CALCE_CX2_35.pkl,0.062128324061632156
220,CALCE_CX2_36.pkl,1.2834412788822732e-17
220,CALCE_CX2_38.pkl,0.8517448306083679
230,CALCE_CX2_16.pkl,0.01878947578370571
230,CALCE_CX2_33.pkl,1.942344817110882e-17
230,CALCE_CX2_34.pkl,0.06458739936351776
230,CALCE_CX2_35.pkl,0.061323802918195724
230,CALCE_CX2_36.pkl,1.3037836353784223e-17
230,CALCE_CX2_38.pkl,0.8552992939949036
240,CALCE_CX2_16.pkl,0.018708975985646248
240,CALCE_CX2_33.pkl,1.952897160185221e-17
240,CALCE_CX2_34.pkl,0.06158117204904556
240,CALCE_CX2_35.pkl,0.06055853143334389
240,CALCE_CX2_36.pkl,1.3186541921225331e-17
240,CALCE_CX2_38.pkl,0.859151303768158
250,CALCE_CX2_16.pkl,0.018543895334005356
250,CALCE_CX2_33.pkl,1.9929288968019697e-17
250,CALCE_CX2_34.pkl,0.05857221037149429
250,CALCE_CX2_35.pkl,0.059581268578767776
250,CALCE_CX2_36.pkl,1.3536617991347573e-17
250,CALCE_CX2_38.pkl,0.8633026480674744
260,CALCE_CX2_16.pkl,0.018387755379080772
260,CALCE_CX2_33.pkl,2.0328390378686732e-17
260,CALCE_CX2_34.pkl,0.05706474184989929
260,CALCE_CX2_35.pkl,0.058783937245607376
260,CALCE_CX2_36.pkl,1.3872393763039998e-17
260,CALCE_CX2_38.pkl,0.8657635450363159
270,CALCE_CX2_16.pkl,0.018092578276991844
270,CALCE_CX2_33.pkl,2.1279911126557506e-17
270,CALCE_CX2_34.pkl,0.05654379725456238
270,CALCE_CX2_35.pkl,0.057458363473415375
270,CALCE_CX2_36.pkl,1.4567752391634738e-17
270,CALCE_CX2_38.pkl,0.8679052591323853
280,CALCE_CX2_16.pkl,0.01788613572716713
280,CALCE_CX2_33.pkl,2.189213562204883e-17
280,CALCE_CX2_34.pkl,0.057119764387607574
280,CALCE_CX2_35.pkl,0.05650273710489273
280,CALCE_CX2_36.pkl,1.5000551486095958e-17
280,CALCE_CX2_38.pkl,0.8684913516044617
290,CALCE_CX2_16.pkl,0.017769020050764084
290,CALCE_CX2_33.pkl,2.2321994916613036e-17
290,CALCE_CX2_34.pkl,0.05987047776579857
290,CALCE_CX2_35.pkl,0.056093961000442505
290,CALCE_CX2_36.pkl,1.5273775859867124e-17
290,CALCE_CX2_38.pkl,0.8662665486335754
300,CALCE_CX2_16.pkl,0.017507346346974373
300,CALCE_CX2_33.pkl,2.3254200997180696e-17
300,CALCE_CX2_34.pkl,0.055624887347221375
300,CALCE_CX2_35.pkl,0.0547642819583416
300,CALCE_CX2_36.pkl,1.6104023658131498e-17
300,CALCE_CX2_38.pkl,0.8721035122871399
310,CALCE_CX2_16.pkl,0.01733880303800106
310,CALCE_CX2_33.pkl,2.4014583466547617e-17
310,CALCE_CX2_34.pkl,0.05152653530240059
310,CALCE_CX2_35.pkl,0.053721729665994644
310,CALCE_CX2_36.pkl,1.6831176627930938e-17
310,CALCE_CX2_38.pkl,0.8774129152297974
320,CALCE_CX2_16.pkl,0.017442485317587852
320,CALCE_CX2_33.pkl,2.3716975462679613e-17
320,CALCE_CX2_34.pkl,0.05123871937394142
320,CALCE_CX2_35.pkl,0.05403204262256622
320,CALCE_CX2_36.pkl,1.6699808766128942e-17
320,CALCE_CX2_38.pkl,0.8772867321968079
330,CALCE_CX2_16.pkl,0.017703721299767494
330,CALCE_CX2_33.pkl,2.2609430253307862e-17
330,CALCE_CX2_34.pkl,0.05268234387040138
330,CALCE_CX2_35.pkl,0.055222731083631516
330,CALCE_CX2_36.pkl,1.5921423537910417e-17
330,CALCE_CX2_38.pkl,0.8743911981582642
340,CALCE_CX2_16.pkl,0.01773013547062874
340,CALCE_CX2_33.pkl,2.2419962879641366e-17
340,CALCE_CX2_34.pkl,0.05223396420478821
340,CALCE_CX2_35.pkl,0.055431440472602844
340,CALCE_CX2_36.pkl,1.584113738765602e-17
340,CALCE_CX2_38.pkl,0.8746044635772705
350,CALCE_CX2_16.pkl,0.017755623906850815
350,CALCE_CX2_33.pkl,2.2285077845874794e-17
350,CALCE_CX2_34.pkl,0.05265142768621445
350,CALCE_CX2_35.pkl,0.055750034749507904
350,CALCE_CX2_36.pkl,1.5780720115715147e-17
350,CALCE_CX2_38.pkl,0.8738428950309753
360,CALCE_CX2_16.pkl,0.01787136122584343
360,CALCE_CX2_33.pkl,2.1816607414677837e-17
360,CALCE_CX2_34.pkl,0.05736558511853218
360,CALCE_CX2_35.pkl,0.0566253736615181
360,CALCE_CX2_36.pkl,1.5352998255853777e-17
360,CALCE_CX2_38.pkl,0.8681376576423645
370,CALCE_CX2_16.pkl,0.017876507714390755
370,CALCE_CX2_33.pkl,2.1745789173714722e-17
370,CALCE_CX2_34.pkl,0.05889592692255974
370,CALCE_CX2_35.pkl,0.056732177734375
370,CALCE_CX2_36.pkl,1.5270976680674244e-17
370,CALCE_CX2_38.pkl,0.8664953708648682
380,CALCE_CX2_16.pkl,0.01767769828438759
380,CALCE_CX2_33.pkl,2.24766412952135e-17
380,CALCE_CX2_34.pkl,0.05653787776827812
380,CALCE_CX2_35.pkl,0.05563714727759361
380,CALCE_CX2_36.pkl,1.5867375556686202e-17
380,CALCE_CX2_38.pkl,0.8701472878456116
390,CALCE_CX2_16.pkl,0.01758863404393196
390,CALCE_CX2_33.pkl,2.2906470811275654e-17
390,CALCE_CX2_34.pkl,0.05541490763425827
390,CALCE_CX2_35.pkl,0.054999854415655136
390,CALCE_CX2_36.pkl,1.6228886571596378e-17
390,CALCE_CX2_38.pkl,0.8719965815544128
400,CALCE_CX2_16.pkl,0.017585009336471558
400,CALCE_CX2_33.pkl,2.3072424748849718e-17
400,CALCE_CX2_34.pkl,0.05417197197675705
400,CALCE_CX2_35.pkl,0.05474363639950752
400,CALCE_CX2_36.pkl,1.6416984134168486e-17
400,CALCE_CX2_38.pkl,0.8734993934631348
410,CALCE_CX2_16.pkl,0.01760770194232464
410,CALCE_CX2_33.pkl,2.30062519542067e-17
410,CALCE_CX2_34.pkl,0.0535019151866436
410,CALCE_CX2_35.pkl,0.054711658507585526
410,CALCE_CX2_36.pkl,1.642295637819112e-17
410,CALCE_CX2_38.pkl,0.8741787075996399
420,CALCE_CX2_16.pkl,0.017671460285782814
420,CALCE_CX2_33.pkl,2.282756605264422e-17
420,CALCE_CX2_34.pkl,0.05485367029905319
420,CALCE_CX2_35.pkl,0.055002763867378235
420,CALCE_CX2_36.pkl,1.6306535670057955e-17
420,CALCE_CX2_38.pkl,0.8724721074104309
430,CALCE_CX2_16.pkl,0.017703741788864136
430,CALCE_CX2_33.pkl,2.278474291233235e-17
430,CALCE_CX2_34.pkl,0.058763083070516586
430,CALCE_CX2_35.pkl,0.055330127477645874
430,CALCE_CX2_36.pkl,1.6230069439872328e-17
