iteration,weighted_meta_loss,ema_source_meta_loss,weighted_path_mean_query_loss,weighted_path_dispersion,weighted_path_worst_query_loss,alpha_entropy,effective_sources,mmd_objective,rbf_sigma,qp_solver_status,learning_rate,elapsed_seconds,eta_seconds,iteration_seconds,cuda_allocated_bytes,cuda_reserved_bytes
1,0.1432203948497772,0.1432203948497772,0.0923661887645721,0.0755763202905654,0.2202067524194717,0.7652882933616638,1.6283714771270752,0.0002255293271037,0.2026427796281596,OSQP:optimal,0.001,18.23074520402588,41912.4832240555,18.230453055002727,71016960,4802478080
2,0.133347600698471,0.143022938966751,0.087091140449047,0.0689073652029037,0.2032096982002258,0.7586805820465088,1.6152533292770386,0.0002244454689012,0.2042217605862667,OSQP:optimal,0.001,37.4249909670325,43001.31462112034,19.190557835041545,71590912,4802478080
3,0.1234237551689148,0.1426309552907943,0.0817356556653976,0.0623527765274047,0.1861352771520614,0.755434513092041,1.6115399599075315,0.0002236684536041,0.205331867428665,OSQP:optimal,0.001,57.01897895894945,43657.531556235626,19.485648288973607,71589888,4802478080
4,0.1136447265744209,0.1420512307164669,0.0765775963664054,0.0558282323181629,0.1690179109573364,0.7548647522926331,1.6115740537643433,0.0002226457724172,0.2056117711549964,OSQP:optimal,0.001,77.05154524894897,44227.58697289671,19.925581226940267,71596032,4802478080
5,0.1046922355890274,0.1413040508139181,0.0721382424235344,0.0495619997382164,0.1527922004461288,0.7519609332084656,1.6075092554092407,0.0002221192244007,0.2049765586913231,OSQP:optimal,0.001,97.1694697230123,44600.786602862645,19.974496689043008,71590912,4808769536
6,0.0958590805530548,0.1403951514087008,0.0678013712167739,0.0434026904404163,0.1366295367479324,0.7475545406341553,1.6010658740997314,0.0002216959197829,0.2036241952361446,OSQP:optimal,0.001,117.12346952094232,44780.20651350694,19.843335394049063,71592448,4808769536
7,0.0875676274299621,0.139338600929126,0.0640694051980972,0.0373711287975311,0.1206911876797676,0.7418311238288879,1.5926192998886108,0.0002212194967599,0.2016904108469895,OSQP:optimal,0.001,137.26417159393895,44963.82078070029,20.01700184994843,71584768,4808769536
8,0.0802687630057334,0.1381572041706582,0.0614149756729602,0.0316176265478134,0.1052125245332717,0.735267698764801,1.583156943321228,0.000220471533545,0.1993404114144641,OSQP:optimal,0.001,157.23850206902716,45048.83084277628,19.85891901992727,71578112,4808769536
9,0.072761446237564,0.1368492890119963,0.0581280030310153,0.0263471361249685,0.0903146713972091,0.7284837365150452,1.574031949043274,0.0002192888870485,0.1966983889777981,OSQP:optimal,0.001,177.3658158549806,45149.45379152896,20.003739918931387,71586816,4808769536
10,0.0687570869922638,0.1354874449716016,0.0565413907170295,0.0221358481794595,0.0832683071494102,0.721835732460022,1.565349578857422,0.000218695087516,0.1934857410935489,OSQP:optimal,0.001,197.39544789900535,45203.55756887223,19.911376674077477,71580160,4808769536
11,0.0655278787016868,0.1340882536462033,0.0545500554144382,0.0190156809985637,0.0794456601142883,0.7192367315292358,1.5653223991394043,0.0002201994493062,0.1895720461307529,OSQP:optimal,0.001,217.55571218999103,45271.3659275354,20.030353453941643,71583232,4808769536
12,0.0630452334880828,0.1326673932430409,0.0531679950654506,0.0169872902333736,0.0756896436214447,0.7085127234458923,1.547047138214111,0.0002234616576564,0.1848914184132316,OSQP:optimal,0.001,237.79263770894613,45339.12958983906,20.118299167021178,71591936,4808769536
13,0.061555840075016,0.1312451621796804,0.0522537678480148,0.0161392651498317,0.0733228027820587,0.6971931457519531,1.5284472703933716,0.0002266174737597,0.1799467271645211,OSQP:optimal,0.001,257.77841742895544,45349.17235846316,19.8600084859645,71598080,4808769536
14,0.0598159618675708,0.1298165781734382,0.0510200224816799,0.0157458204776048,0.0704579800367355,0.6854686737060547,1.5099709033966064,0.000229889596175,0.1746584445074555,OSQP:optimal,0.001,277.9766344180098,45389.6133056836,20.06956893997267,71595008,4808769536
15,0.0603488720953464,0.1284272240518764,0.0516157075762748,0.0163217112421989,0.0702266469597816,0.6732902526855469,1.491787075996399,0.0002323521697545,0.1692447764879714,OSQP:optimal,0.001,298.0391060579568,45401.29048949543,19.936568288947456,71588864,4808769536
16,0.0594889521598815,0.1270484586140365,0.0509364232420921,0.0165578201413154,0.0685886964201927,0.661309540271759,1.474862813949585,0.0002342009885035,0.1637065938527235,OSQP:optimal,0.001,318.3049389460357,45438.0300345466,20.150492380955257,71589888,4808769536
17,0.058855801820755,0.1256846054781709,0.0505268275737762,0.0166619028896093,0.0671808123588562,0.6495774984359741,1.458543062210083,0.0002392513753708,0.157150139312877,OSQP:optimal,0.001,338.41884328902233,45447.65995463753,19.988362279022112,71595008,4808769536
18,0.0577444732189178,0.1243258028329858,0.0496819652616977,0.0165986474603414,0.0653333663940429,0.6383851170539856,1.44378924369812,0.0002454123604044,0.1501824562823502,OSQP:optimal,0.001,358.6638394210022,45470.60453104039,20.125434924964797,71589888,4808769536
19,0.0572422966361045,0.1229841327090482,0.0494475439190864,0.0165228489786386,0.0641037374734878,0.6277561187744141,1.4313302040100098,0.0002501490925198,0.1433768329274789,OSQP:optimal,0.001,378.7350998619804,45468.145409746176,19.943519723950885,71592448,4808769536
20,0.0565008632838726,0.1216544673205446,0.0489681623876094,0.0163351688534021,0.0627638027071952,0.6182217597961426,1.4222601652145386,0.0002552179913972,0.1364154446674792,OSQP:optimal,0.001,398.9067610539496,45475.370760150254,20.05291880306322,71597056,4808769536
21,0.0543194934725761,0.1203077678435853,0.0471785701811313,0.0156761463731527,0.0600661002099514,0.6063401699066162,1.4076892137527466,0.0002654979516628,0.1283800298477285,OSQP:optimal,0.001,418.92056756303646,45462.85587981714,19.88264924997929,71589888,4808769536
22,0.0539986081421375,0.1189815846495563,0.0471273735165596,0.0153690502047538,0.0592432655394077,0.5944691896438599,1.3931137323379517,0.0002759975657412,0.120397975451118,OSQP:optimal,0.001,439.120163789019,45468.89695960842,20.08208695892245,71583744,4808769536
23,0.0513113476336002,0.1176281799092372,0.0448872596025466,0.0143522806465625,0.0562313273549079,0.5839477181434631,1.3806453943252563,0.0002848490191386,0.1128072769886903,OSQP:optimal,0.001,459.1934618549421,45460.15272363927,19.944491473026574,71585280,4808769536
24,0.0485062338411808,0.1162457409878761,0.0426522605121135,0.0132938390597701,0.0527743324637413,0.5768282413482666,1.372261643409729,0.0002994901980666,0.1043617695323318,OSQP:optimal,0.001,479.4658600389957,45469.34572703143,20.15170125802979,71586304,4808769536
25,0.0470988377928733,0.114862802923976,0.0415458381175994,0.0126320207491517,0.0511258095502853,0.5760678052902222,1.371304988861084,0.0003123388323241,0.0962827655738184,OSQP:optimal,0.001,499.732669066987,45475.67288509582,20.143321835901588,71590400,4808769536
26,0.0435478426516056,0.1134365037185286,0.0384852588176727,0.0113049056380987,0.0474306866526603,0.5881249308586121,1.3850702047348022,0.0003282070879918,0.0878356920628193,OSQP:optimal,0.001,519.8657364660176,45468.25710475861,20.01181173697114,71590912,4808769536
27,0.041965551674366,0.1120070846776453,0.0372733324766159,0.0104219932109117,0.0456202179193496,0.6203648447990417,1.4241715669631958,0.0003428485566085,0.0794194296618843,OSQP:optimal,0.001,539.917501133983,45453.0548176868,19.92322856304236,71593472,4808769536
28,0.037010982632637,0.1105071626367452,0.0328915528953075,0.008863023482263,0.0405062399804592,0.6796865463256836,1.5047153234481812,0.0003562240228031,0.0708087145386832,OSQP:optimal,0.001,560.1451452139299,45451.77749735889,20.110988900996745,71588352,4808769536
29,0.0336615517735481,0.1089702504194812,0.0300118662416934,0.0074942242354154,0.0371163934469223,0.7644968032836914,1.6427876949310305,0.0003640592526231,0.0624743829990488,OSQP:optimal,0.001,580.3857545360224,45450.20857073472,20.11371514899656,71596544,4808769536
30,0.0297664627432823,0.1073861746659572,0.0266543701291084,0.0059422003105282,0.0331605486571788,0.8595520257949829,1.8385512828826904,0.0003634467231523,0.0550692345490428,OSQP:optimal,0.001,600.4437833499396,45433.5796068121,19.93781971593853,71593984,4808769536
31,0.0243332758545875,0.1057251166897298,0.0220502950251102,0.0039104647003114,0.0272717531770467,0.9445351362228394,2.061898946762085,0.0003526758769402,0.0493194308298198,OSQP:optimal,0.001,620.6560481030028,45428.01848857141,20.084384863032028,71589376,4808769536
32,0.021271426230669,0.1040360428805486,0.0194184686988592,0.0029309596866369,0.0238993428647518,1.006375074386597,2.2590527534484863,0.0003421870129057,0.0448267113408146,OSQP:optimal,0.001,641.0090530030429,45431.51663159067,20.22975682793185,71599616,4808769536
33,0.0207808893173933,0.1023709398092855,0.0191039741039276,0.0026277294382452,0.0231839064508676,1.0447314977645874,2.394620180130005,0.000338056751128,0.0413306409212674,OSQP:optimal,0.001,661.0951782909688,45415.23542986746,19.955594561062757,71599104,4808769536
34,0.0206118300557136,0.1007357576142141,0.0189260058104991,0.0025511265266686,0.0231181792914867,1.0653364658355713,2.467952013015747,0.0003376753651345,0.0389059686713597,OSQP:optimal,0.001,681.3081650999375,45407.18535636642,20.094374810927548,71589376,4808769536
35,0.0211146511137485,0.0991433354842048,0.0192500799894332,0.0028142505325376,0.0238941200077533,1.0761384963989258,2.503464460372925,0.0003400543490283,0.037244339630299,OSQP:optimal,0.001,701.3815165880369,45389.40385919725,19.944335801992565,71598080,4808769536
36,0.0206438917666673,0.097573346609854,0.018814455717802,0.0027733314782381,0.02335886657238,1.0814945697784424,2.5186071395874023,0.000341384644366,0.0362186919822451,OSQP:optimal,0.001,721.6129942119587,45381.43941377429,20.11129864596296,71598592,4808769536
37,0.0201357267796993,0.0960245942132509,0.0183587111532688,0.0027276196051388,0.0227391514927148,1.0830533504486084,2.52026891708374,0.0003419660142534,0.0356174216952967,OSQP:optimal,0.001,741.87362565496,45374.59499613985,20.133106541004963,71594496,4808769536
38,0.0201134178787469,0.0945063706865609,0.0181783735752105,0.0030967025086283,0.0228218529373407,1.0820304155349731,2.5134010314941406,0.0003412083639096,0.0353233783019496,OSQP:optimal,0.001,762.0091921089916,45359.59980396155,20.01880451408215,71590912,4808769536
39,0.0194164812564849,0.0930045728979593,0.0175992511212825,0.0028528599068522,0.0220153108239173,1.078987717628479,2.500205516815185,0.0003395284885926,0.0352578533151161,OSQP:optimal,0.001,782.2868522709468,45352.5787944772,20.155490737059157,71591424,4808769536
40,0.0181126073002815,0.0915067335860058,0.0166023187339305,0.0023665563203394,0.0202769190073013,1.074615716934204,2.483224868774414,0.0003369142258226,0.035376459929489,OSQP:optimal,0.001,802.4778199179564,45339.996825364535,20.06963004393037,71583744,4808769536
41,0.0171204470098018,0.0900190078544817,0.0156546346843242,0.0022460781037807,0.0192718040198087,1.0694332122802734,2.4641239643096924,0.0003337046649367,0.0356208749793953,OSQP:optimal,0.001,822.6593882680172,45326.5258072549,20.052647317992523,71583232,4808769536
42,0.0170076042413711,0.0885587797822195,0.0154651049524545,0.0023829005658626,0.0192521996796131,1.0639269351959229,2.444688558578491,0.0003301538343102,0.0359744147899692,OSQP:optimal,0.001,842.9245818629861,45317.231091586254,20.14121435803827,71591936,4808769536
43,0.0161387752741575,0.0871103796920582,0.0147141180932521,0.002150988439098,0.0182617530226707,1.0582118034362793,2.425158262252808,0.0003269833879516,0.036408903302599,OSQP:optimal,0.001,863.0223177770386,45298.63654006456,19.973204177920707,71592960,4808769536
44,0.0141761824488639,0.0856516957471943,0.0133272800594568,0.001294506015256,0.0154283810406923,1.0525213479995728,2.406238317489624,0.0003236739553262,0.0369241627483834,OSQP:optimal,0.001,883.2592166570248,45287.10892677837,20.111929690930992,71592960,4808769536
45,0.0138367898762226,0.0842153976297749,0.0125656444579362,0.0019570682197809,0.0156931541860103,1.0470308065414429,2.388350486755371,0.0003204495999702,0.0374961486316155,OSQP:optimal,0.001,903.6223420579918,45281.51958535048,20.237550292978995,71599616,4808769536
46,0.0137787675485014,0.0828066650281494,0.0126869203522801,0.0018428316107019,0.0152114825323224,1.0417094230651855,2.371262788772583,0.0003175806107738,0.0381119940677151,OSQP:optimal,0.001,923.6826876689448,45260.45169577829,19.93870648299344,71593984,4808769536
47,0.0127613004297018,0.0814057577361805,0.0116326231509447,0.0017088620224967,0.0144384736195206,1.0366647243499756,2.355097532272339,0.0003157902896415,0.0387084254277811,OSQP:optimal,0.001,943.9237446730258,45248.0892925176,20.114964466076344,71586304,4808769536
48,0.0119976010173559,0.080017594601804,0.0109358457848429,0.0017606036271899,0.013422267511487,1.0317792892456057,2.3395164012908936,0.0003138632596755,0.0393332243482128,OSQP:optimal,0.001,964.2302088369617,45238.46729793411,20.182469104998745,71598592,4808769536
49,0.0112575106322765,0.0786423929224134,0.0102347191423177,0.0015868474729359,0.0127390353009104,1.0272438526153564,2.3248937129974365,0.0003130886275777,0.0398902645930611,OSQP:optimal,0.001,984.3802359460389,45221.2226758068,20.02398145711049,71602176,4808769536
