iteration,source,alpha
10,CALCE_CX2_16.pkl,0.0201499816030263
10,CALCE_CX2_33.pkl,0.0013503509107977
10,CALCE_CX2_34.pkl,0.1152595654129982
10,CALCE_CX2_35.pkl,0.0762119069695472
10,CALCE_CX2_36.pkl,5.035606591263786e-05
10,CALCE_CX2_38.pkl,0.7869778275489807
20,CALCE_CX2_16.pkl,0.0205474477261304
20,CALCE_CX2_33.pkl,1.2337324389973278e-17
20,CALCE_CX2_34.pkl,0.0782202333211898
20,CALCE_CX2_35.pkl,0.0694672837853431
20,CALCE_CX2_36.pkl,5.598995267064311e-05
20,CALCE_CX2_38.pkl,0.8317090272903442
30,CALCE_CX2_16.pkl,0.0244354996830225
30,CALCE_CX2_33.pkl,3.46106678516784e-18
30,CALCE_CX2_34.pkl,0.1636262834072113
30,CALCE_CX2_35.pkl,0.1002617329359054
30,CALCE_CX2_36.pkl,2.6933813449678414e-18
30,CALCE_CX2_38.pkl,0.7116764783859253
40,CALCE_CX2_16.pkl,0.0365232825279235
40,CALCE_CX2_33.pkl,5.649051115623438e-19
40,CALCE_CX2_34.pkl,0.262146919965744
40,CALCE_CX2_35.pkl,0.1424396932125091
40,CALCE_CX2_36.pkl,0.0
40,CALCE_CX2_38.pkl,0.5588901042938232
50,CALCE_CX2_16.pkl,0.0298676006495952
50,CALCE_CX2_33.pkl,1.1565349811502041e-18
50,CALCE_CX2_34.pkl,0.2427262961864471
50,CALCE_CX2_35.pkl,0.1309241652488708
50,CALCE_CX2_36.pkl,1.460290048493425e-19
50,CALCE_CX2_38.pkl,0.5964819192886353
60,CALCE_CX2_16.pkl,0.0277364496141672
60,CALCE_CX2_33.pkl,1.9862428372697346e-18
60,CALCE_CX2_34.pkl,0.2252235263586044
60,CALCE_CX2_35.pkl,0.1233732849359512
60,CALCE_CX2_36.pkl,8.018364189698623e-19
60,CALCE_CX2_38.pkl,0.6236667633056641
70,CALCE_CX2_16.pkl,0.0272605270147323
70,CALCE_CX2_33.pkl,2.359582948529724e-18
70,CALCE_CX2_34.pkl,0.213423490524292
70,CALCE_CX2_35.pkl,0.1195496022701263
70,CALCE_CX2_36.pkl,1.1286313873542231e-18
70,CALCE_CX2_38.pkl,0.6397663950920105
80,CALCE_CX2_16.pkl,0.026080060750246
80,CALCE_CX2_33.pkl,3.3295194251729193e-18
80,CALCE_CX2_34.pkl,0.1943556517362594
80,CALCE_CX2_35.pkl,0.1123561039566993
80,CALCE_CX2_36.pkl,1.9368194160551506e-18
80,CALCE_CX2_38.pkl,0.667208194732666
90,CALCE_CX2_16.pkl,0.0258943643420934
90,CALCE_CX2_33.pkl,3.03167381367396e-18
90,CALCE_CX2_34.pkl,0.195187509059906
90,CALCE_CX2_35.pkl,0.1129156649112701
90,CALCE_CX2_36.pkl,1.828053850900859e-18
90,CALCE_CX2_38.pkl,0.6660024523735046
100,CALCE_CX2_16.pkl,0.0255748033523559
100,CALCE_CX2_33.pkl,3.0135949542060005e-18
100,CALCE_CX2_34.pkl,0.1917747110128402
100,CALCE_CX2_35.pkl,0.1119081526994705
100,CALCE_CX2_36.pkl,1.9013865141309823e-18
100,CALCE_CX2_38.pkl,0.6707423329353333
110,CALCE_CX2_16.pkl,0.0250178631395101
110,CALCE_CX2_33.pkl,4.319497867672814e-18
110,CALCE_CX2_34.pkl,0.1725852787494659
110,CALCE_CX2_35.pkl,0.1048192828893661
110,CALCE_CX2_36.pkl,2.9480650856940906e-18
110,CALCE_CX2_38.pkl,0.6975775957107544
120,CALCE_CX2_16.pkl,0.0249170158058404
120,CALCE_CX2_33.pkl,4.677977679228289e-18
120,CALCE_CX2_34.pkl,0.1659202128648758
120,CALCE_CX2_35.pkl,0.1025138199329376
120,CALCE_CX2_36.pkl,3.2927320149956954e-18
120,CALCE_CX2_38.pkl,0.7066489458084106
130,CALCE_CX2_16.pkl,0.0249815825372934
130,CALCE_CX2_33.pkl,4.77540135741356e-18
130,CALCE_CX2_34.pkl,0.1625476777553558
130,CALCE_CX2_35.pkl,0.1013432517647743
130,CALCE_CX2_36.pkl,3.432164267384624e-18
130,CALCE_CX2_38.pkl,0.7111274600028992
140,CALCE_CX2_16.pkl,0.0251182429492473
140,CALCE_CX2_33.pkl,4.514373348184182e-18
140,CALCE_CX2_34.pkl,0.1635043174028396
140,CALCE_CX2_35.pkl,0.1015843898057937
140,CALCE_CX2_36.pkl,3.3224656424993734e-18
140,CALCE_CX2_38.pkl,0.7097930312156677
150,CALCE_CX2_16.pkl,0.0251958277076482
150,CALCE_CX2_33.pkl,4.0848465802262216e-18
150,CALCE_CX2_34.pkl,0.1670072525739669
150,CALCE_CX2_35.pkl,0.1026758700609207
150,CALCE_CX2_36.pkl,3.0664784719228938e-18
150,CALCE_CX2_38.pkl,0.7051210403442383
160,CALCE_CX2_16.pkl,0.0252552051097154
160,CALCE_CX2_33.pkl,4.296252851689155e-18
160,CALCE_CX2_34.pkl,0.1636132448911667
160,CALCE_CX2_35.pkl,0.1015537083148956
160,CALCE_CX2_36.pkl,3.2301990218430647e-18
160,CALCE_CX2_38.pkl,0.7095778584480286
170,CALCE_CX2_16.pkl,0.0253593903034925
170,CALCE_CX2_33.pkl,4.406061905186182e-18
170,CALCE_CX2_34.pkl,0.1622620522975921
170,CALCE_CX2_35.pkl,0.101067341864109
170,CALCE_CX2_36.pkl,3.333422890483557e-18
170,CALCE_CX2_38.pkl,0.7113112211227417
180,CALCE_CX2_16.pkl,0.0254305619746446
180,CALCE_CX2_33.pkl,4.355504626146941e-18
180,CALCE_CX2_34.pkl,0.1624606847763061
180,CALCE_CX2_35.pkl,0.1010621339082717
180,CALCE_CX2_36.pkl,3.3241144202553447e-18
180,CALCE_CX2_38.pkl,0.7110466361045837
190,CALCE_CX2_16.pkl,0.0254647321999073
190,CALCE_CX2_33.pkl,4.226831305190336e-18
190,CALCE_CX2_34.pkl,0.1630145907402038
190,CALCE_CX2_35.pkl,0.1011841744184494
190,CALCE_CX2_36.pkl,3.252163355443338e-18
190,CALCE_CX2_38.pkl,0.7103365063667297
200,CALCE_CX2_16.pkl,0.0254972353577613
200,CALCE_CX2_33.pkl,4.0852237745855465e-18
200,CALCE_CX2_34.pkl,0.1642154604196548
200,CALCE_CX2_35.pkl,0.101481907069683
200,CALCE_CX2_36.pkl,3.1707588570007695e-18
200,CALCE_CX2_38.pkl,0.7088053822517395
210,CALCE_CX2_16.pkl,0.0255435109138488
210,CALCE_CX2_33.pkl,3.884028634194273e-18
210,CALCE_CX2_34.pkl,0.1666418313980102
210,CALCE_CX2_35.pkl,0.102161169052124
210,CALCE_CX2_36.pkl,3.0550782687206883e-18
210,CALCE_CX2_38.pkl,0.7056534886360168
220,CALCE_CX2_16.pkl,0.0256167855113744
220,CALCE_CX2_33.pkl,3.7373194671615616e-18
220,CALCE_CX2_34.pkl,0.1686072051525116
220,CALCE_CX2_35.pkl,0.1027007922530174
220,CALCE_CX2_36.pkl,2.9735391466334264e-18
