iteration,source,alpha
10,CALCE_CX2_16.pkl,0.01896120235323906
10,CALCE_CX2_33.pkl,1.4647666310613486e-17
10,CALCE_CX2_34.pkl,0.10411826521158218
10,CALCE_CX2_35.pkl,0.07426496595144272
10,CALCE_CX2_36.pkl,0.0019084139494225383
10,CALCE_CX2_38.pkl,0.8007471561431885
20,CALCE_CX2_16.pkl,0.01861347258090973
20,CALCE_CX2_33.pkl,8.506524414606486e-18
20,CALCE_CX2_34.pkl,0.09328028559684753
20,CALCE_CX2_35.pkl,0.07082534581422806
20,CALCE_CX2_36.pkl,6.5259496256891185e-18
20,CALCE_CX2_38.pkl,0.8172808885574341
30,CALCE_CX2_16.pkl,0.022911550477147102
30,CALCE_CX2_33.pkl,1.6690291019205753e-18
30,CALCE_CX2_34.pkl,0.15340740978717804
30,CALCE_CX2_35.pkl,0.10147221386432648
30,CALCE_CX2_36.pkl,1.273818231867107e-18
30,CALCE_CX2_38.pkl,0.7222088575363159
40,CALCE_CX2_16.pkl,0.023767106235027313
40,CALCE_CX2_33.pkl,2.685625492749391e-18
40,CALCE_CX2_34.pkl,0.14339998364448547
40,CALCE_CX2_35.pkl,0.0982125923037529
40,CALCE_CX2_36.pkl,1.900246866042037e-18
40,CALCE_CX2_38.pkl,0.7346203327178955
50,CALCE_CX2_16.pkl,0.02066132053732872
50,CALCE_CX2_33.pkl,6.6872283384410325e-18
50,CALCE_CX2_34.pkl,0.059852465987205505
50,CALCE_CX2_35.pkl,0.0700601115822792
50,CALCE_CX2_36.pkl,5.034028888505308e-18
50,CALCE_CX2_38.pkl,0.8494260907173157
60,CALCE_CX2_16.pkl,0.020362460985779762
60,CALCE_CX2_33.pkl,7.550313552662537e-18
60,CALCE_CX2_34.pkl,0.0529901422560215
60,CALCE_CX2_35.pkl,0.06773371994495392
60,CALCE_CX2_36.pkl,5.5648646019857e-18
60,CALCE_CX2_38.pkl,0.8589136600494385
70,CALCE_CX2_16.pkl,0.020530058071017265
70,CALCE_CX2_33.pkl,7.300567046217464e-18
70,CALCE_CX2_34.pkl,0.051740795373916626
70,CALCE_CX2_35.pkl,0.06763014942407608
70,CALCE_CX2_36.pkl,5.39767402939587e-18
70,CALCE_CX2_38.pkl,0.8600990176200867
80,CALCE_CX2_16.pkl,0.02069702371954918
80,CALCE_CX2_33.pkl,6.96291274735393e-18
80,CALCE_CX2_34.pkl,0.052112579345703125
80,CALCE_CX2_35.pkl,0.06814659386873245
80,CALCE_CX2_36.pkl,5.185236677299389e-18
80,CALCE_CX2_38.pkl,0.8590437769889832
90,CALCE_CX2_16.pkl,0.020882409065961838
90,CALCE_CX2_33.pkl,6.715258594268311e-18
90,CALCE_CX2_34.pkl,0.052211400121450424
90,CALCE_CX2_35.pkl,0.0685766413807869
90,CALCE_CX2_36.pkl,4.999544969538891e-18
90,CALCE_CX2_38.pkl,0.8583295345306396
100,CALCE_CX2_16.pkl,0.020958783105015755
100,CALCE_CX2_33.pkl,6.810793405524816e-18
100,CALCE_CX2_34.pkl,0.04992655664682388
100,CALCE_CX2_35.pkl,0.0680307075381279
100,CALCE_CX2_36.pkl,5.0253157815229805e-18
100,CALCE_CX2_38.pkl,0.861083984375
110,CALCE_CX2_16.pkl,0.02095998078584671
110,CALCE_CX2_33.pkl,7.185488025037862e-18
110,CALCE_CX2_34.pkl,0.04535460099577904
110,CALCE_CX2_35.pkl,0.0665726438164711
110,CALCE_CX2_36.pkl,5.216320883948213e-18
110,CALCE_CX2_38.pkl,0.8671127557754517
120,CALCE_CX2_16.pkl,0.021130476146936417
120,CALCE_CX2_33.pkl,7.583206389720708e-18
120,CALCE_CX2_34.pkl,0.039354655891656876
120,CALCE_CX2_35.pkl,0.06501781940460205
120,CALCE_CX2_36.pkl,5.348518821494906e-18
120,CALCE_CX2_38.pkl,0.8744970560073853
130,CALCE_CX2_16.pkl,0.021514710038900375
130,CALCE_CX2_33.pkl,8.52107948466497e-18
130,CALCE_CX2_34.pkl,0.02726372517645359
130,CALCE_CX2_35.pkl,0.06208488717675209
130,CALCE_CX2_36.pkl,5.600014814935529e-18
130,CALCE_CX2_38.pkl,0.8891366720199585
140,CALCE_CX2_16.pkl,0.02182009443640709
140,CALCE_CX2_33.pkl,9.056169388035722e-18
140,CALCE_CX2_34.pkl,0.027341613546013832
140,CALCE_CX2_35.pkl,0.06271546334028244
140,CALCE_CX2_36.pkl,5.7580191332326516e-18
140,CALCE_CX2_38.pkl,0.8881227970123291
150,CALCE_CX2_16.pkl,0.02244209125638008
150,CALCE_CX2_33.pkl,9.084502805557501e-18
150,CALCE_CX2_34.pkl,0.04326925799250603
150,CALCE_CX2_35.pkl,0.06807737797498703
150,CALCE_CX2_36.pkl,5.874531244823502e-18
150,CALCE_CX2_38.pkl,0.8662112951278687
160,CALCE_CX2_16.pkl,0.022259904071688652
160,CALCE_CX2_33.pkl,9.948105834842463e-18
160,CALCE_CX2_34.pkl,0.058706220239400864
160,CALCE_CX2_35.pkl,0.0723506435751915
160,CALCE_CX2_36.pkl,6.465143992450652e-18
160,CALCE_CX2_38.pkl,0.8466832637786865
170,CALCE_CX2_16.pkl,0.022374941036105156
170,CALCE_CX2_33.pkl,1.0041085898777099e-17
170,CALCE_CX2_34.pkl,0.06672762334346771
170,CALCE_CX2_35.pkl,0.07438910752534866
170,CALCE_CX2_36.pkl,6.509970977796432e-18
170,CALCE_CX2_38.pkl,0.8365083336830139
180,CALCE_CX2_16.pkl,0.022696562111377716
180,CALCE_CX2_33.pkl,9.648930323713672e-18
180,CALCE_CX2_34.pkl,0.06973126530647278
180,CALCE_CX2_35.pkl,0.07527992874383926
180,CALCE_CX2_36.pkl,6.2287225384931955e-18
180,CALCE_CX2_38.pkl,0.8322922587394714
190,CALCE_CX2_16.pkl,0.022951681166887283
190,CALCE_CX2_33.pkl,9.34769430567901e-18
190,CALCE_CX2_34.pkl,0.07086944580078125
190,CALCE_CX2_35.pkl,0.07564710825681686
190,CALCE_CX2_36.pkl,6.011341541465791e-18
190,CALCE_CX2_38.pkl,0.8305317759513855
200,CALCE_CX2_16.pkl,0.022976713255047798
200,CALCE_CX2_33.pkl,9.721956309731691e-18
200,CALCE_CX2_34.pkl,0.07006978988647461
200,CALCE_CX2_35.pkl,0.07532589882612228
200,CALCE_CX2_36.pkl,0.00042483769357204437
200,CALCE_CX2_38.pkl,0.8312027454376221
210,CALCE_CX2_16.pkl,0.022969206795096397
210,CALCE_CX2_33.pkl,9.590185610971381e-18
210,CALCE_CX2_34.pkl,0.06868832558393478
210,CALCE_CX2_35.pkl,0.07486291974782944
210,CALCE_CX2_36.pkl,0.0008866878342814744
210,CALCE_CX2_38.pkl,0.8325928449630737
220,CALCE_CX2_16.pkl,0.02294762246310711
220,CALCE_CX2_33.pkl,9.501735188071086e-18
220,CALCE_CX2_34.pkl,0.06751136481761932
220,CALCE_CX2_35.pkl,0.0744711384177208
220,CALCE_CX2_36.pkl,0.0012745177373290062
220,CALCE_CX2_38.pkl,0.8337953686714172
230,CALCE_CX2_16.pkl,0.02292470633983612
230,CALCE_CX2_33.pkl,9.417538127880538e-18
230,CALCE_CX2_34.pkl,0.0668385922908783
230,CALCE_CX2_35.pkl,0.07422636449337006
230,CALCE_CX2_36.pkl,0.0015928770881146193
230,CALCE_CX2_38.pkl,0.834417462348938
240,CALCE_CX2_16.pkl,0.02285033091902733
240,CALCE_CX2_33.pkl,9.448093352527634e-18
240,CALCE_CX2_34.pkl,0.06606373190879822
240,CALCE_CX2_35.pkl,0.07396981865167618
240,CALCE_CX2_36.pkl,0.0018951252568513155
240,CALCE_CX2_38.pkl,0.835220992565155
