iteration,source,alpha
10,CALCE_CX2_16.pkl,0.08006270974874496
10,CALCE_CX2_33.pkl,0.09235304594039917
10,CALCE_CX2_34.pkl,0.0
10,CALCE_CX2_35.pkl,0.1623046100139618
10,CALCE_CX2_36.pkl,0.0
10,CALCE_CX2_38.pkl,0.6652796268463135
20,CALCE_CX2_16.pkl,0.06600046157836914
20,CALCE_CX2_33.pkl,0.09063835442066193
20,CALCE_CX2_34.pkl,0.0
20,CALCE_CX2_35.pkl,0.14011330902576447
20,CALCE_CX2_36.pkl,0.0
20,CALCE_CX2_38.pkl,0.7032479047775269
30,CALCE_CX2_16.pkl,0.05276660993695259
30,CALCE_CX2_33.pkl,0.0269255843013525
30,CALCE_CX2_34.pkl,0.19239166378974915
30,CALCE_CX2_35.pkl,0.141167551279068
30,CALCE_CX2_36.pkl,0.0
30,CALCE_CX2_38.pkl,0.5867486000061035
40,CALCE_CX2_16.pkl,0.05732126161456108
40,CALCE_CX2_33.pkl,0.03951571136713028
40,CALCE_CX2_34.pkl,0.16493989527225494
40,CALCE_CX2_35.pkl,0.14527994394302368
40,CALCE_CX2_36.pkl,0.0
40,CALCE_CX2_38.pkl,0.5929431915283203
50,CALCE_CX2_16.pkl,0.06398749351501465
50,CALCE_CX2_33.pkl,0.07151404768228531
50,CALCE_CX2_34.pkl,0.07560741901397705
50,CALCE_CX2_35.pkl,0.14572685956954956
50,CALCE_CX2_36.pkl,0.0
50,CALCE_CX2_38.pkl,0.6431641578674316
60,CALCE_CX2_16.pkl,0.04064956307411194
60,CALCE_CX2_33.pkl,1.7791774028663256e-18
60,CALCE_CX2_34.pkl,0.252997487783432
60,CALCE_CX2_35.pkl,0.1303594410419464
60,CALCE_CX2_36.pkl,0.0
60,CALCE_CX2_38.pkl,0.575993537902832
70,CALCE_CX2_16.pkl,0.04389229789376259
70,CALCE_CX2_33.pkl,1.710395990764046e-18
70,CALCE_CX2_34.pkl,0.25889459252357483
70,CALCE_CX2_35.pkl,0.13556678593158722
