cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,interval_coverage,soh_mae,soh_rmse
MATR_b1c14,264,0.3,0.25,0.33611,0.9725267272727273,615,0.0031684041023254395,1.0,0.012499048167127904,0.01574358982458337
MATR_b1c14,264,0.3,0.5,0.7422011545454544,0.9725267272727273,615,0.0031792521476745605,1.0,0.012284551403386806,0.015432744379599869
MATR_b1c14,439,0.5,0.25,0.3307426818181818,0.9627270909090909,440,0.002174556255340576,1.0,0.011467065865343268,0.01527466588584549
MATR_b1c14,439,0.5,0.5,0.7255413818181817,0.9627270909090909,440,0.0022531747817993164,1.0,0.011508295210925015,0.015287824016104127
MATR_b1c14,615,0.7,0.25,0.3238391363636363,0.9440215454545454,264,0.0043888092041015625,1.0,0.01058289950544184,0.012839035790959765
MATR_b1c14,615,0.7,0.5,0.7185637363636364,0.9440215454545454,264,0.004378199577331543,1.0,0.010898902109175018,0.013278069783256607
MATR_b1c18,207,0.3,0.25,0.3268024363636363,0.9552709999999999,482,0.0027462244033813477,1.0,0.037874508200839346,0.05230709284838997
MATR_b1c18,207,0.3,0.5,0.7327256454545454,0.9552709999999999,482,0.0027927160263061523,1.0,0.03697648013775774,0.0511017044902692
MATR_b1c18,345,0.5,0.25,0.31516283636363635,0.9412447272727272,344,0.0025954246520996094,1.0,0.02398513552061347,0.028770853771552755
MATR_b1c18,345,0.5,0.5,0.7044833909090908,0.9412447272727272,344,0.002602994441986084,1.0,0.023297814262467763,0.027906497543656456
MATR_b1c18,482,0.7,0.25,0.3084041818181818,0.9256810909090909,207,0.001103222370147705,1.0,0.012787834745674317,0.01765453440119032
MATR_b1c18,482,0.7,0.5,0.6921330363636363,0.9256810909090909,207,0.0010595321655273438,1.0,0.012983288741918002,0.01792204150961934
MATR_b1c19,237,0.3,0.25,0.33219792727272723,0.9800612727272725,550,0.0017424821853637695,1.0,0.03194617715748874,0.04694327322851582
MATR_b1c19,237,0.3,0.5,0.738204609090909,0.9800612727272725,550,0.0017998218536376953,1.0,0.03118719978766008,0.04586778299699246
MATR_b1c19,393,0.5,0.25,0.32180808181818177,0.9682487272727273,394,0.0007080435752868652,1.0,0.016799650519027324,0.022536002315542848
MATR_b1c19,393,0.5,0.5,0.7221853181818182,0.9682487272727273,394,0.0007433295249938965,1.0,0.015851721243204803,0.02129029362152203
MATR_b1c19,551,0.7,0.25,0.32561402727272726,0.9458587272727272,236,0.0005385875701904297,1.0,0.004649421926272117,0.007320167911606076
MATR_b1c19,551,0.7,0.5,0.7260411454545455,0.9458587272727272,236,0.0005742311477661133,1.0,0.004550257981833765,0.006766106179303995
MATR_b1c2,671,0.3,0.25,0.32858241818181816,0.9698396363636362,1565,0.000958859920501709,0.9993610223642172,0.057119620703279785,0.094457006672665
MATR_b1c2,671,0.3,0.5,0.7345054909090908,0.9698396363636362,1565,0.0008116960525512695,0.9993610223642172,0.05693277417661283,0.09380511754851525
MATR_b1c2,1118,0.5,0.25,0.32321114545454543,0.9508141818181817,1118,0.0019215941429138184,0.9991055456171736,0.017806182287246897,0.02231927090574208
MATR_b1c2,1118,0.5,0.5,0.7180511454545454,0.9508141818181817,1118,0.001891791820526123,0.9991055456171736,0.01799811995946444,0.0224514451002842
MATR_b1c2,1565,0.7,0.25,0.31630250909090907,0.9262140909090908,671,0.008444011211395264,1.0,0.011487503698437119,0.012088909051850262
